Crypt 1,Crypt 2,Crypt 3,Crypt 4,Crypt 5
12.2806,0.0366,2.8926,2.8006,3.0816
11.4516,0,4.3226,2.9436,2.1616
11.6446,0,6.1876,3.5566,2.3536
11.3436,0,7.4356,4.4936,2.4896
11.7946,0,8.8106,5.4676,3.3176
11.9366,0,11.2486,7.0986,3.6266
12.5366,0,12.8936,7.3876,4.1206
12.3066,0.5646,14.8586,9.3706,4.8646
12.5636,1.0176,15.8206,10.8036,4.7536
12.6726,2.7556,17.7466,11.9786,4.8556
12.6786,3.5486,19.8906,12.7886,5.7696
12.9776,5.0416,21.6336,13.5646,6.7316
13.8156,7.8686,23.5616,14.1416,6.9766
14.6686,9.0716,23.9786,15.5546,7.9156
15.1576,10.3626,25.3406,16.5446,8.7286
15.5166,10.6506,26.0566,18.4006,9.8596
16.2936,12.2756,26.6646,19.0316,11.5046
17.5706,13.7466,27.1936,20.6846,13.2496
20.6456,15.0736,28.9606,22.5186,15.5116
22.6856,17.1666,30.0496,24.4306,16.7566
24.3866,20.0546,31.0246,27.0826,17.7786
25.7936,22.1336,30.8336,28.1496,19.7756
28.2706,25.5856,32.3666,28.9396,20.5596
30.2516,27.7756,33.6986,30.5026,20.6446
32.1806,31.4486,33.9356,31.3836,20.3846
34.2696,35.4586,34.2786,33.0036,21.8686
37.7076,39.7046,35.5836,34.2896,22.6926
40.0656,43.2806,37.3546,35.5596,23.8956
41.8016,48.7056,40.3686,37.4776,24.2856
42.6086,53.5056,42.8836,38.7206,24.7756
45.6496,57.1166,44.5726,40.6576,25.2546
48.2326,61.5856,45.2006,42.3166,26.6126
49.7196,63.8606,47.8976,44.3376,26.1206
53.0136,66.1176,50.7586,45.9196,26.8436
55.3936,69.1826,53.8236,47.0076,27.0266
56.7986,71.6326,55.7656,47.3856,26.2806
60.0626,73.5216,58.8896,47.2346,24.7666
61.5516,76.7846,60.2516,48.0136,24.7156
64.4196,78.5996,61.9716,48.5906,24.5466
67.1606,82.2646,63.7256,50.8496,24.5296
70.5456,85.0526,63.6826,53.1236,24.1166
72.7866,88.1696,66.0676,54.4046,24.2466
76.2446,91.1566,68.0046,57.1246,23.9966
78.2026,92.3976,70.5696,59.0446,23.9246
80.9576,93.5596,73.4086,61.6426,23.7096
82.4756,94.1286,78.0216,64.7176,24.6706
85.6746,96.5606,83.7666,66.9256,24.1846
88.6016,100.0766,87.2646,68.1326,25.7396
91.2266,103.2156,90.9726,70.7376,25.7206
95.2206,105.9326,94.7966,74.8076,25.5766
99.2196,107.2666,97.5976,76.4886,25.7286
101.9556,111.9866,103.1076,80.9536,25.9606
104.6896,114.8166,107.8156,85.8986,25.9686
107.2876,117.5766,112.9316,91.1976,26.3726
110.3686,119.9066,118.3866,96.4886,27.0336
113.7146,120.2816,123.5016,103.0356,27.4746
115.4096,121.4106,128.4246,108.6896,28.5056
118.8806,119.7986,131.2316,115.7966,29.6276
121.8916,120.2396,136.6256,123.0846,31.6086
126.3896,118.5986,141.1346,128.5236,32.9446
130.3606,118.5756,147.1236,134.6836,34.4366
