Crypt 1,Crypt 2,Crypt 3,Crypt 4,Crypt 5
146.2626,135.6306,132.9036,115.6926,108.6726
146.9176,137.3156,125.0916,112.1096,104.5346
148.0326,139.6876,119.5606,112.2216,102.1136
148.4326,146.0746,114.2606,114.3156,100.1446
152.7756,151.0866,111.5496,113.6316,98.9586
156.7256,154.1776,109.4226,112.8996,100.4446
160.0376,157.1636,107.7826,112.0286,100.6896
165.0026,157.7566,107.2496,109.1096,101.5646
170.2546,157.0226,106.5846,108.1086,103.9516
174.5696,157.3866,106.8986,108.6436,105.0996
179.7436,157.9326,106.0186,110.3386,106.9616
173.5616,156.6506,105.7116,112.3846,109.1796
159.0436,155.5296,105.4466,113.6426,112.1696
145.9016,155.3646,107.8366,112.5526,114.9346
136.2946,153.6706,110.9796,110.9046,116.4286
135.1556,151.0866,112.0096,109.8746,118.9696
135.2806,150.8176,115.8586,111.3306,120.3076
135.6806,149.4096,120.8786,111.5356,120.1746
133.1106,145.7456,127.3246,110.6956,120.5886
127.4676,141.6206,133.8316,110.5906,120.4446
123.1536,138.9946,140.4776,112.2606,121.0716
120.2956,135.2666,147.3416,114.9696,120.7246
119.6286,132.0396,155.7386,116.7696,121.6176
118.2806,126.9666,165.4126,122.0226,119.2106
117.2866,125.2656,173.1086,126.9356,119.8316
116.0766,122.2956,179.0046,132.7736,119.1236
115.7876,120.8736,186.3356,139.6256,121.3436
115.1776,119.7576,192.2666,147.6386,123.0536
113.1396,117.1586,199.6636,155.5066,123.7466
113.1896,115.9016,204.6066,160.1836,125.0436
112.1976,114.2156,208.0686,168.1856,125.3036
113.9726,112.4666,210.5376,176.5976,123.7346
116.8126,110.7706,215.9526,183.4006,120.2216
120.1846,109.3716,219.3486,187.3036,117.4646
123.2766,106.9616,220.5826,190.9756,115.9126
123.8466,104.3906,224.0316,194.1406,111.5136
123.6716,102.7006,224.1486,197.8926,111.2296
124.9726,99.7976,226.3756,202.5356,112.0236
125.4816,98.4916,227.9726,208.2436,111.4826
124.5876,97.8676,230.1196,214.2996,113.3976
124.9856,96.3756,234.3066,221.3996,113.4156
125.5966,94.5776,235.1276,227.0846,112.8306
128.2186,93.8626,237.5486,233.3066,112.4976
131.1886,93.3806,239.2636,240.6036,113.5346
132.4036,90.5956,241.2806,248.6316,114.3776
134.4196,89.7166,242.4306,255.4306,113.5206
137.2416,87.0476,243.4726,259.2596,112.5796
138.9016,86.5006,241.6136,264.8406,110.5336
139.3836,85.4306,242.5656,271.3366,109.7046
142.4686,84.9016,243.6656,276.6526,108.8846
143.9726,85.9286,246.0726,284.0626,108.2286
143.4956,84.6126,245.9946,291.2026,107.8646
143.7356,84.1286,244.0796,299.8106,107.3406
144.9256,85.4756,247.8196,306.4316,105.8356
148.1846,87.4526,246.6836,312.8866,103.8956
150.3806,87.7756,247.4166,316.5866,103.3046
154.2376,86.9356,246.6826,323.6286,102.7116
156.1786,87.4096,245.2536,328.7396,99.8526
155.9256,88.0366,244.6036,334.1986,95.1456
155.8346,88.3536,242.9426,336.2556,91.7746
155.3796,89.9366,241.7346,342.6456,90.5556
153.5626,91.0196,237.0056,345.8906,90.0056
154.1546,91.3076,233.2776,346.0436,90.0036
152.9656,90.4146,226.7386,347.1546,87.9286
152.5276,90.3936,221.1676,346.8706,84.8976
153.3696,90.5416,217.1266,345.4676,83.1126
153.3886,91.9876,213.9956,343.7696,79.9016
151.4766,92.5306,209.8756,345.8446,77.4956
151.1656,91.9406,206.1406,349.2946,77.1506
151.4866,94.6436,203.8026,349.1676,76.1436
154.6476,96.6026,198.9936,351.2456,75.2656
157.7936,98.3116,196.4426,354.4656,73.9176
158.8946,100.0716,193.0536,357.3346,72.2106
161.3496,104.5966,188.2226,357.5676,71.8146
163.0586,107.5226,183.1516,358.6586,71.0836
163.2536,111.8606,181.0736,358.6886,70.2576
163.4256,114.6946,178.5646,358.4986,69.7686
164.5736,116.0046,172.5186,357.0206,69.9656
166.5626,119.2526,167.9076,355.9896,71.0306
166.8806,120.5266,161.6426,350.6476,71.3696
166.5036,120.1306,154.2416,347.9966,71.2066
166.3826,119.5146,146.8876,346.5456,72.5866
165.5836,118.5596,137.7786,342.9296,71.4056
166.6196,118.9316,131.1546,338.9846,71.0626
166.6006,119.4466,126.6736,333.1676,70.1546
168.1926,119.7856,123.2706,330.3656,68.2456
168.5396,120.2576,121.2066,326.4176,67.1536
169.2376,118.8056,122.5936,318.8636,67.0756
168.4296,118.8126,121.1646,312.8436,66.1766
166.6266,118.7406,121.7166,308.5506,65.3236
165.7956,116.8166,120.7906,307.6486,64.8406
166.2466,115.1966,119.2676,301.9406,65.3226
163.5756,112.7716,119.3216,300.9876,63.2266
164.2346,112.8216,119.6916,299.0936,64.2226
164.2556,113.0736,120.5746,295.3756,65.2876
162.2606,113.2596,121.6186,293.7556,64.8926
162.4646,114.2136,122.7826,292.1846,64.4856
163.6856,115.2806,123.4886,288.8496,65.5606
165.7586,115.3136,125.4876,284.7876,66.5616
166.8846,115.3286,124.3366,280.9666,67.0416
169.2636,115.1326,124.3656,275.9146,67.8306
170.7596,113.3516,126.0116,272.2456,66.9786
170.3136,114.4136,124.9486,270.8216,67.9886
170.1906,115.1186,126.5266,265.8686,66.6446
169.5106,114.0936,125.1556,263.9176,65.4786
170.2866,114.4176,126.8136,261.9296,64.9946
171.1886,114.7756,128.7206,257.5206,65.0916
171.7376,113.4366,127.8086,254.3576,63.8646
174.1626,113.8606,126.0846,249.9256,62.1686
174.9986,115.4246,124.6826,244.6996,60.9916
175.4376,118.1166,124.1096,240.2876,62.2326
175.4186,119.3106,125.5136,236.2606,62.9326
176.5646,118.1356,123.7046,231.3436,63.5156
174.9216,117.9396,122.3136,227.9206,62.2486
175.3446,118.1896,121.7476,222.8956,61.1036
175.5866,118.1106,121.7076,216.7256,58.5876
176.4116,118.6316,118.9136,211.4066,56.4166
178.1736,118.4516,116.8276,203.7436,53.6916
178.2776,118.9216,114.4656,197.2976,50.6716
176.9606,120.4296,112.7156,190.4156,47.5556
176.6976,121.9636,109.3916,183.2006,44.0736
176.5206,122.4356,105.8346,176.5626,39.7366
176.0976,123.0086,103.0256,168.2606,35.1296
175.0786,122.1596,100.2326,162.4406,31.5706
174.0326,123.3346,99.3606,156.3266,29.3896
172.1356,124.1766,97.7786,149.2486,27.4076
169.6236,123.0056,97.2266,141.3266,25.4056
166.6806,125.6536,96.9826,134.1126,23.2256
167.0946,128.0716,94.4326,126.0616,21.4676
167.5006,127.9316,93.4396,117.9166,18.8286
164.4966,126.4836,90.7506,110.3976,17.2426
163.0056,124.9286,87.3036,103.2026,15.2286
159.8426,125.3126,85.4146,95.4836,13.1936
158.2116,125.4136,83.3066,86.9696,12.2286
154.6916,125.7086,80.8776,79.3226,11.8296
152.3366,125.6876,80.4426,71.7576,12.8656
151.9686,126.7226,79.6556,65.0666,16.9306
150.8616,126.5426,77.0306,58.0686,18.8346
151.8316,127.2766,75.1736,50.1926,12.1386
152.2236,127.2366,74.4356,43.7196,N/A
152.7576,129.0716,73.4696,36.9076,N/A
151.8846,130.8536,71.3726,30.5936,N/A
151.8216,130.2566,71.0106,24.5266,N/A
152.1816,131.5456,69.9866,18.4126,N/A
152.9696,133.9496,69.0276,14.7516,N/A
154.3666,135.2206,66.2726,11.5916,N/A
153.1436,136.0116,64.7836,10.2876,N/A
152.9516,137.7586,63.5516,8.9076,N/A
151.3396,138.1756,61.1226,7.6076,N/A
151.4996,138.3376,57.2206,7.8936,N/A
152.2956,139.1656,54.1626,7.8146,N/A
151.2926,139.3596,51.3746,7.9896,N/A
151.7416,138.8896,49.5126,7.3236,N/A
151.8556,139.0136,47.0056,7.5486,N/A
151.2436,139.6216,43.2926,7.3546,N/A
149.9936,139.0346,40.2636,7.3906,N/A
150.2386,139.5596,38.2656,5.5106,N/A
148.2876,139.2756,35.4966,2.7106,N/A
149.4666,137.2886,33.7276,N/A,N/A
146.5276,136.2606,32.3906,N/A,N/A
145.9776,134.1496,29.1996,N/A,N/A
146.4226,132.1216,26.9146,N/A,N/A
144.6426,130.8396,25.0106,N/A,N/A
145.4516,128.3296,22.5396,N/A,N/A
144.9076,127.3956,21.5906,N/A,N/A
144.5856,123.8866,21.0956,N/A,N/A
144.4356,121.4136,20.3306,N/A,N/A
145.9546,117.1226,18.9806,N/A,N/A
147.6136,112.9556,19.0276,N/A,N/A
148.7246,108.0626,17.1756,N/A,N/A
148.8166,102.2016,16.4176,N/A,N/A
150.2496,97.2816,15.6676,N/A,N/A
150.3136,91.0526,14.5816,N/A,N/A
150.4696,83.1046,14.3466,N/A,N/A
150.5356,74.1866,13.6316,N/A,N/A
147.8446,65.9186,13.5366,N/A,N/A
145.9106,57.7436,12.1606,N/A,N/A
143.8946,50.7086,11.2046,N/A,N/A
143.8926,43.0536,11.3736,N/A,N/A
144.0466,37.4206,11.1006,N/A,N/A
141.7856,32.9196,10.7896,N/A,N/A
139.1816,27.7666,9.3636,N/A,N/A
138.4096,25.1396,8.4596,N/A,N/A
134.0166,22.2686,7.2446,N/A,N/A
130.2686,18.4646,6.1166,N/A,N/A
127.7486,16.1176,5.7916,N/A,N/A
124.1496,14.0686,4.8376,N/A,N/A
120.1986,13.1676,2.3206,N/A,N/A
114.0866,11.9056,N/A,N/A,N/A
104.3806,8.7226,N/A,N/A,N/A
92.6886,4.3796,N/A,N/A,N/A
82.0276,1.6916,N/A,N/A,N/A
74.2496,N/A,N/A,N/A,N/A
64.5516,N/A,N/A,N/A,N/A
54.7326,N/A,N/A,N/A,N/A
44.9546,N/A,N/A,N/A,N/A
36.9606,N/A,N/A,N/A,N/A
29.8366,N/A,N/A,N/A,N/A
22.6496,N/A,N/A,N/A,N/A
16.1516,N/A,N/A,N/A,N/A
12.1416,N/A,N/A,N/A,N/A
10.0166,N/A,N/A,N/A,N/A
8.6556,N/A,N/A,N/A,N/A
7.8896,N/A,N/A,N/A,N/A
7.4706,N/A,N/A,N/A,N/A
7.2176,N/A,N/A,N/A,N/A
8.0936,N/A,N/A,N/A,N/A
6.9426,N/A,N/A,N/A,N/A
6.7716,N/A,N/A,N/A,N/A
7.7486,N/A,N/A,N/A,N/A
7.6556,N/A,N/A,N/A,N/A
5.6786,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
