Crypt 1,Crypt 2,Crypt 3,Crypt 4,Crypt 5
73.4742,64.4002,101.0242,132.8102,93.3242
72.7722,66.9782,101.1352,131.8002,88.7082
72.0842,69.2902,100.0372,130.8252,86.7222
71.3162,70.6942,98.3642,127.9562,84.9112
70.4982,71.9982,97.2032,126.7902,85.3342
71.1792,72.5192,97.2382,123.4732,88.7972
71.0252,73.3572,97.1682,118.7172,89.4292
71.5722,76.3342,94.9562,113.9582,89.1942
72.2352,78.4262,91.3082,107.3552,89.6152
73.6922,79.2442,90.0912,101.7962,87.9602
74.9362,79.4672,88.8102,98.4832,85.9422
76.3102,80.2472,87.2662,96.1952,83.5122
78.7132,83.2482,88.2352,90.3612,80.1502
80.6622,85.0252,87.6772,83.9072,77.0192
82.0902,86.2992,88.6652,80.6372,73.9742
82.7992,87.2032,88.4002,76.4112,72.2712
84.7702,88.2682,86.8722,71.1422,71.7422
86.5202,89.3902,87.0272,65.3772,71.7332
88.0582,90.8712,86.6192,61.4072,70.3782
92.2612,92.4142,87.1672,58.1472,69.8222
94.9972,94.0252,88.6692,57.2032,70.9652
97.7202,95.0172,90.3542,55.0702,71.8472
100.5762,97.3482,90.5412,54.9212,70.9562
106.0042,98.3692,90.7982,54.7052,70.7292
108.6352,99.6132,92.1032,54.2702,69.7372
111.7432,100.3832,92.9662,55.2312,70.9152
112.9992,100.7332,93.9822,54.7292,71.6152
118.0232,101.1982,93.6742,56.0442,71.8332
121.6652,101.8252,96.1332,57.2962,70.5542
123.4122,106.6342,96.6902,58.4512,67.7622
125.6452,110.9532,96.4122,59.7362,66.4492
127.8822,114.5272,97.6132,60.0242,66.5562
128.0122,117.8212,98.7332,60.8482,66.1762
128.8542,117.1852,98.5462,61.0422,65.6942
128.5132,118.9822,98.4172,63.7362,65.6932
127.5892,122.9592,98.4972,64.9912,66.3442
125.2932,125.0102,98.7472,67.5512,64.8932
123.0372,126.1752,99.2382,68.4412,63.3182
121.3392,126.5532,99.8042,71.4912,59.7542
120.5252,130.7832,101.8382,75.2752,58.6472
119.5172,133.3782,102.8202,78.2882,57.2612
120.1892,135.3702,102.7422,82.6192,56.3342
121.0842,138.6032,105.3282,85.9432,54.6502
119.9502,142.3912,105.3562,90.9402,53.6542
119.9632,145.6652,106.6362,93.9062,50.8362
118.3482,147.9672,108.4422,98.6852,48.6882
118.7672,149.6092,108.3682,103.7102,48.5192
121.0492,150.0362,110.1572,109.4382,48.8772
123.6292,152.4032,110.9532,116.1682,49.3532
128.9422,155.4612,111.1682,126.3422,49.0642
133.3732,159.0332,112.5832,135.5992,46.7772
136.9192,160.9882,112.4922,143.8992,44.2962
140.4592,161.9352,111.9422,150.0732,41.5692
143.2542,162.6132,112.9142,158.9692,40.4832
144.6992,162.5682,115.1282,166.9062,39.5882
145.7792,162.1902,117.3732,173.7982,40.4962
146.3752,160.7712,119.5972,179.1162,39.2442
146.9942,157.5662,123.1742,187.4842,37.0432
149.0322,156.1182,126.4382,195.8482,35.8322
150.2242,151.6762,128.7582,203.2402,35.3272
152.5112,150.5912,131.5782,211.5802,34.0922
153.2062,148.5322,134.0602,222.0502,33.5942
156.4462,145.4532,135.3792,225.0342,34.6972
158.3302,142.1242,137.5642,228.0912,35.4912
158.7842,140.9852,141.8532,233.2562,36.0452
161.0132,138.5322,148.3962,237.5352,36.8232
163.2472,136.3632,151.4042,240.7942,39.3302
163.4152,137.1892,151.1482,246.1342,39.7042
164.2812,137.1062,155.5052,248.3532,39.2662
166.5352,137.9342,158.7722,251.0722,39.7252
166.1512,137.4972,162.5572,256.1582,42.3542
164.6912,138.5912,164.2732,258.3892,42.7822
165.3772,137.7212,164.0902,262.1032,42.7412
164.3792,139.9122,163.8662,268.2802,42.9392
162.3932,140.7492,163.9912,273.3332,44.6992
162.7182,139.3862,163.7622,277.3572,44.9882
162.3272,140.2872,161.7582,280.3222,45.7152
161.5062,142.9842,162.3882,286.5202,45.5062
160.5742,146.6622,162.4472,292.2412,44.9282
160.1562,146.5212,161.8592,296.9972,44.0972
158.1732,148.7162,164.3102,302.4382,43.8852
156.4542,150.7212,161.8882,307.7952,44.0612
156.0522,151.0942,159.7062,307.0342,45.1312
154.8042,149.3072,162.4462,311.8862,45.5112
152.0142,147.3732,164.4742,319.7012,47.1132
150.1512,146.4392,167.2712,324.7192,48.5772
148.9922,148.3182,170.6232,330.1912,48.6742
147.5702,148.0682,172.5822,335.5842,49.0472
147.4702,148.2812,175.6352,341.1852,50.8062
145.2512,149.1282,177.3212,346.1322,52.4722
143.1902,148.4752,180.0802,352.8452,52.8412
142.2802,147.7242,183.2972,360.4812,52.4242
142.6882,148.7352,187.1852,366.6472,53.9062
142.9342,151.2102,191.3942,372.7052,54.8322
143.5502,149.9532,194.4192,380.6592,56.7842
142.1502,150.9342,195.5222,388.6012,57.5392
140.6752,151.9992,197.4502,397.5832,59.3222
139.5002,153.0252,200.3702,402.3232,59.7072
139.4552,153.5192,203.9032,410.3392,61.9852
138.7842,152.7802,209.9462,419.9462,63.7232
136.7322,152.0412,212.2882,423.1362,64.2722
135.7572,151.2382,217.2512,430.5052,66.8452
134.8332,150.3022,222.9612,433.0622,68.3112
131.1142,149.8592,225.9172,439.2102,69.5402
128.4782,150.8182,230.4772,444.9152,71.6072
126.7932,151.5672,235.4202,450.5352,72.4542
123.1222,154.4252,239.7112,450.9322,74.4922
122.3892,153.2682,245.9192,454.4132,76.7182
121.5062,152.0922,249.1502,458.9542,78.3382
118.6382,154.4192,253.6712,466.6342,78.7832
116.8482,153.5632,258.7582,471.3362,79.9562
117.2202,154.8922,260.9262,472.8472,80.5212
115.8662,154.9312,263.5422,475.1322,82.3072
115.4512,156.8372,266.2132,479.6002,84.3462
113.4692,157.9782,270.1102,482.1812,85.5372
112.9982,156.8552,270.4752,483.8122,88.7282
112.0262,154.5832,271.8872,483.3932,92.0832
110.3982,154.5882,274.6462,488.2102,95.3962
109.1492,154.5942,279.1542,488.6742,98.2172
106.5792,155.2642,282.3872,493.1042,103.4942
104.4442,158.3232,287.2802,496.5832,108.6502
101.6942,156.6222,289.4812,499.0102,114.1052
99.5362,155.7572,294.6722,499.6332,116.9512
97.4232,155.4172,297.3772,495.4212,121.3912
95.1752,154.0092,299.6462,496.4512,125.5932
93.3832,151.4602,301.4722,496.0892,130.9742
90.9402,150.3552,303.4882,498.1522,133.8972
90.7422,149.6062,302.7732,497.4092,134.0212
88.3092,150.1222,303.0312,496.1832,135.4412
86.1592,151.2732,303.5622,492.7762,134.5772
84.8482,151.3772,302.4402,490.8132,133.4942
83.2242,151.8152,301.5432,487.1642,130.9062
81.3572,153.8792,301.8752,481.9542,130.5572
80.6132,156.8132,302.7622,479.2542,129.9862
80.6572,158.2512,304.6912,472.8802,126.6522
79.2112,157.2012,306.2732,468.1542,123.5212
77.5102,157.6312,309.5412,462.7952,122.3012
76.4022,157.7382,312.2912,458.3552,121.1332
76.3082,157.5562,316.3792,453.0962,117.2272
75.3122,158.9622,319.9542,447.8392,116.0552
75.2982,161.1342,319.9472,441.3682,112.9832
73.2472,162.4512,324.2552,434.7022,110.0142
72.3912,160.0242,324.7002,430.6392,107.6992
70.4232,157.9022,323.4252,425.2312,105.1672
70.8032,156.9412,323.4182,423.9692,102.0042
69.1072,157.4522,322.0942,418.8512,100.0342
68.4422,158.6082,318.1522,413.5452,98.1902
66.8122,157.9262,314.4132,406.9282,97.2632
65.9362,160.0682,313.3842,398.1322,94.0862
64.1802,163.0922,311.8382,390.3882,91.4292
63.3372,166.3762,308.5932,383.2982,89.3782
63.9172,168.9522,301.8892,375.5072,87.7672
64.6712,169.0872,298.3582,368.2412,86.3972
64.5482,170.1412,294.2702,357.1662,87.3422
65.3532,170.7672,288.6782,350.1182,87.2072
65.4502,169.4782,283.8782,343.4602,87.2572
66.3272,166.6842,281.1822,334.5542,85.8972
66.3152,159.2272,275.7722,326.2242,85.8722
67.1742,151.7822,268.7362,317.3822,84.9092
65.4992,144.7662,261.5082,309.9442,85.4472
64.3702,137.7752,255.7172,301.7392,87.5922
62.4952,133.2892,250.1492,295.8112,86.6572
61.3382,126.4372,242.9822,287.8862,87.3592
59.9402,124.7262,238.6812,280.9862,85.8782
61.1162,121.8472,233.1992,274.5702,84.3222
61.3922,119.9432,226.0032,268.2582,83.7372
61.8212,117.6372,218.4772,263.0522,82.3972
61.8022,116.8382,213.3112,258.2152,80.9582
60.8332,115.0472,209.4962,254.5632,79.7672
59.9552,113.6712,201.4732,252.4062,79.3042
59.5522,114.8092,198.3662,248.0972,76.6002
59.6332,113.9302,195.5942,247.1672,75.1932
