Crypt 1,Crypt 2,Crypt 3,Crypt 4,Crypt 5
44.73476,47.44776,47.96936,57.29736,56.27166
44.01976,45.81676,47.92386,55.91076,56.77416
43.14276,44.95076,47.33246,53.83766,58.01126
43.91876,45.94976,46.00506,53.91686,60.03496
45.89176,45.57876,44.11656,53.89246,61.38006
46.16976,44.59476,42.17056,54.51116,60.01926
44.92076,44.66176,42.74226,54.46896,59.07856
43.61676,44.75176,41.90166,55.57446,59.08086
42.19576,45.52376,39.94286,55.67356,56.47926
40.77976,44.86676,40.45446,55.40566,54.02836
39.46976,43.39076,40.79406,54.54596,53.61836
38.12976,42.38476,39.87906,55.48366,52.77776
36.92876,41.00576,40.87236,56.95786,52.58576
36.53376,39.71676,39.87226,59.72256,51.24806
37.70876,38.16276,40.40786,60.33486,50.36346
37.17976,37.37476,41.28706,60.14486,50.56676
37.79876,37.13876,41.49686,60.77866,50.72576
38.18376,37.66676,41.30686,59.92216,51.50396
38.43176,37.53276,41.11516,59.37646,51.64266
38.43676,37.78376,41.99696,59.77696,51.24026
39.41276,38.23176,42.78336,61.48196,51.87626
39.25676,38.48576,44.45556,63.34076,52.26356
39.31276,38.95276,45.39356,64.00456,51.95346
38.41776,39.15076,45.52056,64.49236,51.52946
38.15276,39.72976,46.22896,66.05126,52.93246
37.63176,40.16176,45.68326,65.38296,54.06516
37.20876,40.24076,46.16336,66.07866,54.65706
37.37976,39.94676,45.32866,65.90086,55.75986
37.28876,39.03076,46.41596,67.04046,57.20516
37.96276,38.09176,46.79896,67.31666,58.77916
40.22576,38.46976,47.27546,69.01396,60.55766
42.66976,37.65776,48.47246,71.47366,63.42106
46.24676,38.14876,49.48536,74.29626,64.69136
51.96976,39.93376,50.16266,75.93676,67.24026
56.26376,42.27076,51.08946,77.44156,71.83716
57.19576,45.22276,51.22346,78.63846,74.77406
57.42676,49.76176,52.80656,79.59106,76.89096
60.10676,55.16276,54.20666,79.95066,77.44986
63.42776,57.19076,54.63116,78.60356,79.81816
66.00776,58.14376,56.91466,77.88956,82.86706
67.43876,59.51376,58.57726,75.96116,82.62516
68.38076,62.22076,61.34786,75.49176,84.58936
70.02676,65.10376,64.01716,77.29206,85.82976
69.21176,66.50776,65.73186,79.68556,86.81796
69.90476,65.92676,66.73316,80.85716,87.42486
70.61276,67.03876,69.73096,81.46006,88.12386
71.91776,65.92876,70.40406,81.50786,88.70826
74.43976,67.23276,71.82566,80.88206,90.67706
76.97976,67.00376,70.89816,81.39356,90.46806
79.43676,67.94876,69.93696,81.78006,89.95536
80.40876,70.47576,70.12726,82.77926,89.89266
84.60076,73.10276,69.24416,83.58216,89.51356
88.23076,75.22176,68.91056,84.81726,88.09086
89.23976,76.46876,67.91686,86.69546,87.44116
90.85276,79.35176,67.08816,86.16526,86.58786
93.94576,83.28076,69.01726,85.86716,86.12426
96.73876,85.95576,70.88916,84.98186,85.36446
97.99176,86.69976,70.90786,85.97756,83.42306
98.85976,89.79476,70.41076,86.38026,83.59916
100.07176,92.86976,71.48756,87.99986,82.98546
103.18876,94.42976,71.88656,90.49336,81.09096
103.78676,95.23176,71.58176,92.11766,78.33896
105.25076,95.45376,72.08356,94.11596,77.94496
105.21276,99.16776,71.51046,94.79786,77.81986
106.81376,99.31876,71.50036,94.93036,75.36016
106.12776,101.85876,71.61526,94.64566,74.16066
107.45576,102.04776,71.26656,95.41866,72.16986
106.00776,102.15276,71.33296,98.28496,71.07306
109.54876,103.03376,69.77876,99.58946,69.68136
111.61676,103.73276,70.61286,99.67016,68.24416
114.18676,102.82476,72.04496,98.70426,68.60826
117.44476,104.48276,72.30726,99.57166,68.18976
119.99776,107.53576,71.52146,99.99346,69.23956
120.85676,109.21676,72.05426,99.02526,71.66386
122.19676,112.69076,72.59846,99.05386,70.97256
122.66376,115.76276,72.21656,99.27976,70.28086
125.27776,118.11676,72.35986,98.72236,69.70046
125.16876,118.07976,72.08566,97.51186,70.17186
128.03376,118.95176,71.59236,96.16166,70.68006
127.86476,121.70976,69.74056,94.42626,70.15786
127.94476,122.50476,68.15616,91.84406,70.34396
128.74976,124.35476,66.31986,88.38096,70.75176
130.81676,124.68776,65.18446,85.51306,70.08116
129.74976,124.55476,63.87206,82.18706,69.63156
129.09076,125.92876,64.11316,79.42076,68.31296
127.88076,126.84576,64.41036,77.26316,68.54566
127.73176,127.85676,64.46666,75.82866,69.36206
128.11076,126.70476,65.00916,75.25596,69.94836
127.77276,126.26376,66.85986,74.86146,68.17246
126.70076,125.54576,68.43176,73.40826,67.16456
128.35276,126.70376,68.66216,70.73566,66.24816
127.91376,125.80776,68.79876,68.68976,64.10356
127.52576,125.36376,67.48536,66.36526,62.30696
126.06576,125.85776,69.50666,64.70226,60.20946
125.16476,127.32976,71.25016,63.38216,59.20306
123.51276,126.51676,71.80326,61.87366,58.35586
121.05276,125.93376,71.65606,61.01506,58.89586
119.25876,124.58176,72.09806,60.98636,59.21416
117.65076,123.35776,73.14806,60.60296,57.99586
115.41676,121.67176,74.43026,59.49846,56.48196
115.82576,119.48076,73.78896,58.32716,55.65526
115.46676,117.37876,74.10396,57.87146,56.40386
114.16876,116.23076,74.38766,58.30966,57.26436
115.42176,114.68376,74.73436,58.07096,57.42196
113.72276,115.67876,74.95036,58.99546,57.04706
112.45576,114.09476,74.80566,60.35576,57.35916
111.49376,114.41376,73.86546,61.76806,57.00196
111.79276,114.54476,73.29676,63.50766,55.49286
111.14676,112.72176,71.64636,64.82836,55.90646
108.54376,111.34376,70.78556,66.58786,56.67186
107.05576,111.61276,70.62006,68.34026,55.71256
106.70576,111.38576,70.29616,71.04746,55.68546
106.55976,109.54376,70.12316,72.47966,55.03416
105.51476,107.51876,70.11896,72.84716,54.49006
105.19676,106.29276,71.17296,74.52156,54.83026
106.44976,106.00176,70.93566,75.58946,55.45676
108.05076,106.37776,71.77526,75.83516,55.59936
107.18076,105.16976,70.71496,78.26796,56.58496
107.44076,106.77276,69.91896,80.52646,57.03836
108.35276,107.40976,69.77336,79.59326,57.05076
106.19076,107.43976,70.10926,79.06886,57.26836
104.69876,107.47776,70.27016,78.89686,58.59276
104.21376,109.23676,68.72786,77.53486,59.12296
104.72576,107.39576,68.56736,77.23086,59.68336
106.17076,105.38676,67.85846,75.60366,60.09596
106.98376,104.10976,67.12826,76.08566,60.11346
108.54176,104.73376,66.64606,75.62546,60.37746
110.64276,106.42976,65.25036,75.94246,60.69706
111.35376,106.92876,64.08186,74.96666,60.41566
113.82576,108.20676,63.85686,75.09496,60.62826
116.41576,110.69676,62.97926,73.93096,61.38856
119.36976,110.65076,62.47846,73.17896,62.02246
120.43576,113.19776,60.47926,71.58736,62.01316
120.36576,116.86176,59.58486,70.95696,61.98106
118.71676,118.83376,58.66536,72.64226,63.15616
115.98176,121.38576,57.26106,72.06786,62.90726
112.76576,121.55776,55.97176,72.97236,65.01776
109.98276,120.94076,55.91316,74.47796,66.21666
108.31676,119.09276,55.00506,76.76976,65.95826
106.71776,115.83476,54.84966,77.33646,66.98616
104.47176,112.91576,54.94846,77.55566,67.17016
102.68476,111.33076,53.73626,79.06626,68.23336
100.69276,109.73376,53.04506,78.43776,68.57266
98.62476,107.77476,51.62466,76.57206,70.42696
95.42076,106.24176,51.45096,76.99846,71.60886
92.56476,104.11576,51.43616,77.28996,72.08386
90.07476,101.22176,50.01926,78.40306,73.09146
84.17376,98.97376,49.16996,80.08946,72.99496
79.75776,96.22976,47.84436,79.90336,74.67856
76.02776,93.79076,46.40826,79.27866,75.05956
72.09576,88.77776,45.76476,78.15996,75.73176
68.99676,82.84476,45.70516,77.55926,74.74966
64.86876,78.95176,45.20576,76.47206,73.31766
61.76076,75.16276,44.48526,74.11986,72.37376
58.86776,71.52976,43.89846,71.43716,71.78676
56.04076,67.50976,43.49806,67.84856,68.05766
