Crypt 1,Crypt 2,Crypt 3,Crypt 4,Crypt 5
122.4254,136.1894,73.2974,74.4234,144.2154
125.2094,136.6444,70.6414,71.2894,138.9484
128.2294,139.4634,69.5194,68.6224,136.7474
130.5474,139.9724,68.5934,64.9634,133.5634
132.6724,140.3384,68.2304,61.3624,130.5944
136.8664,141.8974,68.3724,58.5454,126.4874
136.7854,143.6384,67.5144,56.4094,125.5374
138.1334,144.6104,66.7504,54.7614,121.5474
138.3774,146.1084,65.3924,54.7764,120.9624
139.2914,148.4194,64.3694,55.9984,118.3004
140.4004,150.1084,63.2654,55.7394,115.7764
141.4844,150.7894,62.3034,56.7194,110.4174
140.8834,150.4344,61.4804,59.7644,105.8914
141.2954,151.2674,60.6484,61.4704,103.6674
141.7734,150.1124,61.3044,64.5294,99.9114
138.9534,146.0694,60.9764,68.0774,95.2464
136.4474,142.5844,61.3274,71.2554,90.1024
134.9654,140.6254,62.3114,75.5424,86.7434
133.1454,139.4284,62.2484,79.2284,84.5174
130.2824,137.3624,62.4404,81.9074,83.5094
128.3464,135.5534,62.2024,84.1694,81.5724
127.9304,132.2854,62.4944,86.2034,79.7194
125.0304,130.2954,62.1644,85.8284,78.2204
123.4754,129.6614,61.4614,87.0664,76.6344
122.9694,130.4714,63.0694,88.5344,76.4464
122.6664,130.2744,64.8714,88.5034,77.5394
122.3554,131.8024,65.1434,89.3244,76.5054
119.9954,130.9054,65.2184,87.5134,74.9234
118.5574,132.5984,65.5704,86.7354,76.4204
117.7904,135.6414,64.5254,86.0704,75.9694
114.5944,138.6264,64.3414,84.8694,76.5084
113.1714,140.6324,64.0174,84.1014,76.9284
111.4794,147.5124,65.3114,83.5954,77.6204
110.0994,149.2694,64.7854,82.5834,79.5274
109.9964,152.3694,64.5044,84.0024,84.3284
109.5304,155.1154,63.9104,84.8974,87.3184
108.8724,160.2924,64.6944,83.9194,90.5644
108.4404,165.9924,65.3554,83.5164,92.9464
110.8894,171.3124,66.6974,84.7074,96.1054
113.2854,176.1864,66.5274,87.1494,97.8234
115.5714,180.5284,66.4364,86.8144,99.2994
116.5184,184.4304,65.5504,88.5904,102.0824
118.4084,189.9814,64.3724,90.8554,103.0884
121.2134,193.3684,64.1374,92.9324,106.0594
124.6814,200.4504,65.1514,93.4944,108.1674
127.5464,202.7284,66.4404,93.3934,109.9304
129.7654,206.9114,66.9264,92.7084,110.8884
134.0054,210.4344,68.1114,93.1094,109.8164
137.2114,211.0634,71.1434,92.7764,109.5364
142.6394,211.0954,75.0674,93.3124,110.9034
146.2404,213.7684,75.9394,92.0464,109.4784
148.2544,214.9864,75.9174,91.1704,108.0044
150.4204,215.8844,76.0934,91.1374,106.4904
155.0084,215.9274,76.5754,91.6994,107.0624
159.5444,216.2284,78.2544,92.5594,106.3444
163.9424,216.2254,80.3154,93.2044,104.9844
168.2084,219.4994,84.0634,93.8754,104.4064
172.6864,219.4594,87.6194,94.2674,103.1224
175.4754,223.4104,90.5064,92.6534,101.2574
180.3044,223.5814,94.4814,91.5334,100.3694
184.2164,224.9494,95.7044,89.1034,98.8184
188.2784,226.8984,96.5584,87.8344,96.0994
191.8924,228.1974,96.7314,85.4854,95.5774
197.4344,229.4094,98.6934,84.2084,94.0154
201.2964,228.9734,99.8404,83.7014,94.5344
209.4414,226.3284,101.9114,84.3734,95.3094
215.4904,227.2414,101.8604,84.0974,95.7174
223.6164,232.4834,102.9364,82.3274,96.6084
230.4504,236.0454,106.4314,83.1694,100.0564
237.7344,239.4714,109.6924,82.2934,103.4184
245.3104,242.9984,112.3014,81.7534,107.1554
250.8794,248.5554,113.3734,78.9374,109.3254
255.9624,253.3204,114.8684,77.3234,113.2934
260.8964,256.6084,116.2324,76.3514,115.0694
267.6234,261.8314,119.0074,76.4104,117.3444
272.9364,268.5144,119.6964,76.2594,120.7654
278.4904,274.5254,121.1724,74.3394,123.2894
281.1034,280.0884,121.9124,73.5744,125.6054
283.0714,285.5494,121.2184,74.1664,127.8264
282.2364,289.7824,119.7254,73.5244,131.8064
284.0184,290.5374,117.5454,72.4144,133.7504
285.9614,295.2914,115.7684,72.2354,138.1404
286.5224,296.9224,116.4814,71.9114,140.3574
285.7964,296.1004,114.3224,72.7974,141.7004
285.5864,296.0804,112.7514,74.5354,142.6324
286.6694,296.6794,109.1564,75.9584,145.2774
288.3874,292.1044,106.8384,77.5014,146.0954
285.5554,291.1694,104.5084,77.1204,145.8104
283.5974,290.8584,102.3344,78.6364,144.4534
281.9214,291.2854,101.8044,80.7294,146.7594
280.1114,290.5114,99.3354,80.9464,148.1264
280.0374,289.9454,100.6864,82.3734,148.1124
276.9464,289.6114,101.1694,83.6264,149.6304
272.1774,289.0324,101.9504,86.6434,153.0954
268.6874,288.9864,102.9814,87.5414,154.6474
264.5274,288.9824,104.5694,89.4814,157.4704
261.1734,289.6674,107.1924,92.2654,160.3174
258.1944,292.5114,109.0444,95.8394,161.9134
255.2324,293.6584,109.3754,99.1284,161.5554
253.8734,294.4804,109.8734,101.2224,161.1954
251.2194,291.7094,110.3664,103.2584,163.0924
246.6374,290.9624,112.2824,104.6174,165.1484
243.9044,295.6204,112.1784,106.8154,167.4654
243.4164,298.0384,112.5214,108.3334,170.1244
243.3914,302.4864,113.1944,109.3414,171.6134
241.1024,305.5624,112.6294,110.5304,171.1354
240.0934,309.6224,111.9204,112.7874,170.0114
240.6554,311.2604,110.4434,115.5904,169.6324
239.8694,309.7594,110.8944,117.0544,169.8984
240.1564,309.1014,111.2024,119.6874,167.6984
241.4904,312.7294,112.6754,121.6134,166.5164
243.7164,313.6904,114.8734,123.2924,166.8594
244.8344,313.4374,116.6334,124.3714,167.8094
246.0374,316.7084,118.8394,127.6534,169.8964
245.5514,317.6114,118.3594,130.6454,171.1644
247.8714,318.3874,119.7704,133.7674,171.8864
253.7334,322.4974,122.8094,136.4014,173.1634
257.7524,324.2564,125.8024,138.9464,175.4424
263.7054,325.0034,129.2034,141.7754,178.0304
265.3754,326.3884,132.9494,146.4254,178.1094
267.7684,329.4804,137.6864,152.5004,178.1134
271.6164,333.7944,138.8054,157.2794,177.0764
272.3434,334.1234,141.1854,163.3354,176.3254
275.3204,333.3584,143.4044,170.8734,175.1634
281.9034,335.6244,147.1704,178.7144,173.7094
284.8294,336.8044,149.3844,184.7484,171.6324
286.0264,339.4174,153.2574,188.6214,168.2214
288.6454,341.1204,157.0794,195.5424,164.6214
291.7114,342.9204,161.3664,200.7664,159.6754
292.2914,343.6604,162.7734,203.6524,160.1184
293.2254,344.3774,166.1184,205.3784,157.2494
292.9784,346.0434,169.0204,208.9824,156.3454
294.5234,349.8094,172.3994,210.5544,153.9174
296.1404,353.3714,174.4594,212.6524,149.7334
297.8134,354.2374,175.7814,214.1164,148.3024
301.6024,354.3304,175.6374,213.8374,146.6954
298.1834,354.8564,177.6474,215.7984,145.8544
299.2684,356.5704,178.7554,215.3424,145.6284
298.2114,355.3924,180.9724,216.1134,145.4334
297.8634,355.9304,182.2124,214.1394,149.6594
296.0274,357.8714,184.0774,217.1834,151.2084
301.1844,358.9874,186.9604,215.2754,150.3634
302.1494,357.4404,188.3474,217.9124,149.5034
305.5184,356.4554,190.3684,219.1604,151.7494
309.4604,356.6524,191.1024,220.3694,153.6554
311.9394,357.5114,192.4774,219.9934,154.5614
313.6254,358.5114,192.8114,221.9694,153.7824
318.0994,359.5764,193.6614,222.2914,151.9514
321.1684,359.3444,193.7324,223.6314,148.0834
322.2554,359.3034,192.1884,227.9494,146.4524
324.0694,361.4594,191.8524,228.3564,144.1574
325.3414,362.3554,190.1434,229.8874,142.9044
327.7744,362.7964,189.6984,231.6074,141.8384
326.9464,364.0994,189.3904,229.1554,141.5664
324.6874,366.7804,190.3414,230.0234,140.0824
320.7804,368.2074,187.4674,228.2834,140.1594
317.5714,370.9904,184.9624,226.7454,142.1024
313.1484,371.2264,183.3164,226.4484,143.7474
310.5184,369.7284,181.5634,223.0524,144.5884
306.3274,370.6184,177.7114,223.5024,147.0204
302.7684,371.5204,171.7954,221.2144,148.4234
299.1534,374.4734,168.5964,219.0314,151.0814
295.7004,373.8974,166.0684,216.3874,150.1484
290.8954,374.7924,164.1654,214.3604,147.9424
287.3014,376.1034,163.3784,212.7144,143.4894
280.7404,375.0274,160.4484,211.0614,140.1714
277.8274,376.2054,158.9484,209.6554,133.4004
277.9724,373.8684,158.0384,207.5594,129.4474
274.0824,374.1894,155.2284,206.5974,126.3954
273.5784,373.1794,152.6654,206.8604,125.8624
272.2134,370.7944,151.0914,207.2704,124.8574
271.7204,368.3454,149.3784,207.1564,123.6004
272.5144,365.2574,146.9934,204.6404,121.6074
274.6324,363.9344,140.9674,206.3954,120.2704
276.2594,362.3934,139.4374,205.3294,119.1064
277.4214,356.9924,137.5794,207.5914,117.0494
279.3774,356.2014,135.4664,210.4314,115.5864
280.4264,353.5144,134.0834,212.0964,114.8224
280.7384,350.4444,133.1224,213.0274,113.8344
279.8524,352.5734,131.7294,214.6024,112.8104
278.0294,351.3674,132.7654,214.0754,112.1394
276.1394,346.5044,132.3074,213.6734,112.6614
276.0954,341.2754,134.1754,213.7744,109.2354
276.7284,339.3504,132.0704,211.1334,107.3244
