Crypt 1,Crypt 2,Crypt 3,Crypt 4,Crypt 5
197.292,299.938,354.631,547.14,512.285
194.632,297.694,357.791,531.769,502.074
189.08,291.268,348.803,520.471,489.121
182.474,274.274,336.433,513.818,477.668
176.711,257.699,323.021,507.963,466.3
168.47,242.408,308.718,502.725,456.686
158.957,228.821,291.5,484.777,441.159
150.683,214.774,274.937,471.034,425.201
145.3,204.684,251.005,455.185,408.319
140.538,196.895,224.786,451.389,395.129
136.315,195.276,199.123,450.245,381.787
132.566,189.795,181.571,446.521,371.693
130.934,184.04,170.75,450.535,365.258
132.312,176.604,161.704,452.617,362.727
130.867,171.649,156.451,455.909,363.639
130.656,167.372,153.527,455.845,364.12
131.182,166.061,151.565,453.489,356.964
130.383,164.55,151.123,452.905,349.879
133.003,163.855,150.005,451.94,340.95
133.108,164.415,151.32,444.588,339.807
133.861,162.754,154.81,437.077,342.948
135.917,160.321,156.817,427.81,349.637
137.008,160.209,159.667,420.377,359.099
137.547,159.476,160.685,413.488,368.291
139.097,158.585,163.824,409.741,385.162
139.783,156.473,167.998,407.47,403.304
142.979,155.702,171.118,406.089,421.658
144.211,155.619,171.392,409.092,438.363
145.976,153.479,173.978,419.573,453.901
147.492,153.433,174.884,427.88,470.559
150.611,147.465,176.565,438.925,483.141
151.342,145.959,179.24,448.718,494.334
154.271,144.191,181.213,462.071,507.573
155.934,143.595,183.515,476.258,516.112
156.76,140.451,187.445,485.55,523.847
156.817,138.351,191.516,499.033,530.644
160.923,136.924,195.977,515.597,531.981
161.799,137.805,202.64,526.127,530.307
165.708,137.783,212.901,532.604,527.981
169.501,141.977,217.091,540.14,528.042
171.892,147.131,223.135,545.609,523.486
177.774,149.635,231.184,547.901,516.727
180.559,155.592,241.737,546.855,511.165
185.84,159.113,261.263,553.586,518.412
192.046,160.765,282.873,564.803,526.402
200.367,162.665,304.192,574.718,530.791
206.911,167.412,330.721,579.999,541.103
213.463,172.073,359.669,577.671,550.814
219.096,176.436,391.32,574.163,559.836
225.265,182.176,420.675,577.294,569.338
232.671,188.193,444.319,584.838,570.36
241.501,195.58,462.73,582.563,577.979
247.792,200.114,483.535,575.558,576.339
260.016,205.474,506.144,578.083,576.715
268.15,210.347,521.083,582.574,579.556
279.498,215.406,525.309,586.839,580.56
291.897,218.658,529.692,593.27,582.506
303.621,227.231,533.285,605.745,582.601
313.127,234.985,540.981,615.279,589.828
325.618,246.56,551.029,614.933,587.362
341.481,261.841,557.247,620.318,579.781
352.592,275.876,559.964,624.86,581.149
367.969,285.554,562.851,637.444,590.472
379.342,292.186,569.469,647.375,602.71
392.798,297.75,571.64,652.687,610.262
411.357,302.143,575.752,653.748,609.907
429.016,304.604,580.523,655.034,611.578
447.617,307.234,581.123,652.871,609.334
463.579,308.839,583.391,650.536,611.782
483.685,311.213,585.019,645.261,619.175
507.556,312.263,583.061,648.588,633.002
526.597,312.705,581.53,663.622,645.212
545.594,313.604,579.377,683.855,652.976
555.699,316.821,572.855,699.733,653.35
563.829,317.429,565.567,709.371,660.478
573.133,318.388,557.402,718.887,667.098
581.679,320.584,546.101,725.381,670.03
590.285,318.71,543.408,726.44,670.66
596.901,318.922,541.163,725.955,672.99
603.086,323.192,546.65,727.654,672.694
614.837,328.197,553.025,726.197,677.391
623.744,330.916,562.108,728.809,679.219
633.563,329.791,573.177,729.316,694.301
645.793,336.532,582.785,735.26,711.379
657.59,339.724,592.59,741.535,728.465
671.291,338.526,608.184,739.793,741.364
688.357,332.915,622.303,737.182,750.867
700.304,329.615,634.659,736.389,761.513
703.24,330.13,647.007,730.585,787.151
708.499,330.673,655.928,720.854,804.979
719.211,327.082,671.211,708.351,821.879
728.313,323.191,689.056,701.586,833.431
732.346,327.085,704.113,705.571,846.188
737.407,330.833,720.36,710.441,855.706
742.298,325.318,738.593,715.319,865.753
749.807,318.012,754.794,716.481,873.832
753.557,313.457,775.125,727.899,886.556
752.63,310.376,795.43,740.038,904.882
748.799,308.993,810.554,746.453,918.777
733.999,311.606,825.054,752.261,930.59
722.567,316.471,839.278,759.251,945.848
717.936,314.415,846.692,765.846,961.849
722.345,316.503,853.797,776.094,966.305
724.162,321.194,865.182,789.564,962.511
729.838,326.224,878.473,804.487,959.859
731.88,332.793,892.078,824.378,955.985
732.974,337.54,900.344,846.952,947.741
730.498,341.671,908.455,866.22,939.702
726.976,342.557,917.041,880.538,934.364
726.353,346.966,925.08,899.267,935.398
723.287,351.376,929.188,914.468,939.584
725.275,357.779,929.642,931.473,938.849
733.109,356.696,924.243,945.592,934.841
738.787,358.44,907.562,960.078,934.768
743.278,355.172,893.324,973.594,932.883
742.141,351.471,880.576,980.708,925.894
741.626,347.088,869.801,992.028,927.927
741.096,342.526,858.271,1004.594,938.001
741.022,341.427,849.213,1017.281,954.628
738.73,339.893,839.346,1034.326,969.278
735.862,337.421,827.573,1044.019,982.366
743.966,335.362,820.868,1045.281,996.44
752.346,336.109,811.145,1045.472,1006.829
755.444,338.771,812.148,1044.457,1014.513
751.032,339.982,812.865,1045.159,1014.627
745.137,338.773,811.071,1049.879,1009.425
740.978,341.924,797.759,1048.846,1000.17
734.121,346.72,787.257,1049.934,1000.03
727.459,351.692,770.608,1051.92,1000.855
723.954,357.292,753.712,1047.787,997.555
727.327,361.884,739.101,1042.992,987.07
723.388,367.863,718.738,1033.448,968.582
716.465,374.268,704.467,1030.106,951.944
711.689,387.699,687.666,1032.015,936.99
707.822,403.784,677.892,1034.726,922.465
706.815,416.497,662.912,1037.247,912.094
707.127,424.572,651.588,1036.623,899.913
703.384,433.449,639.941,1022.847,882.595
703.831,439.186,623.495,1014.531,864.734
709.088,449.326,613.461,1014.133,847.413
707.95,457.268,601.966,1012.56,833.415
708.275,462.854,600.058,1008.34,818.745
708.008,472.988,596.334,1001.007,805.876
710.802,480.236,595.856,993.168,789.93
711.017,484.196,598.178,983.966,775.954
710.48,486.603,598.228,974.26,761.335
711.264,492.789,598.945,972.936,748.607
710.019,503.786,600.452,975.393,745.095
709.513,515.094,604.897,970.944,740.64
707.436,520.462,604.437,967.101,736.819
711.562,521.115,606.867,951.366,733.84
718.25,520.093,613.162,932.918,735.443
724.152,522.585,621.32,917.394,741.247
733.916,521.846,628.162,908.116,749.574
745.49,516.384,633.271,907.207,746.564
765.455,513.268,636.336,904.399,742.42
786.758,509.636,635.564,893.624,740.737
804.849,513.303,639.821,884.302,739.594
817.986,517.393,637.755,877.735,746.973
825.695,521.619,632.454,874.832,747.499
828.902,528.878,628.939,867.369,748.545
827.505,535.104,629.613,847.709,743.061
831.906,538.38,633.932,830.149,742.507
840.936,542.968,634.508,820.545,740.138
847.259,546.277,640.734,810.432,736.759
853.617,548.493,642.784,797.044,738.75
852.033,548.792,647.909,785.894,749.076
849.514,557.102,648.934,781.61,757.642
854.603,561.059,650.677,774.196,754.366
857.522,561.706,653.377,770.41,757.49
857.494,560.973,656.144,764.4,761.405
860.16,564.31,659.317,760.062,773.444
862.799,559.828,665.323,765.642,785.745
866.242,551.483,672.509,768.639,792.858
878.395,550.199,680.035,763.004,798.478
896.159,551.765,684.404,757.826,800.165
912.383,553.731,685.705,757.724,800.34
918.033,552.899,684.311,752.81,805.593
919.645,552.714,684.731,742.157,813.424
924.861,552.196,693.863,728.127,822.134
935.454,550.874,703.569,719.168,827.396
947.888,550.94,712.827,720.451,830.578
949.402,552.549,725.172,718.518,835.942
951.562,551.73,733.166,723.488,835.75
948.643,551.7,739.08,728.248,829.942
943.242,556.187,746.54,730.558,825.134
931.927,559.184,752.624,733.167,820.455
932.267,561.005,768.537,740.968,817.574
934.628,558.273,777.048,743.523,820.009
931.043,552.264,790.708,745.074,818.779
938.867,542.162,805.431,742.004,810.765
948.622,534.049,817.084,736.936,803.796
959.244,529.124,829.136,739.054,796.294
964.418,530.197,842.801,736.969,781.71
968.666,534.551,851.175,735.458,765.261
974.73,536.382,856.721,734.945,747.049
972.473,541.217,863.389,733.625,730.93
967.054,549.092,868.516,718.478,723.137
958.72,552.678,877.219,708.977,713.231
957.696,553.079,884.998,688.843,705.142
957.954,552.488,889.692,676.846,696.461
952.991,554.25,897.375,669.003,685.516
949.166,558.012,911.042,664.115,678.232
944.523,562.303,921.935,659.375,678.3
943.736,567.833,931.367,663.403,667.628
941.04,568.526,938.386,659.988,649.067
937.309,568.154,951.228,650.375,634.96
935.742,563.592,964.924,639.632,623.414
938.062,557.881,981.88,631.363,607.475
938.842,557.656,995.172,623.274,595.501
941.285,555.207,998.583,613.864,584.972
947.542,548.954,999.527,605.145,577.208
946.609,545.042,1007.521,592.158,570.203
941.744,545.916,1017.772,581.211,567.948
942.171,544.801,1020.34,582.002,564
940.072,545.818,1021.535,581.638,570.252
938.202,541.484,1020.157,580.622,567.229
935.984,541.823,1017.797,574.132,555.849
935.427,547.571,1009.326,565.124,545.177
930.082,544.552,1001.846,563.355,535.313
918.294,538.679,989.821,561.922,530.413
912.051,537.042,975.714,559.08,525.275
905.732,527.716,965.222,555.419,522.428
899.35,516.202,958.954,558.547,508.64
899.996,507.728,948.785,566.502,499.278
896.564,502.213,934.979,569.588,489.379
891.133,498.763,925.891,565.2,477.562
879.74,489.285,913.895,557.645,473.091
878.568,479.549,900.463,551.15,465.941
879.469,472.357,892.593,552.793,454.009
871.761,465.144,877.236,556.353,440.966
867.277,456.392,856.223,562.502,433.698
869.685,448.939,838.389,560.484,428.049
869.609,442.179,821.196,559.149,419.775
867.353,445.288,806.598,560.002,406.422
