Crypt 1,Crypt 2,Crypt 3,Crypt 4,Crypt 5
369.3458,878.0308,455.6758,662.4038,595.4278
389.8108,948.0298,476.6858,712.1228,619.2518
429.4438,1020.1888,496.7448,759.9658,638.7648
472.1568,1092.4418,524.7088,808.0148,655.9888
517.2208,1157.0098,561.4648,837.8498,665.5108
568.2008,1213.5338,606.9028,850.1778,675.9598
619.0588,1275.6858,653.3418,860.8038,683.9868
673.1508,1330.8678,710.0318,880.3308,687.7408
714.7898,1377.1628,763.1418,902.7988,689.2588
743.2068,1412.0218,804.0168,929.7458,689.1628
764.7218,1444.3728,848.2548,949.5438,682.2758
793.1928,1461.1108,909.7108,973.2718,674.2988
816.7928,1433.1348,987.1048,995.8108,662.5468
847.4738,1401.9408,1056.2238,1008.2058,648.3228
880.8658,1387.6958,1112.1738,1011.0638,631.7498
902.1718,1387.6998,1160.1108,1008.9448,623.6418
915.3568,1395.0568,1189.7848,1008.4458,632.6788
932.6998,1409.7918,1196.1398,999.8408,644.7338
941.0868,1419.4988,1199.8708,993.6558,648.5538
935.5558,1416.2878,1178.7228,982.9388,652.9758
918.0838,1430.1978,1140.0108,956.5048,653.7248
922.7208,1469.3328,1083.1308,921.6978,648.9908
952.0608,1501.3998,1022.7158,889.7408,642.2388
972.0898,1535.5948,966.0528,878.0348,634.0178
997.8208,1580.4638,927.7598,885.1248,632.9378
1015.2618,1620.9518,917.1918,882.9618,629.3168
1009.5078,1640.7678,910.6708,881.7888,632.5738
1003.8698,1639.2938,899.8298,890.6268,633.9578
996.5688,1608.1298,884.6138,896.9748,626.3898
989.1798,1585.9948,860.7908,898.2948,623.3268
987.2438,1583.1618,828.4688,901.8268,621.3628
989.0748,1583.6528,810.3078,917.0838,613.1268
976.5438,1592.8228,796.2958,940.0268,592.2348
978.6228,1611.2698,776.0518,960.4478,575.1068
999.7038,1644.4028,745.2488,974.8548,565.7628
1031.4928,1688.3158,714.0058,971.9518,556.4548
1075.9628,1726.0108,690.8998,966.8598,550.4708
1115.7248,1749.5718,675.1428,961.5518,545.5108
1139.7698,1756.2958,667.8968,948.7658,553.2578
1168.9568,1758.7148,674.5258,933.2248,570.0108
1215.4798,1743.3558,677.5228,928.8728,587.6608
1254.3888,1722.6378,669.9678,937.4008,593.1358
1278.1948,1710.4798,661.5328,937.5518,584.8958
1286.6158,1690.4338,658.8958,941.9918,570.7358
1286.4668,1646.9728,661.3518,953.9178,571.1068
1278.7868,1598.1298,664.3328,957.0058,584.0148
1259.4108,1566.7058,662.5268,971.4498,600.4588
1243.3808,1549.0228,663.2508,977.6138,605.0538
1246.5338,1541.5738,664.1888,981.2208,604.5348
1255.4188,1539.2928,655.7438,980.2018,609.2618
1248.6478,1529.3998,646.7388,985.4568,620.3398
1206.9468,1484.3738,634.2438,985.2258,631.8978
1133.5988,1438.8648,623.1938,984.1188,640.5558
1084.4978,1411.6698,606.3428,982.8548,643.3028
1077.2808,1385.2238,595.3608,983.9618,652.1328
1075.4928,1349.9478,593.0648,983.5778,657.0388
1049.5028,1326.3408,585.3168,977.5558,654.8328
1017.6628,1318.2778,574.9758,966.7768,650.7348
991.1678,1309.5028,564.2818,972.7088,650.0568
978.8578,1296.7758,547.0878,980.9468,651.9188
973.5598,1282.2088,534.5458,964.8728,656.6138
978.0358,1250.3138,525.7088,949.5938,663.0308
1000.5028,1205.2698,515.9808,948.9468,664.8368
1030.7258,1164.7088,495.8958,951.2608,656.7358
1057.9518,1134.1458,475.5708,941.2238,658.6148
