Crypt 1,Crypt 2,Crypt 3,Crypt 4,Crypt 5
21.4054,41.6574,38.1834,41.0374,34.2584
21.2034,42.5864,38.5394,43.2894,33.9734
21.2364,43.3454,38.2624,46.4034,32.6954
21.7754,44.7534,38.2164,46.0774,32.1674
23.0474,46.1334,38.3534,48.0714,30.7864
22.5354,46.5684,38.5324,52.3114,29.5844
23.1854,44.7794,38.6014,52.7434,27.9594
22.5074,44.5804,38.0974,48.4444,27.1124
21.6674,44.6934,37.2144,46.3714,26.2784
21.9174,44.4304,36.6504,46.0484,27.1804
21.9874,43.5684,36.8764,45.7914,27.8794
21.1354,44.7794,37.4324,46.8884,28.9274
21.1594,44.0724,39.0194,48.4244,29.3734
20.3364,43.3014,40.4034,49.5314,29.6154
19.0924,43.5894,43.1164,51.4934,29.7544
19.6584,44.4114,46.6614,52.8964,31.1254
19.1914,46.1684,47.6734,55.6124,33.1364
18.0574,47.0914,47.0824,56.9174,35.0684
17.2904,48.6884,48.8654,59.8814,40.0344
16.8124,48.5544,49.7324,61.2644,45.5854
16.5924,49.3764,50.8584,63.0834,49.1684
16.1894,50.6144,54.3664,63.7694,49.7254
15.1154,52.6734,55.8614,65.0174,46.7564
15.2294,53.6614,58.0464,65.2304,45.3184
14.6424,54.6534,58.8704,66.1694,42.8214
14.3464,55.7984,62.6844,66.5444,43.7204
14.2794,55.1284,64.5694,67.7914,43.8974
13.8024,53.8974,66.4824,67.6114,44.8504
14.4484,54.4644,68.8964,67.9804,44.6634
14.4364,54.9714,71.4324,69.6964,45.0104
14.4374,57.0874,73.9064,69.6094,46.8664
15.1904,58.4634,76.8834,69.0124,49.2724
14.1394,59.2774,79.8314,70.2664,52.0704
12.1994,61.2644,83.1184,70.0774,54.8874
13.4494,62.2794,86.3134,69.3974,57.8204
13.3334,64.1074,89.9514,71.1684,60.7804
12.3794,64.1984,92.1384,70.4214,63.2354
13.2384,66.5564,95.0224,70.4414,65.3754
12.9444,66.8094,100.0384,69.7754,68.6354
12.3614,67.1064,104.5194,69.1424,72.7484
11.5694,69.5244,108.8334,68.6204,79.2034
10.8304,70.0644,111.4424,68.0424,88.8144
11.3114,70.9584,117.1004,68.3434,97.7004
11.5424,72.7984,124.8954,68.7454,105.1524
12.1374,72.8924,132.1854,68.9954,113.5614
12.4394,73.1964,140.1244,70.6924,121.2944
13.2554,74.7134,146.6374,71.7664,130.7334
13.7944,75.9104,156.9054,72.3704,141.2384
14.1134,77.5384,165.2454,74.1414,150.4804
14.1304,79.8384,172.9594,76.4654,158.6354
14.7194,83.4694,179.5734,77.6964,163.1534
16.1404,88.1944,186.6314,80.0164,169.9514
17.9214,90.6574,194.7364,80.2084,181.4244
