Crypt 1,Crypt 2,Crypt 3,Crypt 4,Crypt 5
93.872,62.181,61.0982,83.7903,42.639
92.2491,61.538,58.306,83.7547,40.741
89.5487,61.299,56.3284,86.0658,40.003
87.9258,61.334,54.8982,85.8097,40.166
84.9635,59.381,53.0772,85.0431,40.9
81.2458,58.118,50.6526,83.4703,40.2
77.5409,58.688,49.5434,82.5432,38.525
73.7992,58.872,48.0373,82.0867,38.495
70.1156,57.916,48.3875,79.7666,37.403
68.0881,56.934,47.3926,77.358,36.538
66.8631,58.5,47.7438,74.2687,35.794
64.7373,59.053,47.3823,73.7365,33.745
63.3741,58.931,47.0219,72.69,32.537
63.0736,59.21,47.1568,69.3862,31.127
62.7706,58.686,47.747,66.5372,29.749
61.5731,59.132,46.3856,65.1471,29.312
60.892,58.579,45.8259,63.1434,30.537
60.5736,57.516,46.2144,62.0866,31.33
61.0466,57.867,44.8913,62.134,31.553
62.3163,58.809,44.8827,62.1238,31.907
62.5732,57.644,45.0832,62.4431,32.12
64.0002,55.437,46.5485,63.4361,32.271
64.59,54.579,48.8808,63.3277,32.598
65.3984,56.01,49.3527,64.7871,33.037
66.9424,57.178,51.1085,65.017,33.606
69.1466,57.739,51.199,65.1601,34.449
71.7775,57.516,51.042,66.3525,35.049
72.9963,56.128,51.2615,66.2454,35.835
73.3631,56.803,52.9632,65.7,35.631
74.8149,57.77,55.567,64.4433,35.845
76.5421,58.518,56.2976,63.9298,37.557
77.6961,59.398,56.5348,63.9894,39.569
79.4841,59.035,55.0608,63.3911,41.913
79.7344,60.621,52.3931,61.3201,42.785
79.6108,61.791,50.475,58.769,44.412
78.6402,64.52,50.0715,57.4059,45.677
77.7269,66.962,49.9018,55.8782,46.493
78.4491,67.623,50.4086,54.6831,46.611
76.6391,69.999,50.095,53.3329,47.626
75.7588,71.44,50.5134,51.806,48.185
76.2089,72.448,51.1655,51.7704,48.974
76.182,73.897,52.1639,50.3577,48.498
75.8386,75.88,52.9924,48.0644,47.827
73.6409,76.755,50.6884,46.2184,48.905
74.8349,77.19,47.5817,44.6941,49.6
74.6192,78.24,44.9281,43.8215,50.949
74.1974,78.797,45.5301,43.9345,51.082
74.5686,79.383,46.5688,44.9156,51.638
73.3999,80.272,47.5413,44.8448,52.816
73.4304,82.605,49.4935,45.5191,53.795
73.4296,83.926,50.4356,46.6462,53.964
74.8516,85.945,50.991,47.9438,55.005
75.0705,87.265,52.6205,49.859,56.342
74.53,88.11,53.2283,49.3312,58.418
74.161,90.192,53.591,48.2211,61.133
74.9236,90.633,51.1319,46.98,61.544
74.2315,91.711,47.8932,46.1979,61.9
72.5744,92.72,46.4965,46.0094,62.461
72.2805,95.195,44.7549,45.051,63.497
71.9092,99.97,43.2131,44.188,64.161
72.6514,102.503,42.7796,43.0528,64.036
72.7874,106.316,42.255,43.255,64.893
71.6463,111.157,41.985,42.9533,66.115
69.2823,116.031,42.3252,43.0444,66.035
70.4796,120.07,41.512,43.5712,63.6
70.041,124.04,42.4695,43.164,62.992
68.0141,127.394,43.5351,43.51,60.834
67.8302,131.356,42.5586,44.5754,58.241
67.4509,135.94,42.8477,45.5357,55.937
65.061,138.878,42.8246,46.6056,54.985
63.6835,142.322,43.2708,46.3179,55.743
63.4867,146.639,46.5311,46.7004,55.294
