Crypt 1,Crypt 2,Crypt 3,Crypt 4,Crypt 5
257.206,245.207,145.129,120.058,164.823
259.205,267.254,161.939,125.724,170.923
283.568,292.585,185.565,132.829,175.881
291.897,315.827,212.389,140.618,181.978
293.041,326.721,243.428,148.244,190.243
291.215,335.078,273.559,156.616,196.871
288.021,339.4,296.676,165.848,202.735
282.352,347.034,311.562,173.524,206.932
274.135,353.614,321.95,182.463,213.378
270.422,356.569,331.819,188.911,219.746
278.197,360.759,339.969,193.202,226.591
279.838,366.518,342.593,195.104,230.34
278.782,369.006,344.618,195.814,232.732
272.818,368.889,351.508,198.283,234.919
267.037,364.148,359.464,197.806,239.216
258.565,359.459,361.34,195.53,241.864
248.291,351.955,359.325,194.397,244.748
236.204,350.81,349.109,193.916,243.786
228.455,351.34,344.085,193.192,246.436
223.988,353.157,344.725,191.971,252.056
221.844,350.715,348.867,193.772,255.887
218.218,348.237,351.916,194.522,261.633
208.041,348.114,360.823,197.66,269.089
201.016,346.819,370.899,201.741,272.101
202.102,347.506,379.725,203.566,273.512
202.324,349.319,391.398,205.924,276.307
203.354,345.515,400.339,209.413,277.675
203.778,342.539,404.707,214.371,281.122
205.29,343.444,401.714,219.675,283.978
200.875,346.998,402.263,225.373,292.152
198.9,349.871,401.668,228.259,297.682
202.579,348.27,401.563,231.95,301.015
207.168,346.195,400.708,237.375,308.211
209.5,345.997,398.726,242.715,311.288
211.346,348.478,397,248.628,321.054
210.482,350.554,400.371,251.959,323.909
208.731,349.466,407.439,258.736,330.786
208.793,348.754,409.973,263.187,337.246
208.074,349.664,408.327,267.351,343.499
211.217,349.809,407.5,270.741,347.51
212.976,352.397,407.898,272.53,350.329
212.371,350.521,402.386,275.351,354.424
211.029,347.261,396.15,280.172,359.858
211.604,344.639,389.99,284.289,366.082
214.428,344.048,382.472,287.531,375.225
218.686,342.102,378.45,291.895,378.231
222.609,340.041,374.891,295.76,382.799
224.298,335.067,376.865,299.879,383.72
227.258,330.952,372.369,302.45,386.233
229.477,328.459,369.026,303.43,390.015
232.667,323.26,369.157,306.352,394.041
236.043,320.435,366.805,309.601,401.605
236.788,321.483,365.294,310.277,408.675
237.986,324.546,363.611,313.144,411.066
239.215,323.597,361.781,316.742,414.3
237.525,328.715,360.293,318.4,416.136
236.754,332.523,354.624,323.064,418.208
237.191,335.278,352.289,328.438,423.89
235.698,339.669,351.386,330.287,431.539
