Crypt 1,Crypt 2,Crypt 3,Crypt 4,Crypt 5
563.3194,528.3434,524.4454,699.2754,730.8354
517.4344,506.5744,495.2414,712.2194,742.3474
483.5164,490.5154,475.7194,737.3834,767.5614
454.8344,480.2314,464.0984,767.3724,800.2774
431.5334,473.6124,453.5544,807.2994,836.5244
407.7854,469.5654,450.8614,849.4414,875.2774
388.6004,458.8584,449.6364,875.2274,909.0834
380.3744,455.3494,448.9944,900.5754,942.5054
375.3094,453.8194,449.4844,927.3924,972.2514
369.4084,455.4214,455.6044,961.4014,1007.8034
361.8764,456.9084,460.4134,1004.3704,1038.1844
356.6324,456.3294,469.4614,1060.5214,1069.1304
354.1964,459.6294,481.7394,1105.9804,1095.8424
353.1394,463.5614,490.2644,1144.6674,1104.0094
354.1214,469.4674,501.8504,1181.0464,1097.0044
352.8424,474.0854,514.9724,1196.8214,1105.5364
350.3014,483.2644,531.2544,1199.5464,1110.6074
350.2194,490.3974,549.1994,1205.3644,1096.0934
348.0194,504.1444,562.9464,1211.3594,1087.1934
355.5144,517.8144,577.8554,1210.9894,1086.5644
369.1414,538.1244,593.3834,1210.7244,1086.2724
389.7834,559.0334,601.6904,1219.2384,1081.3414
411.3464,579.6664,607.6094,1217.2134,1067.9664
433.1744,599.6154,620.2204,1209.1994,1058.3794
450.8814,616.9374,635.5974,1205.1874,1065.3814
475.7954,629.4244,645.4494,1201.1064,1082.9454
498.7884,644.5094,653.5774,1204.6094,1106.5654
525.3544,666.8944,672.3934,1214.7324,1134.0104
549.9154,690.5744,697.6504,1225.6184,1162.4104
577.7234,709.6484,714.8834,1245.7834,1191.7324
603.1514,729.0164,732.6844,1259.8264,1218.1274
635.2694,750.6884,772.3784,1268.7564,1237.8614
681.4344,773.6644,804.6794,1281.1644,1245.3094
729.7024,810.1914,810.8534,1284.3654,1247.4984
760.5754,852.6774,816.8964,1280.1194,1240.7934
771.5894,881.8924,829.2654,1271.7824,1247.9544
795.0474,898.7734,848.5454,1264.3414,1254.6504
818.1634,907.5404,872.3404,1258.0194,1252.5244
843.5684,921.3554,898.4354,1256.6004,1260.6624
876.5274,933.9204,913.8984,1244.7034,1273.5894
906.3434,943.6524,908.9554,1235.1244,1274.0074
928.5824,966.3854,903.4764,1235.3474,1263.9814
954.9664,989.2134,897.5874,1235.8944,1266.0394
969.0124,995.6344,900.3744,1231.1794,1271.3944
979.8904,986.0544,909.5684,1229.4974,1273.1404
983.1584,987.9874,921.5234,1233.6404,1288.7714
988.6774,997.6984,931.7224,1237.7024,1312.0714
995.3554,1011.7414,942.6604,1248.1504,1333.3944
996.4614,1015.0244,957.6904,1261.4674,1348.6604
1001.5054,1012.5794,975.8074,1279.4784,1367.4474
1007.2074,1004.2984,995.9174,1286.6764,1389.3054
1024.8784,1009.9944,1016.1544,1298.7614,1414.8974
1047.7234,1021.1334,1039.1084,1314.9864,1436.3654
1066.7364,1031.3684,1065.3124,1335.4824,1441.4974
1077.6234,1045.1274,1086.9274,1363.1544,1448.6424
1100.0484,1057.3554,1108.8844,1373.3874,1453.7964
1109.2724,1067.4154,1122.7604,1370.4004,1460.2254
1126.5144,1076.3244,1133.1144,1369.7884,1454.4024
1144.2264,1087.7224,1140.1054,1374.4654,1437.6164
1153.7414,1096.7044,1138.1454,1374.9974,1435.9374
1163.7744,1104.9074,1134.8604,1364.0644,1437.1114
1173.0994,1106.7694,1128.0434,1365.3074,1434.9034
1182.2604,1111.9684,1127.3364,1363.6664,1429.8474
1187.9024,1115.5654,1123.0584,1358.8844,1418.9934
1195.0124,1115.5304,1126.4914,1350.8294,1416.7994
1199.8474,1119.0664,1131.9244,1342.7104,1397.9974
1200.7184,1117.0714,1142.3654,1336.3914,1365.4354
1192.1974,1114.6034,1145.5314,1316.7614,1341.5014
1182.1154,1115.9894,1155.9854,1284.8094,1323.8604
1172.3274,1111.8504,1165.6644,1255.7164,1313.5074
1163.1244,1114.2574,1166.4214,1233.9324,1299.0414
1157.3514,1110.0024,1173.2964,1218.6504,1282.7824
1155.8414,1107.9344,1181.7924,1199.9374,1263.1504
1146.2974,1102.8434,1185.5264,1187.2354,1263.0894
1138.3214,1095.1104,1181.6134,1170.4964,1291.1584
1133.2244,1085.6064,1173.8424,1169.0704,1333.0234
1120.7844,1073.8564,1175.4974,1188.5414,1373.9674
1114.7394,1061.6024,1180.3844,1213.8154,1406.0284
1109.9314,1051.6234,1186.3804,1243.9094,1435.8284
1105.0204,1030.4864,1187.6884,1264.7214,1455.4714
1095.3334,1015.9864,1193.5264,1288.4384,1454.4694
1085.9034,1004.0204,1201.8964,1313.3984,1456.5094
1073.5744,983.5544,1206.6974,1316.0584,1465.8954
1066.6374,964.7134,1193.8144,1314.7314,1467.1634
1051.2314,944.1484,1176.4764,1326.3134,1468.1164
1036.1214,929.3204,1163.7144,1332.0284,1460.7524
1025.6264,912.8274,1151.6404,1332.0824,1447.3284
1019.5804,903.5054,1143.5454,1331.7684,1433.1934
1020.3894,890.3514,1129.3064,1328.0744,1418.6204
1019.5804,892.7464,1109.1194,1313.9904,1407.5684
1018.3494,897.6124,1086.6864,1301.4334,1393.6904
1021.4554,906.9624,1072.6424,1289.9854,1378.6114
1021.3054,915.4274,1064.8534,1283.3264,1364.3994
1028.4274,922.8354,1057.1694,1264.8974,1350.4454
1039.6134,928.1924,1058.9054,1250.5094,1333.5294
1051.3144,922.3744,1057.9244,1228.6024,1316.3444
1061.3684,915.8034,1048.6834,1206.4694,1298.6434
1070.1864,909.7224,1049.2574,1178.4264,1284.3534
1073.6504,896.1944,1036.7034,1150.6544,1271.1784
1077.6534,886.4334,1030.4344,1126.3144,1254.4944
1074.1124,878.0154,1015.6884,1107.7074,1242.0204
1079.3734,864.4624,1001.2204,1089.6374,1241.0034
1081.1044,848.0374,975.0044,1072.6704,1245.5674
1082.3894,835.9184,951.3824,1055.9834,1237.8934
1084.3344,833.6284,926.5704,1053.0264,1227.7704
1086.8674,827.0664,905.6614,1048.4404,1218.5294
1088.3554,833.4154,883.3534,1039.4694,1212.1954
1082.1394,832.4804,867.1504,1028.6584,1199.5224
1078.4314,826.5614,850.2854,1022.6144,1178.5964
1078.3254,824.3814,829.0654,1016.3524,1162.8044
1074.9814,816.2774,812.7584,1011.2864,1151.1364
1075.1874,807.5184,794.9694,1000.6884,1129.3114
1080.0614,796.1394,771.4954,998.6314,1105.7664
1090.5914,788.8994,755.2014,993.4924,1074.9684
1097.5244,781.2384,742.2994,983.4534,1036.9624
1104.1484,773.6434,736.5804,973.0274,1009.0844
1106.2354,768.6454,730.4234,957.7674,990.4664
1106.5234,758.7924,721.1404,951.7084,973.6744
1106.1534,745.3404,715.2044,943.0514,961.0234
1110.1384,727.0114,708.2324,937.3924,951.3974
1111.1644,710.4474,692.4044,921.8434,941.4604
1107.0354,697.8284,678.1284,915.7534,933.0574
1099.0694,684.0884,663.5174,913.6494,955.2194
1092.7744,669.9294,647.4914,914.5294,981.6204
1077.4834,658.9034,641.8484,936.9914,978.2924
1058.5544,651.8844,641.3764,970.6944,960.0044
1049.9164,645.3184,648.9884,968.4574,940.7674
1041.6204,643.1674,659.9874,933.8074,925.6554
1032.6434,639.7554,676.7334,896.2814,912.9364
1026.4924,640.3534,694.5854,878.4604,898.1024
1024.8304,639.5594,721.7404,862.7894,883.2864
1022.9564,642.1944,750.7274,852.3704,876.5324
1017.9284,649.8674,763.8404,842.7524,867.0604
1016.5844,657.8014,762.0504,837.5194,854.1634
1013.8424,658.2154,750.4774,833.8664,848.9164
1013.2504,659.0904,733.8684,827.7154,846.7054
1013.5974,661.5204,726.1194,821.8974,837.4244
1011.7394,667.1604,725.8684,818.5704,832.9444
1010.3004,673.6804,727.0744,813.1074,828.4294
1007.2594,679.0854,729.5214,807.0054,820.9774
1002.0534,691.7714,739.0434,802.4834,805.3064
1003.3744,704.9914,742.4154,799.1294,799.9924
998.4924,727.6984,755.1454,797.1614,795.0704
996.9304,749.7704,773.1194,788.9834,799.5054
1001.5044,778.5384,787.3034,784.0094,794.8534
1003.0974,802.3384,788.2084,782.8314,792.4624
1001.2944,821.7894,787.8994,781.1504,792.3254
1006.1744,836.3894,795.4254,777.9304,795.1804
