Crypt 1,Crypt 2,Crypt 3,Crypt 4,Crypt 5
48.0974,28.4804,26.1114,N/A,15.1934
44.1594,25.1264,26.2064,N/A,16.6264
41.2714,21.6114,25.4414,N/A,16.2244
38.2254,20.6044,25.5544,N/A,16.8834
36.0274,17.9634,26.4924,N/A,16.8824
33.9404,15.7544,27.0874,N/A,16.9604
32.8534,14.3494,27.0284,N/A,18.3954
31.2114,12.0494,27.8244,N/A,20.1764
28.6884,10.3284,29.0814,N/A,22.5384
26.7264,9.7284,29.1834,N/A,26.1034
24.9024,8.2414,29.0014,N/A,32.8064
24.5054,6.5874,27.1864,N/A,41.7914
23.0744,6.6704,25.3304,0.3214,48.8674
22.4764,5.9034,24.4684,1.3184,49.4604
21.4014,4.8784,22.7334,2.6734,47.6784
20.2904,4.6234,21.0064,4.4054,45.6224
19.8624,4.9014,20.7624,6.9594,45.2594
19.8954,4.4264,20.0864,11.6104,44.3924
18.9064,4.4364,19.8294,16.8384,45.5094
18.9074,4.2874,19.3044,16.6954,47.9804
19.0504,3.9664,19.0534,17.5114,48.2784
19.8144,4.2734,17.7374,17.0004,48.6144
19.1804,4.5374,16.3284,15.7414,47.5794
19.1864,4.2614,16.1354,15.6204,46.8124
21.0614,4.5324,17.0374,17.1204,46.6234
20.5954,4.9134,16.7304,20.2134,47.6054
21.3084,4.8724,17.6144,21.1514,50.0794
21.3514,5.7574,17.5484,19.2834,52.3114
21.1794,6.7274,17.5824,18.4504,55.0554
21.4674,7.2904,17.4014,17.7614,55.6254
23.3964,8.6714,16.8084,18.7204,56.2564
23.8224,9.5884,17.5114,20.1034,58.6154
25.0314,11.2544,19.1104,21.1374,59.3704
26.1134,12.2224,22.1144,22.4704,59.9744
26.1054,13.1004,24.7294,24.8964,60.2424
27.0194,14.0184,26.9554,28.0374,61.5104
27.7304,15.6084,29.7194,30.5424,61.6154
29.3344,17.8004,33.2764,32.9024,63.1344
30.6604,19.5414,35.7874,35.9544,64.6684
32.0754,21.4134,38.8374,38.9144,66.5884
33.2544,21.3224,40.5794,41.9064,67.4854
34.7434,21.0554,43.7724,46.3764,69.0744
36.3164,21.2564,47.8204,48.9554,69.0544
37.3444,20.8054,49.3494,51.3114,70.6424
38.9064,19.2804,51.4384,54.5184,70.7184
41.8564,17.6004,55.4874,57.6654,70.2524
42.9654,17.0894,60.2074,59.4224,68.5724
46.4394,16.5604,62.8564,62.3934,68.9454
48.7174,16.8634,68.2124,64.6534,68.9354
50.6124,17.9464,71.6414,67.2024,68.7994
53.7764,18.6944,72.5614,69.9174,69.3234
57.1314,18.3964,71.6984,70.6864,70.2894
59.1944,18.3424,71.6894,72.9014,71.6284
62.6324,18.6174,72.8124,72.2454,70.7724
66.1554,18.2164,71.3174,73.4604,73.2154
69.4554,19.0264,72.3594,73.3574,73.3894
72.4804,19.0744,74.6904,73.4304,72.7994
74.7114,19.9944,75.7164,74.4864,73.4494
78.9244,21.8494,77.4064,74.8414,74.1094
82.8094,23.6694,79.2274,75.4084,74.3694
85.3304,24.2274,79.9744,76.2834,74.3994
88.9074,26.1374,79.8044,75.6894,76.5994
91.0604,26.6874,79.8354,75.4544,75.6184
95.2704,29.2014,78.8264,74.8054,76.9234
98.9734,31.0364,79.5294,76.2954,79.3164
100.2234,33.4184,80.2194,76.4284,81.0014
102.9604,35.5864,80.3044,77.8454,82.8154
106.4544,37.3944,81.4404,77.6734,81.3864
108.0484,39.5394,82.5884,79.8164,82.6244
111.0124,41.8564,82.7794,81.6974,83.7484
112.3234,44.2494,83.2964,87.1924,82.8604
114.5364,47.1214,84.9284,93.1064,82.7064
116.3014,49.8224,84.4814,99.3834,84.2884
116.8614,51.5674,83.7074,109.0124,83.9684
118.7954,54.7154,84.2664,116.1764,82.9244
119.1474,56.8004,84.0114,121.8124,85.0224
120.4214,60.3584,84.5854,125.4254,86.6384
120.4964,64.4074,85.0624,129.7294,87.0134
120.9244,69.1254,87.0384,135.2684,89.0214
120.4824,72.0314,88.4184,139.5214,88.9454
119.9544,75.2454,90.5504,144.6684,91.6394
120.0864,78.3654,94.3134,148.2504,92.6674
119.8784,82.8164,98.1254,152.6304,95.0394
119.2724,87.3514,102.0894,155.8214,98.0574
118.7114,90.1934,106.3604,158.9734,101.0634
116.8854,93.7264,112.2934,159.6254,105.5294
117.2984,96.8944,115.5384,162.5524,109.7744
118.1304,102.3214,118.7384,164.1134,114.2684
116.5404,105.1364,121.6064,169.2304,118.3914
117.5634,108.5204,123.3564,172.3694,123.1074
117.8984,113.4794,125.4854,175.1594,127.8914
118.7904,118.5164,128.5324,177.3084,132.2574
118.2974,122.8284,132.6144,181.1514,135.9514
119.5984,125.7494,136.1494,181.7944,141.4844
119.1174,131.1604,138.0894,183.4364,146.9204
119.3504,136.9344,141.2924,185.6454,151.7364
120.7194,142.8334,140.5444,190.1374,158.6194
