Crypt 1,Crypt 2,Crypt 3,Crypt 4,Crypt 5
588.795,525.169,515.735,394.733,192.66
577.948,520.606,507.026,384.092,189.24
568.911,519.77,496.337,374.681,188.087
560.786,517.222,486.576,362.8,188.181
553.363,508.353,474.201,351.532,186.754
542.781,500.04,462.383,343.169,189.111
534.475,491.799,450.154,330.821,194.736
525.321,484.801,440.31,320.002,198.548
517.763,476.592,428.738,311.877,203.692
507.94,466.988,415.198,300.041,208.608
498.918,459.556,402.311,290.331,214.473
494.192,451.312,390.369,283.354,221.151
488.792,445.284,379.547,273.663,228.525
483.042,440.526,365.396,263.869,237.265
475.631,434.153,355.703,255.006,246.149
466.446,431.384,348.753,246.865,259.683
459.668,426.365,339.51,237.928,270.941
452.175,421.47,331.535,230.745,283.147
448.156,417.89,322.913,222.402,298.75
440.945,415.899,314.04,217.434,314.739
437.461,413.179,305.096,211.847,330.107
428.293,410.381,296.599,207.524,348.39
426.07,408.639,286.374,202.322,361.597
421.813,404.042,273.886,197.263,377.611
419.933,402.64,264.676,192.933,392.004
416.528,399.77,253.314,188.499,409.435
413.599,397.257,246.017,182.513,423.397
410.363,392.576,238.128,174.84,434.252
406.266,389.425,229.689,169.552,446.012
406.005,388.551,223.838,164.609,459.156
404.43,387.977,215.439,157.94,465.145
402.091,384.166,210.221,152.756,474.073
399.566,381.205,203.197,147.642,484.121
397.831,379.221,199.253,143.007,491.185
396.471,375.714,190.975,137.295,500.257
395.927,373.769,186.403,134.02,509.669
394.321,369.672,178.553,132.015,517.251
393.477,370.144,171.926,131.969,522.158
395.034,369.933,165.401,133.923,524.985
396.096,367.608,160.99,136.963,528.037
396.756,364.997,154.905,140.245,533.132
396.105,363.175,149.754,146.373,536.123
397.901,360.257,146.408,150.917,538.406
402.618,360.363,142.081,141.243,537.732
406.082,357.836,140.078,127.684,543.005
408.1,352.728,135.793,116.677,545.219
414.868,347.527,129.237,110.85,549.149
415.738,342.067,124.296,106.516,546.523
420.043,337.564,121.062,101.756,547.108
423.032,331.964,116.768,95.445,547.93
429.08,326.203,115.229,90.817,547.273
435.038,321.28,112.073,86.451,548.081
434.617,320.614,109.47,81.619,549.787
433.78,315.639,107.989,79.668,548.424
434.812,312.468,107.269,77.665,550.806
436.009,309.345,105.64,76.755,552.043
436.698,306.43,102.879,77.233,548.445
439.587,304.533,102.767,78.433,547.549
440.248,297.722,100.027,77.328,548.086
438.283,294.281,99.305,76.971,548.566
440.616,290.978,97.045,77.192,549.265
438.967,285.823,98.026,77.46,549.968
438.844,281.739,98.09,77.988,552.385
439.494,279.897,98.817,77.582,556.972
438.9,278.6,99.373,78.517,555.342
440.888,276.675,98.861,78.488,553.585
444.854,274.454,100.378,78.133,553.941
446.497,273.108,101.901,80.472,556.848
451.015,269.773,103.439,81.971,560.622
458.389,266.602,106.203,82.954,561.547
462.057,260.848,109.972,85.65,564.939
460.548,261.332,113.54,88.321,564.859
463.039,259.27,114.08,90.856,570.274
462.967,256.288,117.814,92.964,571.893
464.964,256.359,121.87,94.492,575.468
468.629,254.481,122.922,97.224,581.295
469.934,253.814,127.077,100.83,583.306
470.176,252.667,129.973,101.995,584.263
471.304,252.412,132.567,105.401,589.607
473.415,256.606,136.777,107.104,593.518
474.7,257.186,140.614,108.007,595.604
473.055,255.333,143.925,110.39,601.173
471.842,256.355,148.247,112.348,609.557
473.755,256.917,153.937,115.063,610.365
475.624,259.046,155.523,117.363,613.265
479.403,256.95,159.257,121.474,612.43
478.693,259.507,164.248,125.124,618.135
475.794,259.506,167.54,128.631,620.027
476.677,260.4,172.674,132.633,622.559
477.637,261.415,178.534,135.771,625.206
476.425,260.771,184.42,139.403,625.762
475.77,260.524,192.782,141.645,629.657
475.711,259.504,200.612,144.881,630.537
474.892,260.914,208.598,149.245,631.986
478.115,263.095,213.995,153.551,636.608
480.378,262.469,217.501,159.511,641.575
481.209,261.854,222.427,165.271,644.53
483.262,262.963,226.054,170.113,650.024
483.489,263.29,231.525,179.025,656.153
481.526,265.714,236.376,185.899,663.123
481.043,264.101,239.158,192.76,662.869
477.972,263.478,246.046,196.904,666.85
475.348,266.204,250.493,200.485,671.043
473.544,266.968,257.962,200.257,675.62
472.454,267.459,266.699,201.279,685.128
468.662,266.292,270.261,205.194,687.606
465.511,265.687,275.505,207.383,691.908
463.355,266.078,284.222,212.789,699.48
462.355,264.452,291.427,215.089,705.705
456.305,262.631,301.155,218.488,709.18
457.048,261.258,307.026,223.173,717.998
454.297,260.457,314.667,228.79,725.157
449.973,259.735,323.482,232.878,730.977
448.315,260.561,329.352,236.65,736.32
441.722,260.106,333.946,238.596,742.035
440.686,259.755,338.43,244.423,747.499
438.465,259.591,346.289,249.949,753.033
432.993,259.439,352.486,255.919,757.424
429.366,258.247,352.824,258.204,760.901
427.132,257.183,357.456,264.928,761.92
422.932,256.269,361.679,268.775,766.658
416.69,256.682,367.448,276.718,773.878
414.519,257.478,374.903,282.312,779.783
411.888,256.708,377.933,288.52,782.597
408.225,258.255,381.422,290.808,786.329
404.999,260.333,386.167,293.516,789.984
401.259,260.531,390.458,296.161,795.14
399.748,261.769,397.184,301.136,796.444
399.162,263.129,400.768,305.694,802.097
396.153,262.969,405.055,305.966,803.294
393.275,263.436,408.16,306.79,804.502
391.801,266.884,410.09,309.551,807.229
393.13,267.037,411.495,311.323,811.521
389.05,269.983,417.259,315.861,814.696
384.805,271.77,421.652,317.328,817.873
381.448,274.618,425.075,319.016,819.429
379.831,276.313,427.04,326.121,822.754
374.76,281.535,425.864,331.154,828.822
371.102,284.382,429.129,336.604,832.993
368.113,287.535,425.696,339.394,840.353
363.917,290.508,426.22,343.374,842.406
360.278,291.835,423.053,349.477,849.63
356.795,296.89,420.246,354.442,852.113
353.004,299.526,415.77,360.933,855.189
349.727,303.586,411.643,364.122,864.441
345.93,308.004,408.766,365.935,869.472
344.927,312.456,406.94,369.23,873.512
341.069,317.69,407.072,375.529,878.467
339.036,319.178,406.667,380.434,884.871
337.49,324.435,407.427,381.858,885.355
335.955,329.115,409.671,384.863,893.049
334.017,332.313,408.438,389.529,895.286
333.035,337.283,409.14,393.345,901.169
333.723,338.092,408.569,395.863,906.487
331.516,341.937,401.635,400.126,912.436
331.11,345.18,401.769,401.555,918.791
331.546,349.395,399.76,400.325,927.712
331.889,349.74,398.048,400.658,934.681
330.575,353.61,400.115,399.683,938.82
329.316,357.882,395.927,402.114,946.971
328.583,361.64,394.312,403.214,952.256
329.929,364.573,394.305,403.775,956.964
329.276,370.371,392.503,404.499,962.971
329.388,375.579,393.806,403.129,968.658
330.878,374.306,392.787,405.415,974.147
329.188,381.503,396.586,406.655,979.078
329.113,381.095,391.373,409.623,991.758
332.514,382.338,394.089,410.743,990.5
333.699,383.885,393.796,414.673,989.401
336.055,386.759,394.084,418.064,995.131
335.956,389.523,398.393,421.07,996.676
339.864,392.645,397.138,423.016,1003.396
342.216,399.141,399.55,420.285,1002.962
343.621,408.181,404.519,418.397,1007.853
345.395,414.147,405.142,417.47,1011.35
346.721,419.917,410.933,416.01,1013.745
347.107,421.787,413.623,415.074,1014.663
348.015,427.486,418.569,411.103,1019.396
351.051,431.024,420.599,408.11,1019.59
351.676,429.995,424.036,405.053,1020.684
354.191,435.442,430.524,401.725,1022.909
355.121,441.334,429.996,397.148,1026.269
356.844,446.143,433.232,392.798,1031.636
355.049,453.756,435.437,386.946,1036.23
355.909,459.396,440.703,382.982,1037.459
359.089,465.17,441.785,379.82,1036.202
361.083,467.271,441.14,376.945,1042.229
362.303,476.194,444.716,375.995,1035.934
365.552,480.922,446.148,375.798,1039.113
367.167,486.219,448.686,375.114,1043.34
370.446,491.163,454.527,376.43,1044.347
370.832,499.094,457.775,378.981,1044.057
372.102,504.825,459.635,382.536,1044.891
375.348,509.974,463.164,381.48,1052.588
379.53,516.192,465.936,383.093,1050.005
379.595,520.635,470.267,384.471,1049.66
382.383,526.417,473.013,387.414,1051.136
384.327,533.045,471.896,388.913,1056.287
387.578,541.44,477.364,388.795,1057.56
392.564,548.494,482.682,389.042,1058.497
394.415,557.062,486.326,390.179,1061.769
395.339,562.116,493.738,390.237,1064.121
400.107,565.255,498.443,390.918,1062.415
402.593,575.212,501.808,394.271,1063.967
403.905,577.488,506.172,398.073,1061.684
404.547,583.968,507.958,404.054,1062.99
405.097,590.535,515.215,410.674,1062.475
409.066,599.879,518.128,411.77,1056.621
412.492,604.6,522.19,413.054,1057.831
416.574,612.475,526.948,415.169,1056.671
418.444,620.333,526.588,417.082,1060.971
419.854,631.138,531.754,420.702,1059.356
423.207,640.602,534.969,425.111,1062.57
427.462,652.675,537.035,426.51,1058.898
430.926,658.846,541.278,428.369,1057.114
434.724,664.352,543.51,430.778,1058.905
438.276,673.931,550.731,432.811,1055.67
441.19,680.581,551.35,433.57,1055.33
445.19,683.964,554.319,437.786,1053.337
444.841,688.479,551.755,438.59,1053.795
446.367,695.304,549.906,441.595,1051.835
448.945,702.113,546.5,445.955,1054.222
453.111,705.708,547.267,447.921,1049.323
456.622,709.233,548.711,451.888,1045.668
461.721,716.526,550.294,453.106,1042.363
466.581,717.008,553.098,458.266,1037.864
471.228,717.081,554.531,460.112,1031.79
471.683,717.171,559.515,462.894,1031.19
476.17,725.782,564.267,466.821,1030.14
481.145,727.598,568.01,470.309,1027.735
484.938,731.185,571.397,476.639,1028.249
487.785,736.867,576.498,486.259,1027.85
490.777,733.997,583.477,491.084,1028.032
495.545,740.722,586.621,493.202,1033.471
495.879,739.125,593.957,500.286,1034.971
499.412,738.79,603.249,502.91,1034.62
506.548,742.362,608.921,506.415,1034.977
508.875,742.523,610.305,508.651,1029.005
513.91,744.015,610.786,509.974,1027.995
518.852,741.199,613.469,513.131,1027.748
524.182,744.073,615.377,513.892,1026.617
529.365,750.569,620.453,513.222,1024.78
536.22,753.727,624.709,515.915,1020.768
539.59,751.585,628.639,517.215,1023.377
548.177,752.791,633.704,518.166,1020.234
552.209,756.25,640.171,512.499,1015.933
552.57,757.6,640.59,507.667,1015.51
557.356,758.851,643.707,505.939,1013.488
564.02,764.997,649.01,503.739,1014.08
565.172,766.135,653.075,500.593,1013.45
570.222,766.786,662.127,499.057,1014.804
576.596,768.77,668.962,495.418,1013.192
581.006,774.83,674.796,494.113,1013.692
584.133,778.225,671.295,495.118,1018.708
589.634,778.876,676.234,494.443,1023.059
595.092,780.103,682.049,491.776,1024.45
597.975,781.242,683.067,492.312,1023.37
601.681,781.896,685.157,493.659,1027.177
607.672,782.394,686.055,492.214,1034.635
609.216,783.235,689.959,494.419,1040.827
615.57,787.238,692.491,495.28,1047.399
620.192,789.31,696.474,494.561,1049.525
626.195,790.857,698.93,494.233,1051.099
627.832,793.146,699.792,497.608,1056.399
629.228,792.012,706.054,496.946,1055.52
