Crypt 1,Crypt 2,Crypt 3,Crypt 4,Crypt 5
99.0372,75.0462,98.0072,151.3072,206.1052
90.5192,75.0312,96.8372,147.9152,203.9722
84.6352,73.9042,98.0252,145.1532,203.0852
80.1962,72.1512,99.6122,142.2302,199.7402
75.6002,70.3472,101.6072,138.3612,198.5012
71.6092,68.9952,103.2482,133.8372,196.0902
67.6142,67.4282,105.1282,130.7142,193.8262
62.8352,65.3322,105.0822,129.9652,191.4482
59.0202,65.2052,102.1292,129.3862,187.7502
55.8672,65.0252,98.7372,128.1372,187.4232
55.3702,64.8022,95.0342,126.4432,183.6552
52.1782,64.2012,91.7612,123.3002,180.3532
48.0702,62.7482,89.6832,119.0932,178.0892
45.4872,61.3142,85.2512,114.4802,176.5822
42.7122,60.4982,82.1492,109.0492,174.1902
41.6242,60.6432,77.8812,105.5322,170.9912
39.9772,61.3102,74.4822,102.9792,168.3612
39.3782,59.7522,69.7942,99.3422,165.6842
38.0392,57.6572,68.0722,97.2132,163.1642
37.4592,55.0882,65.2432,96.2812,161.7412
37.2222,54.2022,63.5922,95.1022,160.2972
37.4112,54.7712,64.3732,94.4062,159.1022
36.9382,54.9622,65.2562,94.9512,157.2712
38.2762,55.6152,65.4272,95.6842,155.4792
39.1762,55.9022,65.6182,97.7242,155.5122
41.1192,55.3622,65.5652,97.1502,155.4602
44.3102,57.0802,66.0122,98.7222,155.0982
46.9132,58.8892,65.3492,98.1072,154.0782
48.2452,61.2892,64.1252,97.7052,156.5882
48.6692,63.4702,65.7242,96.7242,156.3132
48.1092,64.4602,65.9122,96.4602,154.4272
48.0102,65.3412,67.2342,97.5082,153.8382
48.6252,63.9312,66.3862,98.2032,154.4672
50.6982,64.0382,66.4682,100.1202,154.7872
52.9922,65.0732,65.1912,101.0332,154.2362
55.2602,64.9292,66.9752,102.7542,154.4432
57.6652,65.8292,68.1212,104.1982,154.6192
59.9342,66.5932,68.8632,103.4372,155.8982
61.5642,65.8902,70.5572,103.3962,156.0762
63.1622,65.6452,70.2902,103.9312,156.5392
66.0842,66.2942,70.5772,104.0202,156.8592
67.7752,65.1702,70.9032,102.6942,159.0192
70.1362,64.5292,71.2592,101.7342,163.2662
73.5972,65.7132,73.4712,101.4762,161.9992
77.6622,66.6972,75.8882,101.2742,162.2892
81.3462,67.5832,77.2982,101.1842,161.7802
84.6552,68.0552,79.2102,99.4812,157.6302
88.9922,68.8342,78.9882,100.9052,153.3132
95.6022,68.5372,78.4532,101.0832,150.2602
101.0842,67.8072,78.7652,100.3122,148.1562
103.6432,69.1722,79.7842,100.9732,147.8672
107.3202,70.4152,79.4922,100.9202,145.9872
110.9502,72.5792,78.6892,102.3552,146.2532
114.0362,72.7432,79.3162,103.0922,145.3662
119.2192,73.5922,80.0852,102.7412,146.0512
122.3162,73.5872,79.0712,103.6562,144.3082
125.5192,75.0752,79.8962,102.8382,142.9872
129.5192,78.1702,80.2702,103.7412,139.0162
133.6442,81.3062,82.3172,105.3122,135.2702
136.0922,81.1482,83.9622,106.6262,131.5112
141.3802,83.0072,84.8242,108.9232,128.6402
146.9472,84.5372,86.1452,110.6642,126.0612
153.8972,85.3512,85.6902,109.5102,122.8402
158.9952,87.4212,87.8192,110.5152,118.9682
162.5382,89.7772,90.2522,110.9482,113.8852
166.5332,94.7672,91.4892,111.7982,109.3002
170.4312,97.8382,93.6982,112.5582,105.7452
177.0002,100.9272,94.0902,114.0812,103.6472
183.2482,103.2802,93.8132,113.9482,103.2492
188.9832,105.3442,94.7292,112.7122,103.1542
193.7772,108.1842,95.8512,111.7442,103.5472
197.3882,108.9872,97.3802,115.0332,103.5902
200.6702,109.0162,100.7212,117.1332,105.0382
207.0922,111.1772,104.3332,117.2512,105.9642
213.5182,112.3442,110.0442,117.4572,106.5852
220.5592,113.8152,115.5992,117.3762,106.9572
224.6332,117.8202,118.7242,118.4752,107.3872
227.0032,120.1892,120.4052,121.3972,110.1902
230.1492,121.3972,121.5092,123.9192,110.8772
230.8822,121.2352,122.6422,125.8252,110.5842
232.7602,123.1052,123.2942,127.9002,110.4562
234.7132,123.8912,124.1992,129.3222,110.9132
237.0762,125.4212,122.7842,129.5952,112.2352
241.4092,127.9492,119.0132,130.5692,112.5902
244.2762,128.8312,118.1212,129.3602,112.2532
247.3872,129.0822,116.7432,128.1072,112.8932
253.6292,128.0462,115.7322,126.6342,115.0972
257.1082,126.0492,115.3512,125.5352,121.0502
259.6082,123.8252,114.6912,122.0682,122.4792
263.2552,123.2402,113.3552,118.6292,122.1202
266.5952,123.3332,112.2512,113.6592,120.4072
270.1322,124.3042,112.4532,110.0492,123.2182
273.7262,124.8752,112.8232,108.8422,125.4812
273.1452,122.9702,112.6592,107.6302,127.9742
269.9832,122.1242,113.3972,104.5922,127.6292
267.5802,122.7202,115.4152,103.1652,128.4812
263.9122,124.0802,117.3882,100.5092,126.5142
260.2122,122.3662,119.1312,97.3422,124.3972
259.5792,118.8062,121.4012,96.2322,124.2132
257.2392,114.2172,123.7742,95.5592,122.6012
253.6682,109.5632,126.6212,93.7492,122.6062
249.6152,105.4972,127.7182,91.8892,121.2532
247.8662,104.2812,126.7562,90.3742,121.0622
243.6642,104.1442,124.6602,88.7162,122.6962
237.9712,103.2962,121.3772,86.4482,122.7242
233.4302,102.7392,117.9852,84.4772,121.1552
229.8642,102.9032,117.5692,83.7792,118.0692
227.2832,103.0342,118.7632,81.4592,118.2322
221.0712,104.2172,121.3172,79.6732,117.0552
214.6082,105.1812,122.8272,78.3062,117.3342
207.9392,106.3862,124.0422,77.4292,118.9952
202.9892,105.3892,125.4912,78.1062,119.7342
198.5492,104.2262,126.5552,76.6012,119.3732
191.1762,104.1632,128.3622,77.2422,117.5552
182.9242,103.3462,124.1362,77.6072,114.0302
179.2782,101.4582,118.1652,78.6202,113.1702
