Crypt 1,Crypt 2,Crypt 3,Crypt 4,Crypt 5
0,7.066,15.537,12.339,0
0.504,7.744,22.638,16.848,0
4.171,6.215,27.816,18.796,0
6.72,4.201,29.353,22.018,0
8.487,2.028,25.804,24.087,0
8.11,0,22.513,25.398,0
6.829,0,20.869,27.666,0
7.549,0,21.166,27.635,2.866
10.166,0,21.51,26.853,9.766
12.54,0,24.836,25.442,15.205
16.595,0,26.016,23.486,22.722
18.703,0,28.078,20.465,30.097
21.166,0,29.151,19.197,37.292
24.133,2.869,27.601,16.764,42.882
27.158,7.121,26.56,15.007,46.861
28.738,15.286,28.958,13.224,49.742
30.884,20.527,33.259,11.78,51.837
32.808,25.468,36.368,12.119,52.278
35.216,33.312,40.215,11.834,55.404
38.546,46.099,46.669,11.214,57.39
42.717,54.907,51.103,11.512,59.429
47.295,61.65,53.721,11.392,60.79
52.171,65.761,55.679,13.058,62.647
57.853,74.832,59.784,15.987,62.836
67.231,86.07,63.563,18.941,60.79
79.605,103.697,71.446,23.784,59.571
93.643,125.293,76.823,30.764,60.029
109.453,145.764,84.972,41.48,61.88
121.775,165.166,90.509,55.216,61.083
129.622,181.045,94.594,69.697,61.866
134.61,196.398,97.517,81.738,63.984
140.245,207.801,99.116,96.112,67.725
145.822,221.931,99.394,108.302,69.175
154.592,238.552,102.818,120.225,67.467
162.056,254.201,106.237,135.171,67.292
173.776,272.98,110.838,149.88,68.739
180.13,289.408,112.66,164.824,71.702
181.477,308.481,111.434,180.199,75.62
184.39,324.352,113.165,197.13,80.163
185.538,333.351,117.108,210.698,85.292
190.756,341.128,123.828,221.587,91.691
191.008,347.524,134.5,231.957,102.191
190.794,358.668,144.994,243.54,117.389
196.407,369.601,146.748,250.818,134.425
203.953,379.706,147.309,253.605,148.302
212.624,383.595,150.878,252.488,157.844
230.511,385.362,150.412,256.314,167.252
256.371,396.047,154.725,255.447,174.108
284.76,407.575,158.911,250.431,179.628
315.369,418.608,161.138,255.988,184.861
349.531,435.24,163.189,265.799,189.689
389.915,453.456,161.936,272.712,192.386
427.308,473.989,162.911,272.573,200.74
444.809,485.067,164.411,269.935,209.468
434.377,495.523,170.139,269.737,221.08
414.47,502.446,178.49,265.681,226.95
399.449,495.637,183.701,269.892,229.216
394.251,480.81,187.372,276.853,233.127
397.175,461.712,191.536,284.844,239.339
406.965,448.19,194.973,292.747,252.619
411.092,434.815,202.042,293.542,272.727
419.435,431.166,216.587,294.438,286.019
427.998,429.664,228.125,294.526,295.42
434.223,416.234,235.041,291.817,296.858
436.964,401.158,244.234,288.776,301.111
442.191,389.965,255.315,286.017,306.763
447.58,376.326,269.017,280.006,309.778
450.754,361.201,281.233,268.018,309.198
454.42,354.942,295.088,258.832,314.007
460.42,351.848,304.398,261.213,323.667
472.869,351.23,315.475,277.949,337.611
487.107,348.071,329.54,296.764,356.472
498.293,347.95,348.573,310.375,375.09
507.971,364.334,366.838,321.643,398.665
514.171,388.776,382.484,326.933,424.041
513.378,408.72,403.154,334.564,444.969
517.549,429.928,424.293,341.963,449.666
517.973,453.297,437.242,340.079,446.008
516.431,475.32,444.206,344.487,443.898
519.623,494.236,447.667,370.194,450.687
520.354,513.32,445.758,404.988,459.946
525.317,533.783,447.264,422.335,466.281
530.471,550.51,448.881,427.537,486.868
534.79,562.836,445.327,428.906,507.566
534.707,566.085,457.163,432.754,521.14
537.837,568.495,473.291,440.991,525.559
541.26,560.499,486.91,454.305,531.225
547.792,543.098,501.316,458.057,545.833
552.69,534.866,508.383,451.717,556.454
563.147,532.639,505.263,458.264,563.117
574.008,526.931,501.659,459.207,568.999
593.251,510.893,509.622,455.513,568.054
608.639,488.476,535.346,454.253,564.17
621.947,483.183,550.053,453.235,558.833
633.178,479.859,551.091,463.444,551.877
646.01,475.392,557.471,468.519,558.741
656.935,494.122,565.497,474.133,572.547
665.295,529.726,574.097,473.975,580.717
677.339,557.594,583.117,486.183,588.445
692.301,591.415,599.846,502.845,589.097
709.552,623.424,616.443,514.543,587.922
728.446,644.369,615.852,524.996,586.312
735.184,660.717,600.151,533.455,586.539
742.594,675.006,585.746,542.39,589.776
756.378,665.093,583.063,546.601,587.4
772.438,629.632,580.257,556.193,580.901
782.941,600.476,572.837,567.38,584.708
791.305,595.272,566.241,574.496,593.035
803.991,593.328,569.803,571.962,599.374
