Crypt 1,Crypt 2,Crypt 3,Crypt 4,Crypt 5
513.3406,527.8416,388.1816,330.2796,362.8506
512.8266,527.4926,387.0316,331.1046,358.5166
512.1916,525.8116,385.7946,330.8866,352.9696
509.9396,528.0996,385.8686,329.5226,352.8266
504.8846,527.1956,385.5486,330.6686,354.5856
502.4306,527.5446,387.2106,331.1016,349.9206
500.4716,524.5756,385.5436,332.9366,350.9016
500.0326,524.6596,387.6576,335.9896,347.9386
495.5466,523.3336,387.7526,334.5076,348.9276
493.0866,523.6396,388.1026,337.7026,352.2806
490.1446,523.8516,391.3246,340.8016,355.7806
485.7826,523.3946,394.7076,344.0196,357.1906
483.7496,524.5206,396.8526,344.8006,360.1346
479.7936,527.7086,403.0546,349.4746,363.2176
477.5446,525.5696,402.5376,350.6986,367.5616
472.1536,529.9256,406.3236,355.5596,371.9476
466.7376,529.6346,408.4076,358.4026,378.9406
464.3176,530.9026,412.4146,364.3786,383.0696
461.8136,529.8716,418.2986,371.5876,388.4066
457.9726,530.0926,420.4456,375.4186,394.4696
458.1076,530.9896,423.2056,379.9176,399.0896
455.7466,529.6056,431.6836,383.2496,401.4846
456.6946,531.0496,435.5646,390.4056,411.0136
461.8496,530.1096,440.4866,396.0996,416.8916
460.7066,527.2316,450.0946,399.7816,422.5646
459.4916,526.2186,455.7336,407.4026,430.6996
460.3886,524.1136,461.6506,411.8106,434.5586
456.4976,524.5026,470.7516,419.8656,440.7836
451.8356,518.0966,479.4096,429.7016,447.2126
446.5126,515.9736,483.0516,433.6806,457.0156
441.8916,515.5796,491.9576,438.7536,460.6096
437.0856,513.2786,501.0976,448.3026,466.4796
435.7556,509.9806,507.5646,458.6946,470.3036
433.4986,508.6166,517.3066,464.2266,470.2726
434.0916,507.6956,524.2006,470.3916,477.3096
435.0176,504.8636,530.5046,475.9386,484.1326
434.1776,507.6046,539.2226,487.7776,487.3596
435.8446,504.7336,549.4046,497.9176,494.3086
436.1186,500.7666,557.2066,503.5786,499.2906
437.2636,499.3826,564.9386,510.7366,502.9036
441.8296,500.0436,572.8326,519.7926,509.2286
443.5056,499.7596,574.9556,526.7136,509.3916
442.6976,499.9206,580.1636,534.4646,512.1676
448.6416,500.5946,582.3666,542.3356,514.6486
454.5676,501.8586,586.7406,551.1596,517.5516
459.3646,504.3326,591.8186,560.6366,520.2626
463.6096,502.6276,598.0886,570.7666,524.4026
469.8886,500.8326,600.9076,583.5096,528.2546
475.2086,501.1636,605.1576,590.0406,531.9666
484.6956,501.2226,608.5776,591.6756,534.7506
492.8426,498.7686,610.5956,596.6916,538.8836
504.4676,497.1536,612.6786,601.3246,539.5196
513.1916,495.3906,615.5106,603.6066,542.6946
524.2806,493.0736,616.8386,608.7636,544.9096
534.2366,492.3846,619.1006,615.8076,545.4796
544.3066,491.7316,621.7526,620.9796,548.7216
558.3096,492.7816,626.7016,628.0116,555.7396
566.8596,496.0626,631.0946,636.6556,559.8696
576.0536,496.7416,636.3956,642.3686,559.6346
582.8386,498.1316,638.5716,646.1966,565.4546
590.5266,498.6046,640.9916,653.6406,571.0846
599.7016,501.3856,645.6366,661.7516,572.1646
606.0326,502.2516,648.3416,670.3876,577.2666
606.5376,506.5636,649.9806,679.0026,579.9306
603.9486,508.9286,657.6776,686.3876,579.6646
597.2566,506.7566,662.5156,695.5496,581.7766
588.0726,506.3856,665.0826,699.4946,585.7666
582.7106,506.7506,669.0036,703.1096,588.7476
581.0646,508.7146,670.9926,704.6146,588.6466
585.8156,507.5646,675.4256,709.3666,592.6276
590.3856,503.5776,679.4546,715.1286,595.9276
581.2266,505.1646,680.1286,717.7646,599.7856
576.8136,505.0446,684.1496,719.0386,603.9536
568.6396,507.5246,687.6716,717.9186,603.2256
559.0916,509.2966,690.2256,724.4186,601.6416
557.7926,511.1216,695.4006,729.6176,606.1776
554.2206,513.4856,697.9986,728.8666,611.4646
551.2886,516.8056,701.3826,730.1156,615.2636
552.0726,516.7306,705.5426,730.3546,618.4616
552.2696,514.9756,708.2146,728.4806,620.6836
554.5216,515.5126,709.6256,731.0116,626.1696
556.3166,516.0476,710.9056,730.5636,632.5706
561.4276,518.4636,711.2196,737.0266,634.9356
565.1256,518.6746,709.0476,737.1776,635.5096
567.0756,516.3316,708.0656,737.9616,636.6856
571.6856,516.0866,705.7756,735.5746,642.5046
573.2206,514.9946,706.4786,730.8056,642.1646
575.2066,514.3926,706.9516,727.4176,642.1896
574.1136,513.9996,707.0686,720.1526,642.5936
578.8936,517.9066,708.0896,714.9186,645.7526
579.2016,516.3596,706.3996,712.5606,653.4406
582.9536,517.8046,706.4826,711.4836,657.6256
588.7936,517.7116,706.6486,713.8306,663.0676
587.7446,518.4696,706.9776,710.9596,665.9126
589.0656,519.3116,706.9646,711.9436,671.0396
594.4666,519.5466,707.3686,710.3806,672.9666
599.2216,517.8646,708.6796,709.2146,679.5406
599.5736,518.9326,711.1706,706.2386,684.3756
601.9746,520.3626,708.9976,703.7316,684.0506
609.2986,521.2596,703.4196,697.9406,685.5556
609.1626,524.2066,704.9006,693.9146,683.8756
614.5496,526.0226,703.0226,688.4196,690.6516
618.1916,527.0686,705.1406,684.1546,696.6396
621.1726,527.0846,701.4386,680.2026,700.7016
625.1316,530.0186,702.2576,676.7026,701.5326
629.2116,532.0156,698.2126,666.4226,704.4486
630.5946,533.2816,695.0366,664.3256,715.0506
627.5166,535.8366,695.3836,662.7716,721.6596
630.4506,540.1696,694.8746,659.1406,726.6826
632.6196,543.7556,687.9476,659.6676,735.5456
631.2066,548.9736,688.3366,653.4776,741.8116
632.0666,551.8076,687.6536,648.7076,747.3456
631.3316,555.0346,687.3286,646.8856,748.5166
631.7276,557.0916,684.4366,645.1356,755.1356
633.0756,561.6516,686.5286,642.7996,756.2536
629.6246,564.4766,682.1756,646.3056,758.8606
627.2156,566.8636,686.1866,642.5696,762.2466
626.0666,568.9986,684.0846,641.8686,768.6516
623.9006,573.0246,683.8316,639.2666,772.8816
623.4186,572.3676,680.9696,638.5306,783.0126
623.0216,571.8666,681.1506,640.3606,787.6026
624.2266,572.6286,683.2436,644.8376,786.7816
621.7186,574.4946,682.2806,648.2286,789.2656
625.2266,573.6206,683.9756,650.6086,793.6266
623.0766,569.3666,680.5786,644.8136,798.1216
623.3096,571.2746,682.5436,647.9356,799.0766
621.7976,569.2636,681.6346,649.6396,800.6676
621.4396,568.8086,685.3596,651.0776,802.3296
622.3776,565.0516,685.9296,656.1356,804.4456
624.4976,563.3496,687.4566,664.9846,809.0276
627.7866,561.3376,690.4976,663.8986,812.4206
631.6616,561.3836,691.4436,668.8606,818.9596
628.5256,560.3236,695.7066,681.0216,821.8556
627.8436,560.0066,693.6266,684.2656,823.2876
629.0746,559.1836,694.2586,683.8106,824.1546
633.8356,560.6126,694.2696,679.4576,826.1196
634.1696,560.8466,698.9006,672.8936,834.0366
634.1326,561.2326,700.2556,677.5916,842.1536
