Crypt 1,Crypt 2,Crypt 3,Crypt 4,Crypt 5
158.8896,95.5816,233.0306,435.1416,244.8326
165.2246,100.2466,238.3226,430.2966,250.6066
175.8956,104.8586,244.1086,422.9896,254.1236
185.8996,110.3526,248.4356,418.0546,250.9146
201.3076,117.6636,250.4476,413.6706,248.9346
215.4266,122.8416,252.0396,406.9816,247.5216
231.2586,129.5006,254.1856,403.5156,244.1626
249.8736,138.3166,257.5336,396.8096,240.0896
267.4706,147.3846,263.8036,390.5496,232.5756
283.6226,156.6016,272.3206,385.8286,221.6466
297.5336,165.0626,279.9746,381.4396,214.8606
312.8246,174.1466,289.8956,374.5306,211.2526
326.4966,182.3186,299.8606,371.8296,208.2736
339.9336,189.0866,312.6706,367.5166,204.1756
354.1756,194.1476,326.9706,362.5006,198.1396
370.9296,201.7586,340.3526,359.8076,192.5406
387.8696,209.5856,352.6586,357.3496,188.3846
404.3916,219.6296,363.0406,354.9266,189.6406
420.8226,231.0816,371.7346,351.9276,191.3986
438.4806,241.5646,378.3766,354.1566,190.7356
454.6986,253.7856,383.2416,352.8856,190.9886
467.3656,264.1196,388.6136,353.1236,192.7256
483.7896,272.1786,396.1176,354.4456,193.4906
506.6316,281.6236,402.5216,353.7126,196.4506
515.5286,288.7086,410.2656,356.4246,198.3276
517.2266,296.5346,416.8946,357.6666,201.8296
509.5676,303.7886,421.9486,361.3956,206.1586
500.1066,310.3976,429.3156,366.9826,210.1396
489.6916,317.5016,432.1606,371.7026,214.2236
484.0976,319.0746,440.0116,383.6336,219.7106
479.6706,321.0606,443.9926,397.8106,226.1516
476.0416,323.1006,449.9766,407.2136,231.2546
471.4846,323.5086,452.5746,408.1426,236.5696
463.7486,325.7086,454.8066,409.8776,244.1576
456.6116,327.6776,462.0106,410.0976,249.3746
457.8956,331.0366,461.8656,408.9176,257.6656
461.5916,333.5816,463.4156,406.0616,265.7926
453.7886,331.9596,466.2376,404.8406,274.6346
443.4896,329.1326,467.0776,406.2576,281.0046
432.0006,326.0456,469.6346,407.2776,290.0936
427.3576,322.1156,471.2856,409.4496,296.2166
419.3266,318.2896,470.9416,415.8346,306.3296
415.1546,315.6736,474.4956,419.2986,315.0196
411.7386,313.3076,476.0686,422.8006,324.0946
408.4716,309.8746,478.5876,431.9616,334.3896
404.9406,309.3736,478.7226,439.8586,346.8016
399.9986,308.6586,477.9426,447.9596,353.8396
397.2326,310.3536,477.6016,455.1016,362.3976
396.7986,313.1006,480.7726,460.5366,373.3656
395.2426,316.2926,483.4216,469.4996,383.9966
395.1546,318.7356,481.3966,478.2946,396.1796
395.0616,320.4026,481.4176,485.6756,407.4916
398.2796,321.4076,485.5036,494.2166,419.5656
400.5066,324.2746,489.7616,501.7946,430.4746
404.5476,323.0416,490.3826,510.4206,442.1956
405.6126,323.3506,492.4876,518.2056,453.1906
407.9676,323.7186,490.7386,527.4616,463.3456
409.6006,321.9776,493.8386,535.4806,476.2036
413.6406,323.1576,493.7946,536.5966,485.3466
414.9036,323.7906,496.5996,543.1626,500.3906
422.1516,322.9896,496.4486,551.6276,511.9806
428.3266,320.9466,498.6436,557.9136,523.0176
433.5076,322.3836,506.6666,558.1816,537.4076
437.1416,324.4936,505.3436,563.3126,552.6856
440.7226,325.4076,506.2416,570.6216,564.0936
441.0556,328.1406,507.4386,571.2206,578.4856
446.2026,334.2816,508.7106,577.9286,596.8876
452.0516,339.5976,509.7606,584.7286,614.5726
458.6966,341.7316,514.3046,589.7866,630.7286
464.4466,345.4866,515.6676,592.8266,641.0086
467.6086,346.1676,515.7356,595.9316,653.6676
469.9976,350.3946,518.9246,600.1006,669.8056
475.7916,356.9636,520.8166,600.0126,688.7176
478.1786,358.8646,523.0766,598.1746,707.6186
479.6426,362.4276,525.5856,602.1806,720.3496
482.9686,367.6856,530.1616,600.7836,734.5256
488.5406,375.4276,531.7076,602.4966,753.9116
493.8756,380.3976,534.8536,601.1646,766.4946
497.3316,383.6066,537.8466,608.7556,778.7906
498.9996,388.1036,543.5276,613.5376,796.5146
502.8496,391.7286,543.8766,616.5896,811.7776
510.5856,393.8056,548.8806,619.1886,823.2876
514.5396,394.9206,550.7906,624.3596,841.7506
516.5496,395.3706,552.9426,624.1136,853.7836
518.6386,397.4306,559.4256,625.3276,867.7536
518.6946,399.7226,565.7486,625.3156,881.5696
520.8966,402.7286,571.3226,624.7236,892.0336
525.9156,404.7686,574.0716,617.7556,902.3376
530.7226,409.1646,578.9466,612.0196,916.9856
535.1786,414.6906,583.2266,611.3686,932.2956
538.6566,416.0696,583.5956,608.4026,945.0166
545.7786,415.8636,587.5226,607.9376,951.4006
548.6696,418.0146,591.1426,609.7566,959.7356
547.1506,419.9176,595.0426,611.3556,962.8316
547.3306,419.1106,599.5116,609.6696,967.0486
551.1916,425.0236,608.3786,610.4726,970.1176
555.7626,428.8196,611.5606,608.4516,974.3926
560.4836,431.7126,616.9646,606.0926,978.6766
563.8696,434.5626,623.8796,604.7036,984.2816
565.3356,431.5176,634.3436,603.5376,986.4626
568.6656,434.8916,640.6406,605.6426,985.1436
573.7336,437.5656,651.8466,604.4066,985.0266
574.2676,441.7756,655.9746,601.9016,995.6446
578.7516,443.7776,667.5516,596.8926,1003.6496
583.6056,446.0236,674.5736,593.1946,1012.0906
589.6726,447.3736,679.5566,590.8946,1018.7636
593.1326,451.2786,685.1066,591.7276,1020.7806
600.0286,453.5336,685.5086,592.3666,1028.3066
606.2856,458.6796,694.1856,587.6926,1032.4066
612.2776,463.3436,701.1946,588.7586,1033.5206
615.9656,465.5886,708.8666,583.7096,1034.5896
618.9006,470.5566,717.8716,581.7756,1033.7266
622.0516,473.2756,723.3506,583.6216,1040.3876
631.0406,478.2946,727.0666,581.5096,1042.7746
632.4286,482.9406,733.8586,579.7796,1048.5436
635.9106,489.4416,732.8826,574.4006,1050.1156
640.4846,493.4736,734.4706,568.0896,1049.0526
644.5766,503.3946,736.1086,563.6676,1043.2936
642.2626,508.4236,740.3356,562.0986,1041.3866
640.3386,511.5556,740.4476,559.3196,1040.4666
637.6056,520.7676,742.9206,562.3796,1039.1306
635.0046,528.1396,745.5806,561.4556,1039.3986
634.2196,538.6616,747.1966,559.5536,1044.8366
635.4296,542.1346,748.1556,558.8046,1046.9536
637.0556,547.1756,752.7256,561.2346,1047.4016
635.5726,552.2036,751.3956,559.3376,1036.8226
635.4296,558.6536,752.7336,560.1506,1037.5726
636.1976,564.9356,754.9336,558.0536,1036.3216
634.7836,572.1006,751.9256,558.2216,1037.3276
637.4736,577.5346,753.5816,557.1796,1036.1926
636.3276,576.8226,753.3326,552.1226,1036.7826
636.5716,578.8276,751.7596,550.7046,1031.0056
639.0206,579.4546,754.2056,550.3486,1024.1946
636.9476,580.5036,752.0006,549.7356,1019.6216
638.8916,582.6936,752.6536,546.0386,1015.4766
638.9026,587.1546,747.9556,547.1376,1013.3236
634.8656,587.7206,742.4666,544.5236,1011.7546
638.1726,587.1656,739.0126,541.7796,1009.3106
640.5566,589.7706,735.4986,539.3756,1010.7546
641.1706,590.8336,727.7346,537.9466,1010.3996
642.2006,596.2566,721.3066,530.8806,1010.7506
644.7506,598.6316,715.1116,527.8286,1002.3836
645.2456,597.6546,711.9786,527.7166,996.6436
645.8816,602.1546,709.7076,525.0536,991.0286
645.4236,601.9486,700.1976,526.5506,986.2066
647.8706,607.9616,698.7646,532.7386,987.0916
649.5126,612.6156,697.4446,538.3396,982.1976
648.8346,617.6146,694.4016,544.6256,977.4136
650.2476,623.2236,690.8076,549.5886,976.5576
653.8906,626.7946,689.4536,554.7456,972.0646
656.2016,633.1436,684.9286,559.7936,969.9446
657.9056,637.0926,681.4446,566.7596,965.3066
659.4986,646.2266,674.1696,567.1296,958.1666
662.5136,650.5336,675.2866,572.8096,952.9496
668.1526,652.8226,671.3396,578.3436,948.0986
670.0666,653.0336,667.4046,582.6426,942.7426
673.4016,648.6106,662.2226,587.0896,937.3206
675.3786,645.4256,656.1786,591.9076,930.0176
676.7836,649.5756,652.3476,597.9406,925.0006
682.6886,650.6976,645.5746,606.7556,923.3236
686.1836,654.9306,640.6066,611.5886,921.5086
689.8296,660.8686,637.9346,609.6586,913.3996
688.1396,668.6046,634.9416,609.1746,910.4016
688.1586,671.6126,631.6866,610.8036,911.2606
692.3236,672.0946,627.4776,614.2576,911.1706
692.7336,672.8586,623.1396,612.7516,910.9216
695.8606,677.1006,618.9866,609.7226,904.7606
701.3456,679.3326,616.7426,610.3306,901.9496
703.0806,680.3136,612.9486,607.1376,897.7886
708.6106,684.8406,611.1246,606.6236,893.4646
712.8406,688.9396,609.3136,605.5666,885.0886
715.3466,689.9576,607.7506,607.4556,879.8946
715.3266,692.9946,607.7476,607.4376,875.2236
717.4796,695.2546,607.9416,603.1696,870.1876
720.3076,694.5346,610.3326,605.0866,862.7246
723.0756,700.1766,609.0586,605.0166,859.2636
722.9456,705.0936,609.9696,606.3926,855.3766
724.8756,707.4886,607.7966,608.6676,851.0636
727.8786,712.2326,604.7416,606.5616,842.9036
727.5386,718.0026,605.1706,604.5296,836.5936
726.4806,723.0956,606.4086,604.8296,827.0186
722.2106,724.8966,607.1726,603.5206,824.9086
724.2096,729.3976,606.3606,607.2626,822.2706
724.5426,730.7346,605.2716,605.0926,819.6746
728.3586,727.2606,606.3146,601.8516,821.0686
730.2556,729.5026,610.8486,600.4836,824.4326
733.2616,734.0826,610.4366,599.4516,827.7916
733.2336,734.4496,610.6076,598.1846,831.9906
732.4706,736.5816,610.9146,601.3966,836.6086
731.9866,741.5306,613.7626,602.2196,842.7006
731.0976,748.0396,614.1006,604.3866,849.5986
726.9706,751.1906,611.8406,606.5006,853.1196
722.9826,755.6796,617.2516,606.2786,854.5676
719.2396,754.4936,614.5036,610.2226,860.7506
713.9516,752.7786,612.6076,608.5046,859.2436
707.6796,751.9966,614.2086,607.4006,859.1186
704.5316,758.1916,615.4776,603.7136,857.5636
703.0776,758.3866,620.9516,605.0326,856.8906
708.3566,756.2006,623.0056,603.4596,849.9416
705.3446,759.6296,626.1006,608.5416,847.9786
704.5406,760.4746,633.2126,609.6436,852.2186
703.6416,763.8866,638.4566,608.9406,855.0846
702.7526,767.8076,639.3216,610.4836,859.6406
700.9616,770.1126,646.0116,609.7666,861.6866
701.2206,771.3576,650.9986,609.0786,865.3696
702.9926,772.2646,653.8566,613.8116,869.2936
700.9956,773.4096,657.1276,613.4496,869.3646
698.3166,774.4056,658.5356,612.4826,873.3626
696.7946,774.2726,665.3186,614.1026,875.7736
694.7626,777.3926,669.5126,613.2426,875.2106
696.3346,771.3386,671.9916,610.3906,879.8496
692.6486,772.0556,676.2186,607.0966,886.0846
693.6406,771.9266,675.9646,606.5096,895.0496
696.1456,773.6746,675.3746,606.2856,896.0526
695.6476,773.6986,678.0396,601.0516,895.6116
699.6216,770.5736,675.4826,600.0676,897.4676
699.4766,768.9036,683.4506,598.3646,902.4036
701.8596,769.5356,682.6276,595.9616,905.8316
703.8766,769.9606,683.0026,594.8976,906.6936
704.0126,767.4396,687.8286,595.7826,909.2266
702.4276,766.2646,690.2386,590.0296,911.8126
706.4216,762.8296,691.2616,588.9216,916.2076
710.2986,764.9706,689.5106,587.4506,918.9926
711.2576,767.9996,689.4966,585.1736,923.9566
716.2066,769.8776,686.5566,580.3096,934.4656
714.2196,773.8806,686.1786,577.9336,941.6136
718.5406,776.7016,688.2726,572.2586,951.6776
723.7336,784.2616,687.3156,568.5736,961.1536
728.2086,786.0736,685.9076,570.4886,971.5526
730.7346,795.1936,685.1126,566.9136,986.4416
738.4666,803.6036,683.3186,562.6806,992.5476
745.7996,803.8496,683.2696,565.0076,999.8546
754.7946,810.7276,681.7956,564.2606,1010.6346
759.9796,815.9896,683.8086,558.4486,1022.7326
762.9926,815.1496,684.6396,554.8266,1032.3366
771.0486,818.7036,681.8366,553.6446,1044.1726
