Crypt 1,Crypt 2,Crypt 3,Crypt 4,Crypt 5
1476.704,1446.945,1337.275,1570.249,1639.128
1468.334,1441.309,1317.841,1559.841,1623.479
1467.133,1440.518,1288.412,1544.3,1617.251
1465.064,1427.618,1265.28,1533.714,1608.587
1454.674,1418.645,1231.698,1527.282,1602.084
1440.074,1408.415,1199.172,1521.317,1599.465
1427.812,1402.849,1169.652,1514.136,1592.98
1421.411,1387.881,1138.563,1509.913,1588.359
1405.134,1373.493,1108.949,1502.65,1574.153
1386.681,1352.464,1080.219,1491.084,1560.547
1371.255,1333.285,1052.892,1474.821,1548.266
1349.133,1311.376,1021.161,1463.977,1537.351
1330.735,1294.362,997.03,1452.06,1523.332
1320.647,1274.305,975.257,1442.744,1516.65
1308.789,1247.759,952.136,1428.515,1509.247
1294.424,1222.405,935.534,1416.337,1499.263
1280.534,1197.018,930.419,1407.164,1487.396
1266.271,1166.995,928.866,1396.909,1478.938
1256.861,1142.24,923.36,1379.057,1460.634
1236.558,1123.339,915.412,1368.714,1448.293
1218.365,1102.402,909.962,1362.142,1432.961
1196.5,1081.146,907.771,1346.891,1419.178
1176.458,1063.105,904.162,1329.428,1402.21
1158.041,1046.815,902.261,1313.326,1388.642
1143.252,1033.403,901.717,1299.078,1372.715
1125.361,1014.734,902.839,1276.938,1355.531
1106.871,1002.098,903.311,1261.042,1341.013
1092.676,987.129,906.322,1248.477,1323.452
1073.245,970.327,905.261,1233.632,1305.706
1051.202,957.906,901.871,1217.979,1291.438
1031.188,944.809,896.072,1205.94,1266.195
1009.567,935.654,884.864,1191.745,1250.872
985.57,917.363,872.316,1175.553,1237.459
970.627,899.855,867.299,1157.221,1218.444
953.855,887.994,864.287,1144.11,1196.648
937.635,880.25,868.827,1129.494,1180.541
923.878,880.36,863.811,1118.623,1162.342
909.066,879.143,856.588,1105.695,1146.811
893.816,882.626,851.939,1091.291,1130.215
882.951,886.76,847.721,1085.253,1112.047
870.677,893.583,844.276,1072.085,1101.351
861.422,895.765,838.519,1059.927,1085.176
850.127,898.924,828.623,1053.591,1068.179
842.055,896.964,820.78,1047.261,1050.425
832.862,890.57,812.139,1043.469,1031.896
826.205,886.726,803.934,1040.698,1018.02
822.156,879.024,799.891,1033.199,1013.194
813.079,867.715,803.599,1026.88,1004.186
804.92,860.773,804.677,1019.364,996.376
795.058,856.025,806.171,1010.746,985.599
790.321,853.318,803.25,998.77,976.667
786.48,852.021,802.746,998.3,962.737
780.008,849.557,801.271,995.734,960.028
776.354,847.105,802.494,984.494,955.834
778.373,847.771,804.978,976.394,947.711
783.193,846.87,799.731,972.362,940.134
784.347,845.63,799.884,968.693,938.619
