Crypt 1,Crypt 2,Crypt 3,Crypt 4,Crypt 5
369.7934,560.1564,557.4674,295.9514,703.8344
359.6814,543.9814,545.2094,296.7404,683.4324
351.9554,529.2014,531.3194,296.6764,670.0794
342.6514,514.6474,515.4164,295.3064,656.4694
329.3194,502.2514,502.6034,292.3574,642.3304
317.4084,487.0644,488.3054,287.3354,628.0264
309.3394,475.1934,478.5134,285.1274,615.2474
300.3524,462.1944,469.2104,283.8874,604.2214
293.5464,451.9534,461.5524,280.5894,595.5274
286.7444,438.1874,448.7604,277.2034,586.0134
277.6594,429.2214,438.2454,275.3294,578.1234
270.7434,421.0904,425.3374,272.8134,575.6744
263.3054,409.9254,413.5904,269.4014,569.9044
255.1654,401.0884,401.5684,271.1244,566.5444
249.2204,395.2334,395.2204,271.2944,565.4774
241.4314,386.3514,387.6914,274.4404,571.7674
234.6414,373.9134,382.6284,278.0054,584.7604
228.2294,363.7434,379.1314,283.1674,598.1744
222.9494,350.2554,373.8014,291.5134,611.1234
217.8224,338.4634,370.3664,299.8554,624.4634
213.8514,325.0254,363.4274,308.9824,637.5954
209.8944,312.6864,358.2074,318.1664,648.2804
204.2524,301.5594,354.4724,330.3264,657.8924
199.7214,289.3134,348.7594,340.3554,668.7084
194.1044,278.2364,347.1434,348.1704,680.2194
191.6464,268.9214,345.8654,351.4194,689.1324
188.9174,260.6244,348.8244,352.9144,698.5754
183.6664,253.6894,344.8304,352.6384,699.5984
178.0874,251.0084,344.9154,350.8794,699.5114
174.8504,246.2024,343.3494,353.6714,702.8884
174.1824,236.4664,343.9914,353.7524,706.5174
171.5704,225.6604,345.5344,347.9014,703.3414
170.5124,218.6704,344.7114,344.9584,700.7784
168.0334,210.6104,345.6184,339.0674,696.0694
166.8894,202.8414,347.0454,332.9304,695.1804
166.3304,193.8254,347.8384,323.9404,692.7284
166.0514,187.3334,346.4224,315.8054,689.4654
167.3224,180.5704,338.8584,308.1904,678.5014
169.9784,174.5784,335.5044,299.4214,671.8124
171.2034,171.2544,326.6864,292.1574,662.8434
174.2324,167.9254,317.1554,280.6794,663.1634
175.4744,163.6354,308.9634,270.1204,657.2524
177.7864,158.6274,301.5584,260.0164,652.7934
179.7124,157.3484,292.4224,249.0454,648.2984
180.5884,153.8394,283.8444,244.5894,643.4744
181.7304,155.1404,276.1684,241.3814,636.4034
182.9334,156.5124,269.9854,237.6504,630.6834
181.7604,157.4034,262.5934,232.4844,623.1554
176.0094,159.8574,257.6804,228.5744,612.4124
173.9944,162.7244,252.4284,227.0724,602.4594
174.8284,164.4134,246.9224,226.5964,594.0534
175.1954,165.5474,241.2864,225.5904,586.1394
178.3814,165.6544,238.4474,226.8104,579.4664
180.1984,166.6284,233.7344,230.6464,564.2134
184.1004,168.1614,231.4374,235.2044,551.4224
189.2234,170.4334,226.8794,240.3294,537.4474
192.7734,170.8854,224.9364,246.9404,527.3304
196.3594,175.9374,221.7104,252.6314,514.6664
201.6374,180.1134,220.9284,260.8054,498.4804
208.1574,186.0144,218.0624,270.9124,486.7494
216.4514,191.0614,218.5994,284.3464,473.4604
223.8124,194.8034,216.5934,294.7184,463.8614
228.9564,201.9234,217.2844,308.1184,451.3704
233.5714,202.9874,218.7294,317.4394,439.2834
239.2934,206.6334,218.2564,329.9234,425.2614
240.9794,209.3844,221.5694,342.1464,417.9384
242.0584,212.6824,221.3804,352.1294,408.2714
244.2514,213.8154,219.2444,365.4784,400.1934
243.1424,215.6424,221.6084,382.1424,394.0164
238.5504,217.8074,222.0374,396.1164,384.4074
236.2814,219.9444,224.7404,405.1914,378.3754
234.2734,223.3004,228.1404,421.3084,373.4484
232.2244,226.3614,228.1094,435.9284,366.6034
235.9874,232.4794,230.9154,451.2614,362.3664
237.4994,238.4194,234.7784,463.6074,360.5654
238.1264,243.0034,236.8184,468.3954,355.3344
241.4534,248.2454,240.7184,480.5124,354.1664
251.8624,254.5054,244.7674,491.9214,354.8534
261.7134,259.6384,251.2514,502.8094,350.0564
274.5104,268.2134,255.0574,519.8604,347.5564
284.8734,278.5394,261.5844,539.0104,345.1994
293.3814,287.8104,269.2654,555.3734,340.3714
300.8474,300.4854,277.5494,569.0854,336.6024
308.3434,311.0364,284.1614,586.8104,335.1274
313.4664,320.2934,292.3544,607.0884,335.3594
319.0984,330.3164,299.8134,624.1074,331.1324
323.8444,338.0424,309.9354,637.6414,329.4114
330.9144,345.0664,318.9244,651.4784,328.0464
341.1554,353.9014,327.1044,661.6174,326.5814
350.5454,366.5544,335.7514,669.5914,323.3134
358.3674,380.9224,344.9534,675.9254,320.9024
364.9394,394.5314,358.3554,676.9744,322.1384
369.9214,402.4694,368.8374,679.3994,321.2954
378.4174,411.9804,379.7494,685.4234,321.0864
385.0454,416.7064,389.3134,689.7684,318.9444
392.6634,424.9264,397.5624,692.5114,318.0404
399.9114,434.9454,407.0434,696.9444,318.2494
410.0594,438.9784,417.2094,702.5964,320.1504
415.7684,443.5694,426.5464,706.8324,319.5544
417.5454,449.4004,436.6524,710.5224,319.2974
421.5384,451.4024,450.9654,715.7484,321.4984
427.6324,455.9864,460.6774,722.9264,322.5494
431.8324,459.6534,470.6464,726.3474,325.3604
435.4504,463.9954,479.9804,731.3214,324.2834
439.3094,469.4394,488.8254,733.2564,327.8394
443.5864,473.8874,491.5474,732.3904,331.4304
449.5274,481.4284,494.2514,728.5134,331.1094
457.3424,484.7854,499.8624,726.7794,333.6844
461.7704,492.0764,503.5844,719.8494,335.3554
470.1894,499.5094,506.1334,714.9594,340.2964
478.8724,500.0034,510.5744,708.7504,338.8374
482.0564,506.5934,514.0224,702.8134,340.3174
486.6904,512.2674,518.6304,697.5394,345.4244
494.7184,512.3744,520.1464,693.7664,346.4184
502.4084,518.2094,524.6274,690.1374,345.5864
508.8484,522.2964,528.7734,683.8614,347.0664
508.2914,526.9144,538.7874,678.6774,343.2744
507.7074,532.6854,545.8474,676.3164,344.2854
505.2444,537.1924,556.1284,674.6034,343.5314
501.0744,543.4934,566.9404,670.1324,345.1684
497.9284,549.5554,573.0554,664.5514,345.0034
498.7714,556.0684,580.8784,656.3884,342.7684
493.0204,561.9774,587.8054,646.9694,343.5934
493.9494,564.6654,596.5344,636.9004,343.1024
490.2694,566.9574,605.3954,625.1504,340.5524
484.7664,567.7194,611.8794,621.3734,336.8224
478.1694,567.9754,614.6484,614.6734,333.7034
472.9764,567.8464,618.9554,607.7474,332.7674
466.0814,569.6734,622.8024,603.2424,329.8234
459.0004,566.4624,626.9774,595.5744,330.5184
451.4754,567.0294,625.7144,585.1784,327.1574
444.7924,566.6124,630.1964,580.1304,322.2844
437.4544,562.8604,633.6574,573.5354,322.6044
428.1904,560.2314,635.4954,565.1364,321.0184
419.5524,555.9014,637.3814,553.5644,322.3834
411.5374,549.3054,638.1564,544.4754,319.0684
403.0314,542.4204,636.0724,530.3164,318.2064
398.6994,536.0964,633.2674,523.5154,315.3754
395.8964,534.9754,627.7724,514.4054,317.7314
387.8344,523.4534,621.3704,501.1244,317.4204
382.6544,517.0184,612.7694,488.4124,316.3124
372.3354,508.9074,608.3754,478.4294,315.2854
366.8684,499.8004,603.0614,462.9754,323.1874
363.2414,489.7344,595.7934,449.1244,330.1694
360.2784,477.7424,588.1094,437.7754,331.3644
360.9194,466.8314,581.5364,425.3124,324.8764
353.7474,459.8014,572.7874,420.3794,321.6494
349.6224,448.6054,565.8114,413.0654,319.2364
349.4124,435.3664,558.9124,404.5554,315.2824
348.1504,421.2494,552.6834,397.1524,307.9734
344.3104,405.5254,545.9494,389.9764,301.2474
337.3024,395.9354,536.4064,381.2624,296.8094
