Crypt 1,Crypt 2,Crypt 3,Crypt 4,Crypt 5
432.1046,233.0896,168.1286,147.4316,170.2266
463.8396,229.4896,159.3336,151.7326,186.8676
498.9596,227.7336,157.4926,160.2816,199.8886
531.7606,232.1306,159.4156,175.5836,215.1416
565.5786,234.2526,163.8356,202.1956,238.1506
588.6346,233.0856,164.8606,230.9426,255.6676
614.5816,236.5646,164.6046,254.8236,273.4026
634.6526,243.8886,167.5376,271.9746,287.5466
651.9066,247.7256,169.6806,295.9416,297.5236
670.3016,256.5846,166.2966,321.3916,300.2796
693.1446,268.4346,162.6036,347.0086,301.0356
714.8096,276.4986,153.5546,369.9956,309.4466
741.4106,288.4446,139.8316,391.6656,322.4036
760.0516,296.5406,126.9976,412.4226,336.7246
767.2196,291.2496,112.5726,423.1966,340.4686
772.0016,280.3926,104.0956,427.3186,335.3726
771.8266,270.9316,97.2256,430.2816,331.8966
767.7456,261.5546,95.0486,435.8166,330.0656
752.2736,255.2836,87.5746,441.6176,326.3046
735.3616,250.2646,80.5396,448.3776,317.4556
718.2506,249.1236,72.1916,446.5596,306.2996
700.5896,248.9356,68.3266,445.4576,294.4946
685.7936,253.1856,67.0706,450.0966,283.3886
670.0846,265.6936,67.4126,452.9706,270.1146
654.7886,278.3836,72.3846,462.3126,256.3196
634.5626,289.2116,87.8146,466.1196,239.1856
620.0396,297.6576,107.6596,470.3256,220.1996
614.4996,292.2716,121.8636,467.3256,205.8986
611.3416,276.7956,128.8236,466.8306,191.2386
608.2776,270.8286,139.6866,465.6876,185.4336
595.7156,269.7956,148.6496,471.0356,183.7116
591.2996,268.5676,153.2626,483.6516,187.8716
589.7896,268.0026,149.0146,488.3766,200.8556
585.0516,270.4896,140.2086,484.4726,216.5186
567.8236,275.4306,137.7056,478.5046,238.6436
550.2266,279.8286,140.6276,477.6366,265.2866
535.1406,280.8016,139.1846,472.8296,295.4236
529.8596,286.2396,132.8466,468.8706,333.3716
524.6706,294.0316,128.6996,464.8826,368.6296
519.2866,298.4516,121.4116,464.6076,395.6586
505.5896,299.0836,114.0686,459.7276,420.1286
491.5026,290.1576,107.0546,464.6206,439.9396
479.9666,282.8056,95.8956,474.3466,463.8426
476.4256,280.8516,83.8206,485.0956,487.7986
479.9206,283.1276,74.2246,490.2906,507.6636
467.1866,295.5046,71.4166,504.8626,524.9956
450.9426,319.2136,68.7576,512.3986,539.6136
