Crypt 1,Crypt 2,Crypt 3,Crypt 4,Crypt 5
265.6564,120.2684,172.5754,446.1084,1001.9534
268.5634,119.2494,176.6214,432.1614,1012.5684
269.6984,118.1654,182.0334,425.0974,1024.7944
271.7624,122.1224,187.2294,421.9854,1031.9554
265.4084,126.5144,191.2274,425.5014,1041.4264
261.8274,127.4264,199.2924,432.6174,1054.0654
263.0514,131.5994,208.1364,443.6884,1066.5034
261.8714,134.8794,216.3374,460.2904,1084.1394
262.9064,139.3534,223.9394,477.9494,1098.1114
268.8704,143.5714,230.8824,498.5184,1120.4354
278.1804,148.4864,238.2724,520.8434,1144.6034
290.5594,157.4724,246.6034,537.7734,1151.3364
301.7154,169.4284,254.2794,554.2184,1160.9304
313.7574,177.6174,260.4164,574.7484,1170.5424
323.4284,186.7924,264.3644,594.0464,1173.5234
334.5104,195.6684,265.6524,613.2034,1173.2244
349.6274,207.2414,272.2094,624.3174,1161.2114
367.9704,219.1794,285.2534,634.1064,1153.0074
393.0914,232.4354,305.3104,644.9614,1146.1264
423.8074,250.4164,330.1504,653.7984,1153.1174
459.0344,275.4794,360.1724,659.8224,1164.1294
494.4644,305.3884,405.0744,671.3924,1183.1864
526.7324,343.8494,453.0974,681.5734,1202.7694
551.0784,380.0034,487.7164,692.3364,1226.4874
564.8644,409.9924,508.8544,702.1734,1249.9594
569.2274,429.4784,503.1054,710.5604,1280.3834
580.9604,450.4374,483.6744,718.7744,1305.0514
585.1314,474.0544,469.0834,723.6144,1334.3504
602.4854,500.7614,481.5164,723.7804,1355.4614
621.7124,532.6654,528.8024,721.4184,1385.7944
639.4504,561.7974,579.8184,725.1504,1417.2984
656.0414,586.7764,593.2094,727.6924,1447.1484
665.6854,614.7834,538.9344,725.6844,1468.5574
668.3534,635.2454,481.5354,724.4224,1493.5684
668.5004,649.2924,458.6194,722.1784,1522.5074
671.0944,663.2924,455.7274,727.0314,1550.7554
682.7604,675.9234,472.3824,734.8214,1576.0944
699.5354,691.6784,489.7304,738.7194,1605.4574
716.2324,702.7344,512.0344,741.8034,1638.8854
731.1754,711.7524,534.2724,748.5254,1669.6094
742.9724,725.1074,556.6584,759.1734,1697.4474
752.3254,745.8644,580.2294,765.3514,1723.9024
754.6314,758.1244,601.9374,770.7424,1747.2344
760.6154,766.6834,634.8034,772.7264,1768.8844
762.5404,776.4244,674.4174,783.1174,1787.5634
761.1534,790.4854,705.8594,796.0094,1806.9694
760.8244,806.3744,733.5654,800.0464,1821.3264
761.1984,821.1304,749.1614,809.7764,1834.8484
763.2404,826.7094,771.9004,816.7494,1850.0564
770.6734,829.9864,797.8894,820.1034,1865.1204
776.8394,831.9194,818.5024,831.8264,1877.4664
789.0934,836.2754,819.1764,840.4994,1890.0434
800.2134,846.4054,794.0564,848.6594,1902.2554
811.8564,859.6954,752.2334,857.1944,1912.2634
823.9514,873.5684,724.1764,861.4664,1920.0264
843.1934,891.1714,711.8474,867.8194,1927.3524
862.2824,906.1714,712.3784,873.9314,1931.0894
871.6164,921.4754,719.0614,884.0744,1931.8624
874.2454,944.6894,735.6654,890.8364,1940.2874
881.8924,970.6604,755.7914,899.3204,1941.7044
882.1034,993.4374,767.6314,905.4784,1943.9104
878.2574,1016.1494,773.1054,910.8664,1957.5384
876.7454,1041.4634,781.1474,916.8504,1959.9234
867.8054,1062.3024,784.9984,918.8994,1962.9574
857.4004,1083.5604,793.2484,935.0124,1967.5064
852.0454,1107.2904,801.3264,959.6024,1970.1564
848.0064,1130.9924,812.8174,973.1194,1980.6584
