Crypt 1,Crypt 2,Crypt 3,Crypt 4,Crypt 5
197.5026,47.0066,233.1326,3.9206,171.5926
194.2466,48.3226,247.0726,14.4286,173.3526
192.3616,50.3916,260.7776,23.2106,170.0196
189.8206,55.4796,272.4856,37.3056,159.1516
187.9686,66.7616,285.5516,54.8446,146.7346
186.4936,81.0526,289.8886,74.3626,125.4476
186.0596,94.0686,293.0056,94.4156,99.8006
184.0086,110.8136,298.6636,114.3566,80.4136
189.0916,128.4196,300.9026,128.6606,71.2666
191.6786,149.2466,304.8116,147.0076,66.3866
201.6216,165.6306,310.4476,164.2716,68.7266
209.5496,181.9876,316.4156,181.5076,74.9166
215.3096,189.5966,324.6326,196.3936,80.2956
222.7816,197.9876,327.9416,211.4836,86.3006
231.7326,209.3296,332.7396,225.1226,96.2436
239.5996,215.2936,338.7906,237.4166,107.6556
243.5756,218.8926,341.3126,242.3986,119.7326
256.2826,224.9336,344.8616,254.0066,135.5056
267.6616,232.0086,341.4476,264.2216,153.2746
279.2046,241.7056,339.3196,271.8456,167.2936
294.2586,257.4816,335.5266,280.4346,183.7406
308.0406,271.0646,329.3936,285.9566,196.0306
320.2826,283.9646,326.2366,287.3436,214.0756
332.4176,296.1616,328.1316,285.1406,229.2566
351.1016,312.1546,325.8566,284.6476,243.0666
368.3786,325.5196,325.9366,280.2546,256.2006
389.4966,339.0866,326.2306,279.9146,270.9486
407.5846,350.0406,325.3346,280.2596,284.6386
422.0876,366.6976,323.6806,283.5326,298.2296
434.4826,383.9336,321.9186,286.5746,308.3636
451.0686,402.2986,317.9146,289.5256,315.3786
466.3886,416.4046,307.6716,296.3046,322.0226
480.6986,433.0716,297.1416,298.9686,325.0836
501.5306,450.3166,290.9476,304.3146,324.0066
526.5586,465.0336,282.8766,305.7066,327.9166
545.4296,472.7646,279.5116,305.8376,327.7756
571.6996,479.5986,276.5316,308.3626,330.4846
591.6016,485.9656,273.2446,309.3726,334.2916
614.6456,490.5876,269.7496,310.3106,337.5646
641.7766,499.7106,262.8546,309.6496,337.6206
670.7086,510.1156,261.8936,308.9936,339.5996
691.0956,508.8966,260.9016,315.5826,344.1816
714.9546,506.4396,255.4666,318.1146,344.4206
729.3516,507.9616,252.3576,320.4116,348.2166
