Crypt 1,Crypt 2,Crypt 3,Crypt 4,Crypt 5
15.8612,46.1352,128.1282,79.5082,75.2672
15.3232,46.6772,124.3762,85.6972,75.3882
17.3662,45.5712,118.1412,92.8322,75.7322
17.7822,45.6982,113.3482,104.2572,77.3482
18.8002,48.1242,108.3202,113.6532,80.8862
20.6742,50.9982,104.2872,119.8152,86.4312
23.7942,56.5482,98.2422,120.4132,93.2762
24.2002,66.1022,91.8792,118.8682,93.2932
28.2292,79.0182,85.9272,118.0502,86.1512
31.6912,89.8662,81.6892,117.5742,73.9892
33.8852,94.3482,75.4802,118.0212,59.6802
36.2592,100.7112,71.0452,118.8712,47.0722
38.3712,108.8752,67.5822,120.1452,41.3452
39.4742,113.4642,64.2462,120.2342,37.2612
42.0942,117.5552,60.6182,119.5852,34.5342
45.2192,120.5322,58.4852,119.6292,33.7722
45.9282,125.7932,55.4652,119.9212,34.7432
46.2452,132.0952,53.8452,118.7832,38.6292
46.8692,137.8742,52.4302,118.1132,43.1532
48.0822,143.9782,51.5132,117.2322,47.0692
51.2792,148.8322,51.5352,116.5582,51.0362
56.1232,153.8732,52.4702,109.5882,55.8112
63.6642,160.2092,52.3732,105.8792,62.1302
74.7942,168.8282,53.8082,104.2562,69.2762
86.8652,175.0612,57.0912,102.0202,75.7652
95.8682,178.1472,60.8622,99.3422,81.1802
104.1622,180.0492,64.2132,94.2622,87.5212
114.1732,187.5492,67.8392,93.4422,93.5282
118.6142,197.9582,71.1982,87.7732,96.4312
119.8672,207.8612,75.9962,85.9372,99.8992
123.3932,214.4322,78.6882,84.3162,104.0132
127.8852,216.3792,83.4922,84.1742,107.4852
135.2932,219.1982,88.0962,84.4082,110.8922
141.4132,222.3682,92.0732,85.8982,115.7392
144.8662,225.7412,96.7922,86.3042,121.4722
149.7042,233.5452,98.3462,84.1912,131.8792
153.5672,247.6932,102.2782,84.1562,139.0332
161.3882,263.3462,106.3632,82.1872,146.6432
168.4932,279.7842,107.8742,82.0402,152.6832
171.1382,290.6352,110.2632,86.8802,155.7582
173.3672,303.1822,110.9052,91.4212,160.1572
178.3632,320.9642,111.6332,95.9442,163.5212
187.6802,335.9652,110.3792,100.5372,166.3182
197.0372,347.1242,111.1682,101.3892,169.1532
205.3362,362.7082,114.6412,102.1872,177.6632
215.9132,380.2982,119.0212,103.7702,184.4572
219.5582,396.2552,124.4862,110.0872,190.1192
223.1762,410.9912,129.0762,113.9672,195.3392
227.1522,420.9482,135.6972,116.1532,196.9642
233.9882,434.1962,145.3002,117.5622,198.5922
241.7492,443.8592,151.7282,120.1512,200.1942
256.3612,457.2622,160.9362,123.5392,202.6132
271.4602,471.0392,167.4202,127.8912,204.5252
282.3222,482.1922,174.4062,135.3952,204.2322
289.1722,499.8552,181.7872,139.0342,208.8002
303.2402,520.1782,186.8232,142.2242,216.6172
317.0662,537.9592,191.9322,139.4522,224.0932
325.3032,552.9362,198.2822,138.4862,232.4602
332.1642,563.9212,206.3542,141.3492,240.7092
340.6262,576.9632,211.9212,143.0522,249.9982
353.7512,585.3752,222.1662,145.9042,263.0582
364.5002,597.3092,236.7762,148.8302,275.6092
371.5182,609.5102,251.8322,151.0792,288.2502
374.8682,626.8422,265.6572,156.6742,299.7662
379.6412,644.3352,282.6292,158.3772,313.7232
387.9082,661.1162,305.2512,162.2022,333.2842
399.2252,672.4862,330.4802,167.8752,357.0092
410.1062,684.4572,355.7202,178.0292,379.8542
424.6942,687.3732,372.2362,187.5752,407.7062
434.6772,681.7182,390.9212,198.0122,436.9982
439.5932,674.3862,411.9252,206.8962,466.4682
443.7182,665.1662,433.7312,213.1502,496.5332
452.6892,656.0072,454.5012,218.6502,529.0172
457.6202,646.6182,474.4922,221.7632,554.5182
464.8862,640.5832,497.7762,225.1812,567.7892
473.5412,635.5622,525.6642,229.7252,580.9252
483.8062,638.3002,548.9542,233.7292,589.8912
495.4032,648.0282,572.0902,237.0822,592.0192
508.2882,657.3242,597.2412,239.4952,594.6062
521.3722,661.3292,622.0662,245.1732,597.5502
531.0682,669.9872,641.5792,252.7282,606.3232
535.9952,677.1002,669.9342,260.8792,615.5742
537.8952,676.5352,689.6802,270.8442,619.9102
542.7642,679.5102,705.3592,283.6602,611.4062
548.5122,682.8512,722.3202,297.1562,605.3972
553.9882,685.1882,737.1572,313.4962,600.6572
558.3852,687.7612,747.7442,326.4912,601.9792
560.4562,695.8452,760.4782,337.9772,607.2042
561.2822,701.7072,774.6382,352.0142,611.8902
557.8392,707.4982,783.2052,364.3652,616.2132
555.4632,709.3452,791.7832,369.8142,613.3552
557.5122,713.8562,800.3392,372.6442,614.7382
557.9202,721.5042,807.0562,371.9392,621.2722
553.1462,724.3562,814.5022,371.9712,631.4812
546.8962,734.9522,820.3242,372.0392,643.9412
539.7012,744.8562,827.4032,368.2912,650.3072
528.2122,752.4532,831.4332,355.6772,657.0392
519.4592,757.2372,836.4852,344.2602,671.5572
510.6282,768.1172,846.5532,334.5532,677.3622
500.0172,780.0912,854.7272,329.3492,683.8052
498.7152,797.7542,863.9462,320.4702,696.2262
495.2352,810.4302,872.5232,312.9222,712.2552
498.3172,824.5022,876.2242,306.3392,730.5032
499.5782,842.4762,881.1112,300.3802,743.1442
500.5732,859.9402,882.0032,297.1512,755.4652
500.4772,869.7902,884.2232,295.5782,762.4832
511.8782,882.9312,885.2662,295.0042,767.8252
523.0722,881.8922,887.6402,299.5112,769.6732
530.8642,873.4102,895.1872,299.7532,764.5382
541.7992,861.9572,906.0942,295.7502,760.9652
549.9402,849.0152,919.1302,288.5772,758.9702
558.9822,835.7002,939.9082,282.3772,754.9332
573.9572,824.6932,950.5492,281.4872,746.7502
587.2572,814.0232,960.9782,281.1652,740.8042
601.5612,808.6922,964.2752,279.6492,734.7052
616.6842,808.0772,963.4142,282.8852,733.9532
632.7492,807.8522,964.8302,283.4632,730.5242
650.2012,806.1422,968.1922,284.3392,730.9502
669.7722,808.1012,964.2212,282.7282,731.2512
692.9072,806.5772,962.7222,276.9332,736.4812
716.3002,808.8982,957.9222,272.9492,753.8002
743.0082,815.9002,950.7672,271.2902,770.5392
766.2002,821.1222,942.0662,269.0422,793.4492
785.3982,822.8722,944.0732,271.0612,811.0332
809.6682,832.1862,945.8952,273.8022,832.6472
835.8052,845.5752,943.6752,277.5222,845.6212
860.5322,859.2082,934.1692,277.2352,860.9772
883.6062,875.3942,926.4082,277.0672,867.5252
897.1632,887.1072,923.9562,278.5532,869.3642
910.1862,901.6392,920.6092,280.0752,873.1782
914.4442,909.6362,913.8272,282.1282,880.7912
911.9632,919.0292,910.9422,281.7242,888.7762
908.5982,918.8932,912.8232,281.9582,897.1092
912.7842,914.3722,918.7412,282.2452,907.1222
913.2442,904.7342,926.1932,283.5922,912.3132
918.4132,895.9102,925.8602,284.5842,913.3562
919.3552,889.5542,916.9252,286.1152,913.6112
919.4462,884.9102,907.4322,290.0352,916.8342
912.5922,876.1652,905.1712,290.4542,918.9512
913.8252,869.0522,904.3022,289.4112,917.6762
920.4322,867.4372,904.6922,290.4642,907.2752
922.5352,859.4012,908.6062,290.4932,895.1032
920.8232,858.4002,912.5082,291.1652,884.5992
918.3152,855.6622,915.0702,294.3322,875.4942
922.1002,858.2702,907.9622,301.0232,868.3372
917.2422,862.6392,904.7742,304.7152,867.7762
911.2042,863.7082,917.5692,310.5072,863.7222
893.8202,871.1862,927.0352,319.4222,866.5092
879.1572,881.0182,929.8992,327.1162,870.2442
866.9472,892.0842,931.3892,335.0162,871.5252
854.8402,900.2422,932.3962,337.1852,864.8032
840.3952,912.9402,938.5692,339.1692,857.4942
825.3592,920.2092,944.8562,339.3332,856.5162
801.8562,931.4862,947.3432,342.8382,850.7992
785.8022,938.8192,948.3052,345.1612,847.0822
769.7692,942.8342,947.5232,346.7872,841.7882
760.8472,951.7962,953.6792,352.1422,840.3052
749.8002,956.4832,957.1902,356.5392,837.2592
739.2122,953.8182,953.8522,355.2322,837.0082
729.7712,952.1342,953.8272,356.4252,835.7192
724.4102,954.9402,954.9252,353.9802,834.8452
718.1712,951.4922,956.6882,350.6032,831.4242
719.7192,942.1082,962.8322,344.9332,820.8462
712.7882,935.2902,975.3012,340.8972,819.0512
711.6802,923.4922,989.9412,341.4462,820.8942
709.9532,912.4382,1004.6822,341.0112,818.3172
