Crypt 1,Crypt 2,Crypt 3,Crypt 4,Crypt 5
216.6742,154.9252,401.1672,563.1612,198.9192
216.6432,146.1362,402.9822,564.0582,203.9632
218.4022,137.8982,400.9572,571.5222,211.1342
218.1572,133.2372,402.7802,579.6612,216.9742
221.1502,131.4092,406.5602,585.3142,219.9682
222.3652,130.3812,410.9432,593.0752,221.2302
226.3002,130.4712,416.0812,597.8572,222.1802
237.0382,128.4862,421.3792,606.2662,224.9872
245.7582,126.0962,421.2632,612.8022,230.3002
258.6842,122.6632,420.3972,616.1952,235.9842
271.5042,124.6202,418.0442,616.3862,241.4062
287.9252,127.6632,421.1092,601.9292,243.5932
306.7632,131.3212,427.8752,588.1132,243.0782
327.0872,136.8412,440.8642,578.3652,241.4902
349.0742,143.2462,448.2312,567.1232,241.0062
370.1812,149.4522,453.2062,560.2102,241.2012
388.7462,154.9322,454.0552,553.0962,240.9852
405.2002,162.2882,452.1182,551.5232,240.3252
424.9652,170.0022,451.9272,551.7592,239.0552
445.1982,178.3072,451.7392,554.2812,239.1802
466.2852,184.2562,459.8912,562.5662,236.8252
488.6592,188.7172,469.5962,571.2282,234.6282
503.1112,194.9252,479.4242,575.3672,235.8482
520.9482,199.9472,484.9742,582.7522,234.1922
538.7002,207.5662,495.3522,588.0372,232.1712
557.2762,211.6632,503.9392,592.5852,228.0312
570.4932,220.2442,503.3972,598.6192,226.4012
583.8962,230.5662,497.6202,608.2552,225.7732
597.6922,240.0702,496.7822,622.1182,224.5332
602.9522,249.0392,494.6462,635.4042,225.8902
610.8292,259.2692,492.5792,653.3472,230.0322
619.0242,268.8822,498.7742,677.7622,234.3302
625.3552,283.4782,510.7722,701.4442,239.2952
635.7662,301.0652,527.4322,728.2822,246.6342
648.8992,317.5702,541.3752,752.0102,252.8022
659.3082,336.4512,555.8002,771.2292,259.3832
671.8112,353.1052,569.4012,794.2692,266.5122
685.2042,372.7862,586.2682,817.3452,274.9332
704.1092,394.7352,597.8102,843.3332,284.0862
718.1042,417.9152,601.8592,871.5042,295.7932
730.6652,445.5102,611.8402,896.5982,306.4442
744.2092,471.0152,621.2952,921.7832,317.8102
758.7722,503.5352,629.7492,950.0582,332.3442
769.4352,549.2482,633.7972,971.7772,343.7932
778.4792,591.3232,640.6542,995.9102,358.9212
790.8292,626.9022,641.1212,1013.4362,372.0082
802.5162,650.5612,640.3082,1024.7152,385.1282
815.2712,676.1952,641.4972,1040.2732,405.3542
829.3802,701.8252,638.1302,1058.3422,423.3552
845.4202,724.8122,639.5142,1079.2852,437.6552
859.7712,755.9892,640.3032,1097.2622,450.5662
868.0272,787.7722,640.2632,1115.2332,462.2132
873.0562,819.1492,641.9062,1131.3542,474.5802
878.6502,851.8812,641.6892,1152.0122,482.1492
893.2692,879.0802,638.3652,1177.9622,496.5302
904.7632,899.4832,642.1132,1204.3372,512.5692
912.8732,926.6972,651.0802,1238.2382,525.8882
925.0502,954.6142,660.9262,1267.9042,537.1792
931.9352,983.9672,669.3192,1294.4492,548.0532
945.9202,1016.8172,674.0492,1312.0672,556.9852
961.7512,1048.5252,684.5622,1324.6872,568.7532
976.0652,1090.2242,694.5302,1335.8192,577.0962
989.9932,1138.6972,706.1472,1353.9302,591.4332
1002.7052,1187.0872,714.5622,1380.9922,600.5652
1018.4012,1209.7932,729.0582,1396.8752,607.7502
1030.0692,1229.9852,743.7902,1403.9572,617.5442
1053.5162,1249.0472,758.7052,1420.8012,624.5982
1073.7822,1281.9502,785.0252,1445.9442,632.5742
1091.6832,1315.4982,804.1102,1461.8632,641.9772
1109.8782,1344.7522,824.0482,1473.9852,644.1142
1129.0582,1374.6322,844.7162,1487.1052,654.2892
1143.9232,1410.2612,856.7442,1501.3422,652.0252
1157.7902,1445.0222,871.2572,1513.7322,653.5922
1169.2962,1474.0562,889.2062,1517.5602,655.1622
1179.5602,1500.8602,905.3602,1515.8962,648.4802
1195.8292,1519.9532,925.0072,1516.4482,644.5692
1209.0292,1540.4982,943.5542,1523.3842,641.9232
1224.1592,1563.4092,972.3022,1529.1532,638.8532
1239.1152,1589.3532,1003.3822,1539.8342,636.9892
1256.7572,1612.3992,1025.4102,1550.5122,641.4222
1279.3132,1632.4002,1045.6932,1561.5552,642.2012
1304.9222,1656.0512,1069.6272,1574.5082,645.2772
1328.6132,1673.4382,1093.7622,1581.4752,651.5142
1355.3112,1701.1792,1121.9152,1585.6602,654.5062
1380.2232,1724.5672,1149.5932,1594.5582,660.8982
1402.8552,1742.6712,1175.9922,1603.2292,678.3972
1430.7802,1763.4522,1206.4912,1610.2202,712.8452
1460.9592,1778.6122,1235.6472,1620.5002,740.0722
1487.7262,1799.3692,1261.9782,1622.0362,742.1532
1516.3792,1824.6742,1283.7132,1627.9562,729.1552
1541.0482,1842.2472,1306.0232,1640.9472,721.2812
1562.4612,1859.0322,1333.0772,1651.7602,719.9002
1580.5872,1875.9352,1358.6562,1666.5842,727.9532
1606.3712,1894.6812,1383.4782,1693.1772,733.5542
1631.0732,1908.5282,1402.5052,1721.6832,742.7212
1650.7642,1928.1882,1429.2292,1740.1882,748.1892
1675.4052,1940.3942,1448.7662,1745.6292,752.2542
1699.5072,1953.0032,1471.9842,1737.0812,753.6542
1716.2512,1970.1562,1500.2522,1726.9622,759.8142
1735.2282,1980.4342,1525.9812,1725.4692,773.2472
1762.4272,1990.0082,1545.9522,1732.8632,782.7582
1785.3602,1996.7602,1565.0162,1740.0482,801.8342
1807.7862,2007.3962,1592.0832,1750.3102,815.1472
1835.7032,2010.3332,1616.3382,1760.1622,856.1452
1855.0072,2014.4022,1644.9262,1773.0162,923.5392
1878.3202,2025.0082,1669.8942,1781.5082,923.5362
1907.9752,2034.4322,1694.5122,1784.0352,883.0072
1926.0732,2037.3302,1721.2022,1794.4702,876.6332
1948.3402,2041.6412,1743.7422,1803.8402,875.2902
1979.1882,2045.5702,1761.3082,1810.9892,875.6422
2006.7322,2038.8622,1788.8782,1816.2802,879.5902
2029.7692,2042.6802,1811.3212,1829.2312,885.1392
2059.1972,2047.9822,1830.7802,1841.1372,898.4932
2082.6122,2049.9112,1849.5142,1862.8322,914.7062
2102.1102,2052.6712,1876.9882,1876.4652,932.5322
2128.7792,2048.4102,1898.7672,1890.7602,946.5092
2155.8362,2044.5702,1915.9932,1912.3222,961.2452
2183.3132,2043.0722,1930.7962,1930.8552,974.3102
2203.4032,2040.0842,1952.0852,1947.1562,989.4402
2221.5582,2032.3402,1967.2082,1963.6762,1003.0472
2231.3402,2032.2942,1977.9502,1982.0322,1017.1022
2241.3002,2025.5982,1989.0452,2001.8842,1036.2232
2249.0922,2027.8642,2000.2702,2014.0432,1049.8752
2259.5762,2027.4932,2008.2512,2032.6352,1065.4212
2259.8822,2024.4992,2023.1262,2060.4852,1084.5462
2272.8742,2029.9922,2033.5922,2078.4032,1103.2232
2279.5552,2029.3872,2046.2152,2104.6962,1120.2242
2284.3342,2023.5402,2055.6962,2120.0722,1141.7252
2291.7662,2024.6542,2067.5482,2137.4082,1161.2972
2302.4322,2028.0072,2069.1492,2159.4462,1181.5192
2308.7532,2024.0652,2075.7862,2180.9872,1196.0092
2323.6502,2021.3242,2080.8572,2196.4912,1207.3632
2337.1132,2023.6312,2077.4982,2210.9052,1220.8242
2345.8862,2027.2412,2089.1802,2233.6222,1229.3582
2343.0922,2025.3662,2109.2512,2251.7302,1240.8302
2347.8992,2021.4102,2119.5942,2276.1882,1260.5522
2353.2872,2023.4452,2132.1422,2300.2052,1279.6842
2368.0792,2016.1402,2140.0892,2315.0892,1295.3462
2382.2502,2012.2602,2151.1022,2323.7462,1302.7112
2394.9072,2016.1052,2163.6802,2338.5252,1311.9892
2401.2542,2014.9732,2171.0572,2342.5742,1319.8172
2409.7652,2010.9012,2180.3992,2355.5902,1319.3472
2421.7382,2008.9432,2191.0892,2373.7572,1316.5732
2431.2632,2004.2792,2193.9412,2384.7952,1315.0432
2445.7332,2003.3642,2195.0422,2396.0672,1319.0572
2455.1542,2001.7782,2203.2512,2402.0062,1321.5042
2463.6142,2001.8192,2214.6282,2408.6092,1325.2072
2467.2462,1994.9562,2234.4062,2418.0172,1333.5952
2473.2432,1991.2152,2249.3622,2425.6912,1336.0702
2479.1282,1976.1772,2258.9982,2438.3062,1336.7722
2487.2522,1963.9642,2277.1572,2447.8182,1340.6402
2496.6122,1953.4642,2287.3692,2458.9172,1346.1612
2511.2812,1939.2962,2291.6142,2471.9602,1352.5682
2523.2022,1936.3942,2296.8842,2478.9012,1359.2092
2542.7602,1926.8702,2304.3342,2473.8102,1365.4772
2556.0492,1913.8842,2311.1362,2476.6332,1374.5442
2567.9722,1901.0712,2319.6422,2482.4322,1373.4542
2574.9582,1883.5432,2341.8752,2488.0322,1373.8552
2590.9322,1871.0802,2362.9492,2492.8482,1374.4652
2611.5842,1865.8332,2378.5742,2501.7642,1378.0152
2623.8222,1862.8642,2389.4892,2506.4292,1384.7342
2634.7152,1862.9112,2396.1152,2515.0602,1388.7972
2630.2632,1864.1292,2398.2952,2525.1032,1400.1362
2632.8752,1869.8402,2396.6352,2521.8782,1405.0912
2638.4092,1871.5022,2392.9542,2523.2092,1410.2642
2653.1712,1866.5902,2393.5252,2528.9542,1417.8502
2658.9102,1870.1442,2398.0242,2544.4982,1430.1142
2666.5622,1878.7532,2407.3072,2541.8122,1443.5402
2676.4562,1884.1012,2414.2342,2550.8642,1460.2152
2677.3952,1877.0082,2426.7612,2562.3152,1473.1932
2678.0122,1876.1202,2440.2842,2567.2922,1486.4342
2682.8652,1879.4042,2456.6472,2568.0982,1495.0252
2696.3702,1886.7312,2473.1912,2572.4032,1510.1212
2706.1942,1889.3462,2483.2832,2577.1612,1533.6362
2713.6542,1892.4982,2497.0622,2577.6642,1552.8912
2718.9682,1897.6802,2503.2032,2577.3742,1567.9032
