Crypt 1,Crypt 2,Crypt 3,Crypt 4,Crypt 5
175.7696,71.1836,93.2916,68.3656,104.9886
178.9176,73.8826,94.3076,69.1306,103.9706
181.0366,77.3286,96.7296,69.0236,103.6746
183.0326,78.0616,99.2786,68.1356,102.5156
186.5216,80.7666,102.4746,68.4816,102.7786
189.1716,83.2116,105.4476,67.8656,102.8206
190.8186,86.0336,108.5496,68.1436,102.6266
192.7426,89.4636,112.6456,68.3476,101.6406
195.1236,92.5356,118.8436,69.5236,102.7926
200.1556,97.6816,126.7326,70.2426,102.8846
205.0486,100.1056,135.0596,71.0466,103.7036
207.7596,104.3016,143.5436,71.9686,105.2776
210.6146,107.0286,149.4356,73.0776,104.7516
214.1066,110.0356,154.8996,74.7946,104.5356
215.3746,113.9056,160.0086,76.5366,105.7946
218.4926,116.0186,166.3816,79.4866,105.3216
221.8006,118.1376,171.9756,82.1766,104.6586
226.1666,119.9376,179.4846,84.4886,106.8366
231.5606,123.5946,186.2306,86.4736,105.8176
236.1686,125.5216,191.6716,91.5336,106.0476
239.8216,127.2976,198.9756,93.4236,105.5326
242.7746,129.6226,205.8366,97.7836,105.2206
245.7486,132.6446,209.6926,100.9256,105.1186
249.6726,134.5856,217.1376,106.0356,104.7826
254.0906,136.8236,223.7166,111.3906,104.6756
261.2456,136.0366,231.3176,115.9926,104.9796
266.2136,135.2586,239.3156,119.6026,106.0876
271.9246,137.4306,245.5026,125.4886,106.0116
278.8056,138.4306,251.6046,130.4946,107.7346
285.4896,139.9516,260.5986,139.9596,109.1096
289.2676,139.1896,266.9806,150.1966,111.2186
294.2876,139.2696,271.7076,162.7046,111.6176
300.4376,138.8716,278.6146,172.7296,113.9906
305.7416,139.7666,284.7246,182.8856,114.8216
311.2416,138.3126,289.2736,191.1466,113.7506
315.5906,137.9656,293.4506,197.5186,114.3476
319.9126,138.9866,296.3366,202.8326,115.1756
324.4086,139.6416,302.3216,209.8946,116.7726
327.7676,138.3326,306.5686,219.7646,119.1246
329.4366,139.1316,313.2066,231.1766,121.8796
