Crypt 1,Crypt 2,Crypt 3,Crypt 4,Crypt 5
175.189,81.252,699.008,1443.237,234.632
170.77,75.559,724.737,1462.661,240.867
170.854,71.836,738.615,1480.919,248.67
170.51,67.721,750.895,1497.279,254.115
166.378,64.92,762.285,1517.735,258.19
160.45,63.855,783.756,1529.096,260.979
153.587,62.819,817.413,1531.992,264.227
150.562,61.11,855.434,1535.129,266.458
147.342,58.863,895.623,1545.545,275.477
145.905,56.656,938.035,1573.949,284.899
144.456,57.41,972.52,1606.194,291.302
143.647,55.792,996.345,1625.713,299.663
140.49,54.469,1024.906,1614.629,308.425
138.693,55.54,1051.547,1599.71,314.56
138.028,54.405,1071.375,1584.873,318.176
139.005,53.343,1079.865,1572.17,315.208
139.782,54.265,1090.519,1554.817,318.294
139.247,56.429,1094.166,1541.437,324.99
136.3,57.896,1096.898,1522.121,333.656
134.579,60.148,1109.51,1512.344,341.434
134.499,60.037,1120.865,1501.694,348.578
134.015,61.758,1131.149,1484.365,357.807
135.5,64.097,1142.962,1464.551,369.186
140.958,68.532,1155.236,1439.59,375.923
147.015,72.036,1164.742,1426.328,380.759
153.965,77.008,1164.599,1406.18,391.814
161.317,82.492,1161.353,1386.59,405.519
169.256,90.956,1152.758,1372.498,416.031
176.598,98.806,1150.115,1362.954,432.385
185.745,107.455,1150.05,1358.063,451.299
199.402,115.65,1155.612,1365.726,467.145
214.312,123.53,1146.871,1385.234,485.461
231.144,134.448,1135.835,1408.786,501.659
249.449,145.353,1113.653,1429.838,523.592
269.015,161.003,1095.794,1454.015,549.318
287.42,183.614,1081.008,1472.1,570.154
307.885,208.228,1083.551,1502.466,594.046
327.781,231.952,1084.227,1560.996,618.362
347.95,253.657,1090.994,1636.058,645.138
368.102,273.38,1093.992,1709.869,669.65
389.364,292.385,1095.513,1775.099,693.073
417.606,308.873,1094.627,1812.269,717.421
441.093,329.104,1092.457,1829.148,740.349
464.258,343.055,1087.216,1821.756,766.08
492.478,362.231,1080.905,1803.029,793.49
520.189,383.535,1070.271,1784.233,820.083
547.021,409.386,1053.518,1793.405,844.027
565.329,436.082,1036.455,1808.052,867.95
586.51,460.477,1020.954,1831.249,895.119
608.873,482.619,1005.622,1863.086,927.254
634.529,509.967,985.691,1886.175,957.825
660.88,538.782,961.036,1901.035,988.75
687.423,574.294,950.339,1926.117,1017.415
714.836,602.266,936.064,1950.224,1051.379
744.931,617.344,933.243,1987.321,1084.699
771.684,626.63,923.823,2010.305,1120.668
806.173,642.424,919.069,2015.268,1155.697
839.064,658.748,921.027,2027.844,1190.961
867.257,675.79,919.42,2018.354,1227.498
894.695,686.434,921.379,2004.111,1259.038
915.031,704.829,926.275,1988.752,1290.908
926.335,722.384,932.944,1993.723,1321.529
939.973,736.378,944.81,2006.997,1347.228
952.701,745.62,946.998,2015.614,1372.782
972.672,757.023,944.486,2027.609,1398.946
1000.211,776.29,950.437,2054.471,1419.151
1016.964,790.365,958.878,2091.995,1438.225
1026.284,801.212,965.304,2130.34,1460.314
1039.149,818.796,975.983,2152.867,1480.786
1054.194,843.495,993.4,2168.832,1494.889
