Crypt 1,Crypt 2,Crypt 3,Crypt 4,Crypt 5
172.1052,181.7192,206.6142,205.4932,303.7162
180.1442,182.6112,193.8392,197.8432,295.8042
187.8492,174.4722,183.3792,184.9212,283.6712
194.3182,160.0562,176.2912,176.4632,269.4852
200.7442,142.6512,166.1382,175.1112,253.4262
203.9982,132.0292,163.9772,180.1922,234.3102
208.0972,128.0882,166.8042,182.3752,219.4842
210.3262,126.9802,169.7262,187.6972,209.3412
209.5042,123.1262,170.4022,203.1102,198.8472
217.7502,120.4612,173.6492,228.5322,188.2852
231.5132,123.2382,179.4602,257.4372,178.1912
244.9342,130.1402,179.9412,278.3442,167.3572
254.0602,141.8432,174.5692,292.6082,156.7372
271.1462,154.8822,175.9652,301.4102,144.3162
285.3822,169.7402,183.0472,301.7802,132.6332
297.6402,182.9482,186.9722,301.1302,130.3532
302.6412,186.0032,187.4852,309.0912,131.6442
311.7962,191.0872,186.5392,310.0832,139.8742
314.0512,199.4362,197.7902,301.4512,154.5192
322.4692,214.1462,212.1652,295.8682,178.6212
326.6392,223.1502,226.3992,291.9702,203.5402
324.8042,235.4712,249.6382,294.0112,214.8032
332.7682,238.4322,274.8002,298.9872,218.0932
344.8662,238.5322,300.0762,298.1562,225.8122
353.9682,238.3542,333.6842,291.7172,239.3212
352.6342,236.0212,364.9482,297.9322,251.8872
345.4522,245.1772,391.3832,322.7512,272.2032
333.7102,266.7602,427.2242,341.3172,295.7042
338.1172,296.9722,473.7902,336.5752,310.1292
354.7112,310.3662,514.5672,307.8642,319.7022
368.4292,315.4892,545.2552,289.2542,333.3752
380.6872,322.9382,571.8852,298.3312,353.7842
391.3332,337.3062,602.8122,318.1002,379.4612
400.9422,351.7572,620.5982,333.8772,400.9152
403.1092,363.5952,632.5152,350.9032,409.5532
407.7212,380.9632,640.8332,364.7292,418.7202
415.6892,399.6112,650.6532,381.4502,429.9682
420.4792,423.0572,658.8272,395.1062,433.2412
414.3632,446.1952,674.5932,406.4392,426.7402
418.5052,476.5282,692.5942,414.0022,424.9332
429.9282,507.3572,698.2462,417.3882,423.9332
438.8652,540.7502,691.7282,428.4502,412.8382
440.6342,579.4932,696.3972,443.9332,402.5232
437.5602,624.0522,701.8622,469.2032,397.7862
438.4062,659.1362,693.3222,488.8452,400.4882
437.6832,665.6552,686.7292,499.8982,396.1152
433.0822,672.1052,685.8392,505.8322,400.2432
440.2082,692.6922,685.8712,516.7422,411.6772
447.7762,715.3152,682.6182,529.0062,413.5882
453.6092,731.5412,677.4842,548.6322,414.1622
458.5432,758.0742,676.3902,579.3772,422.0842
469.1692,789.8242,670.4002,609.5322,426.7492
477.7092,808.3182,662.8942,638.2002,432.2382
482.3262,817.5272,662.3692,661.7432,442.1522
491.9822,830.1922,657.1492,671.3472,454.4582
511.0272,852.4732,664.3752,670.2312,466.1552
530.1632,879.8562,683.9952,663.6582,488.3122
543.5082,896.8802,704.6382,666.9492,509.1742
560.1582,916.9082,724.3332,678.2672,527.2942
578.3042,925.3282,730.6302,700.1662,540.4812
591.4312,937.6992,734.6792,713.2032,555.9352
606.6632,956.1872,743.3002,719.9882,574.4182
620.9982,970.5142,733.9822,715.0932,588.6262
627.0572,995.8342,731.2992,707.6042,608.0272
624.0682,1024.4852,731.2802,701.1852,627.3812
618.6932,1052.7232,734.0142,695.3682,651.0902
610.6422,1070.7902,726.2142,702.7542,668.8182
609.1392,1074.0942,724.0072,722.9382,678.8262
615.5602,1076.7682,730.7292,751.6642,685.3142
634.1702,1087.9352,744.6002,780.5562,683.5642
644.7562,1090.0702,757.6352,798.2872,695.3912
660.8072,1095.4052,766.8782,820.6092,706.2762
668.2812,1110.6912,777.1662,848.9472,714.9342
669.0032,1127.1742,779.2742,880.7502,711.9832
671.8672,1122.6792,793.4632,908.9232,703.2052
683.5762,1116.1382,810.2092,925.6922,701.7022
692.1992,1088.8732,833.6182,944.3912,711.2842
695.8232,1072.2212,843.6172,969.5872,717.0332
698.8712,1070.5942,847.7102,980.3302,718.6982
694.8012,1072.9262,857.5372,981.3742,716.3602
688.3792,1075.1952,849.3522,980.2692,724.7172
691.0422,1071.7272,855.6432,983.1552,732.7082
700.8002,1058.8602,876.4812,1006.9212,741.8622
707.7002,1042.4342,894.0422,1046.2452,750.1352
715.8792,1035.4512,925.7462,1070.7812,764.9902
727.3902,1035.6382,955.6302,1088.4052,793.1972
734.6402,1056.3472,982.7982,1106.5252,832.4472
734.9842,1075.7032,1012.6692,1126.3022,867.5002
732.7372,1102.2122,1039.1342,1136.5822,899.7592
733.8162,1124.3312,1065.6202,1151.2602,934.1692
735.8112,1144.3202,1090.7332,1173.1632,962.2142
744.8362,1140.6172,1116.6242,1199.7342,991.8962
760.2392,1131.1512,1137.4452,1223.1242,1029.6832
767.7652,1135.6772,1166.1522,1254.3732,1061.6822
766.0592,1146.2232,1181.4932,1285.7552,1084.2032
758.5702,1165.0342,1190.7382,1315.9832,1102.1492
758.7742,1184.5452,1203.9432,1338.2852,1123.5622
765.0062,1197.3032,1219.0212,1363.9352,1153.5522
769.1052,1209.3962,1236.5382,1388.8322,1186.4542
774.5762,1237.8882,1256.2262,1411.5902,1221.7822
780.2832,1251.0952,1283.7182,1429.9012,1266.6762
779.6572,1261.5082,1309.3082,1459.0722,1305.0222
767.7202,1254.8722,1340.4462,1483.3642,1349.9772
753.7022,1246.8432,1372.3602,1488.1462,1401.1202
745.4612,1247.7942,1389.1132,1494.9172,1456.0662
736.7612,1266.1512,1398.3162,1495.0382,1507.9222
721.3012,1275.1922,1415.8352,1502.8512,1546.3172
710.3962,1278.4502,1435.4592,1511.0342,1572.9732
709.4662,1290.3032,1461.1332,1516.0292,1606.4052
703.1032,1303.0862,1490.2512,1530.0572,1632.9462
694.6132,1313.0492,1507.2932,1549.4812,1664.4122
689.6162,1310.7732,1514.1622,1562.8992,1697.3102
695.5042,1314.0582,1530.8312,1572.2402,1740.1552
712.2952,1307.8022,1549.4332,1574.0362,1781.4512
715.4622,1306.6252,1566.1462,1582.6042,1825.7602
712.2082,1307.4262,1586.9792,1599.1772,1857.7292
711.0012,1305.1792,1604.3912,1614.7472,1883.1402
709.7142,1310.7282,1624.7902,1619.5992,1903.3322
720.5592,1325.3212,1649.8672,1642.1212,1920.0842
733.4172,1331.2472,1667.4572,1660.0652,1927.1082
733.5862,1348.1962,1676.9902,1674.6152,1942.1112
728.8782,1377.3052,1678.6832,1678.4252,1977.0912
726.5982,1401.4792,1682.0112,1692.5972,2024.7722
723.9652,1421.9992,1675.5742,1699.2732,2069.4092
713.6272,1431.1772,1664.1822,1706.6412,2101.4222
705.0092,1440.1042,1657.7712,1715.1032,2131.3242
697.3072,1451.9852,1660.2032,1731.3302,2153.9532
697.3082,1463.7672,1669.1862,1748.0792,2156.0372
695.5402,1463.3442,1687.1572,1767.8642,2155.8312
682.2212,1475.2162,1713.1432,1778.4882,2156.2232
673.2812,1488.0642,1741.3422,1800.4732,2151.2412
