Crypt 1,Crypt 2,Crypt 3,Crypt 4,Crypt 5
33.5074,46.1964,84.7974,N/A,34.4444
40.1854,56.2374,97.3504,N/A,40.2434
48.5434,69.5984,112.0504,N/A,47.4514
57.8424,87.6314,125.6144,N/A,54.6324
65.9884,109.1864,143.6764,N/A,65.0604
75.0294,130.6684,167.4764,0.4254,81.0834
86.0404,153.1664,185.5674,10.9444,97.4594
97.1874,170.2084,199.3364,19.4324,114.8514
108.9694,183.3244,204.8804,27.1344,140.6554
116.6264,193.8934,209.9564,33.3044,169.1474
125.4384,199.8794,219.3024,42.0664,201.1594
132.5324,207.3694,229.2794,51.8014,222.8014
139.2814,214.7874,236.1934,61.7554,246.0654
146.1724,224.6014,245.5354,73.1374,267.8054
153.3534,231.3394,248.5884,84.5694,292.9884
165.7504,235.3614,248.6714,96.4334,322.7054
173.3634,242.5934,248.7194,105.8144,349.9004
178.8504,247.7494,247.4904,115.7974,373.5854
186.3804,255.7604,244.6344,130.1804,396.7404
194.1844,261.0994,246.6944,143.3324,416.5904
202.0364,263.5584,250.6754,154.8284,435.6904
210.9214,264.9924,255.3114,167.8624,454.2764
219.5164,262.6724,255.1464,180.2524,469.7964
228.7774,257.5534,255.1154,188.4774,487.1834
236.3984,250.5564,257.1834,199.6824,503.1884
245.5754,242.4724,256.5794,209.4564,525.2954
256.4614,236.4254,259.6864,220.3654,544.9804
263.9714,232.9344,262.0124,231.3004,561.1864
271.7284,227.6834,263.5094,243.0404,576.0794
278.0114,225.6384,266.2934,260.8064,587.8924
287.7324,225.1864,262.5944,289.2894,601.1394
297.6584,223.3734,260.2484,318.2534,610.4594
308.6874,225.7534,257.5204,345.3324,622.5034
316.6634,228.2614,254.2164,369.6194,637.9254
325.5814,232.5674,252.8554,393.4764,650.7714
336.2514,235.7534,251.8764,423.1154,666.4464
343.0424,238.7434,259.6084,450.2574,681.4484
351.2084,242.9824,270.0194,472.8194,691.2514
358.4124,248.3204,272.7894,497.3174,703.4774
366.8424,255.1884,271.5344,526.8054,720.8894
373.2064,259.8334,272.5084,559.8574,733.4374
382.5324,265.9564,278.2344,593.6244,746.6374
391.6844,274.9284,284.8004,629.6224,757.9264
402.3734,282.9154,287.9024,666.2684,769.1384
408.9034,289.7574,288.9734,702.6884,780.3164
419.2924,298.0064,290.2054,742.9224,792.1704
430.4724,308.5634,295.1864,784.3174,805.7654
440.7824,317.9204,300.0374,831.6374,824.6284
452.3214,326.0184,306.1074,869.3514,840.9874
460.4204,331.7344,310.8464,917.7464,860.4844
470.1614,339.4504,314.9404,958.6274,882.6884
477.4024,345.9454,322.4154,995.6774,906.3554
492.4094,351.9464,321.9974,1026.1454,924.8394
507.1534,357.7414,328.1464,1057.7184,938.0744
533.5574,364.0714,334.7774,1081.6724,957.9834
557.1184,374.0204,335.4754,1097.3704,974.5614
584.6544,383.7564,340.4874,1112.1114,990.0734
615.8104,392.3384,343.9444,1127.3834,1004.4864
635.8844,405.0544,349.6674,1145.6664,1026.4724
650.5744,410.2944,361.8784,1174.6214,1046.2684
668.1784,416.3854,371.8104,1210.9084,1066.0024
675.9754,424.3344,378.3984,1238.2854,1090.8484
687.0804,435.4984,383.5564,1270.3734,1115.9494
688.2964,448.5704,387.1824,1304.2284,1143.0864
692.3864,463.5044,391.4404,1336.5234,1158.1474
695.7954,475.1334,400.0914,1375.8264,1174.6834
703.5224,485.3684,411.2824,1413.2864,1192.8694
701.4334,494.9144,426.9474,1440.9964,1213.5614
709.4844,503.8834,445.8144,1463.5914,1227.6204
714.1434,510.8114,464.7144,1482.0104,1249.1644
720.2844,519.8384,487.7844,1500.7964,1265.0294
