Crypt 1,Crypt 2,Crypt 3,Crypt 4,Crypt 5
1203.0656,777.8666,543.4796,258.2536,359.1896
1222.0426,751.9066,527.2026,252.2696,357.7786
1236.6716,734.4156,521.0096,249.1606,356.5116
1250.8156,713.1476,516.6756,242.2056,363.1796
1255.2326,692.4406,516.8316,235.2256,373.8176
1247.4206,676.1266,522.7006,228.5866,381.2746
1236.9496,658.7006,537.4066,221.7516,385.9656
1240.7156,636.4396,560.0006,213.2416,394.2436
1235.2686,617.5326,580.4516,206.7886,404.0026
1237.0926,600.7126,604.9876,205.2326,409.7756
1235.2496,581.6616,623.4026,204.4856,417.0996
1232.2376,562.4666,630.0686,203.6606,431.8636
1230.5126,546.5676,628.5116,209.6536,450.8986
1222.5196,530.3166,621.2046,216.3416,466.5896
1214.9416,516.6986,614.1306,226.2786,484.2586
1202.3106,507.2176,613.7116,236.8596,505.7896
1187.6626,500.3766,611.1946,247.7746,529.7776
1178.1186,485.0046,604.4516,257.7946,550.9706
1167.0986,477.0836,589.0956,268.1486,567.6666
1142.6456,473.5376,569.9756,280.5766,592.1756
1119.3736,467.8356,559.9286,292.6696,616.2006
1093.3536,468.8176,559.0416,305.1506,639.4766
1067.5876,468.7096,563.3816,318.8106,661.5366
1039.2056,475.7506,566.7716,331.4256,681.8556
1014.0636,482.0676,570.6486,349.2596,710.8816
994.7976,491.9786,584.1566,368.3496,740.3916
974.3196,506.1196,594.2916,385.1086,767.6686
957.2256,521.2836,601.3286,404.3876,793.7606
935.6216,534.0906,606.2736,421.5346,831.8286
920.7436,545.9976,613.7236,435.2656,864.2216
903.0296,560.6096,617.9296,454.9736,899.3236
881.5196,575.0856,622.4576,473.7016,932.4926
865.1196,587.8166,629.3426,492.8516,954.1426
841.4286,600.6926,632.6936,514.1666,973.0596
819.4336,612.6436,636.8066,529.4026,985.2356
808.4716,628.5216,646.0666,547.3326,995.2896
804.1446,638.6216,658.9256,557.6086,1007.7666
805.7206,646.2226,670.5656,569.2386,1016.3006
804.9706,659.1166,678.4226,588.9156,1022.2346
807.2826,676.1326,683.3626,603.7156,1033.3786
809.0406,693.3906,695.4476,628.0436,1039.2486
809.5966,706.7876,707.3156,648.8516,1038.8206
808.5416,720.3786,714.0346,668.4746,1039.8986
810.8236,733.6936,719.5586,689.1836,1033.6186
823.7556,743.1176,733.3906,705.3376,1030.7486
835.3366,751.2286,754.6686,724.6046,1024.9106
847.7646,755.7916,777.1156,741.3656,1010.2726
855.3586,758.4936,799.5026,758.6206,995.8356
861.4206,760.5736,819.9026,772.0336,981.9796
868.4386,762.1806,837.1376,780.4726,971.2156
879.3936,767.6486,856.7056,784.6626,958.7766
901.9786,760.4426,872.3006,786.6076,949.8476
926.4376,760.6066,888.5156,781.0016,936.0906
952.1976,760.1746,900.8876,776.0776,920.1006
971.9236,752.2356,911.9156,778.4466,905.9546
985.3366,742.1746,920.0836,784.3706,893.5836
1000.1906,728.8346,934.7226,786.4166,891.3906
1019.1596,716.4036,943.2586,788.1326,889.0046
1037.6696,708.8946,951.8816,791.7006,880.4626
1059.7106,706.4716,954.7816,797.1976,869.6816
1077.9286,705.6986,955.3556,804.8026,859.0106
1089.2456,702.8946,956.2846,810.4216,842.0076
1094.7106,699.7246,960.5136,820.3976,834.7056
1101.9996,696.1416,963.2476,830.5256,831.1306
1106.2486,693.1546,974.1646,839.8816,826.0416
1112.3346,689.5906,989.8536,853.5066,825.3636
1115.6856,688.3466,1000.6536,865.1086,820.7736
1123.4916,692.2106,1001.3726,878.1766,816.5276
1132.6876,696.9776,1001.5196,895.1506,810.6676
1148.4766,697.7256,999.0776,911.4076,808.0436
1162.4966,700.6746,998.0376,928.1186,802.1866
1173.4286,704.2566,992.5236,941.7436,799.7216
1178.6246,711.7616,995.2256,951.9576,794.9526
1178.8006,709.8256,999.8506,966.5216,799.5066
1182.7656,709.0716,1004.3786,985.0846,807.3186
1177.9656,710.1346,1011.5676,1001.1376,810.6446
1181.4056,712.0076,1018.0136,1013.5296,812.0526
1179.6966,715.9436,1027.1936,1022.1316,816.6946
1181.9756,723.0886,1037.1336,1038.0786,825.7886
1180.5946,735.8926,1048.7146,1055.4216,835.5736
1176.9966,750.8786,1061.4776,1065.7366,848.3016
1168.6746,761.8066,1077.1336,1080.8506,864.9156
1165.3016,774.4406,1102.7846,1092.0336,881.4646
1158.5106,783.3056,1128.9096,1106.1506,894.9516
1151.1686,794.7586,1148.7536,1120.6736,901.9796
1151.9056,804.4936,1174.4806,1136.7216,914.6636
1157.8266,818.0766,1203.9446,1151.3916,921.6196
1154.3176,834.6266,1232.0026,1161.5056,936.5406
1150.5916,849.2636,1258.7556,1172.1016,950.6196
1147.5356,860.1006,1289.8726,1181.9396,964.2406
1146.0416,873.9356,1318.2096,1194.0786,975.3586
1147.6956,876.8946,1350.4586,1206.6476,989.4406
1148.6346,886.9636,1384.1076,1214.6796,1000.5596
1148.1686,898.4106,1415.1466,1225.5946,1010.0366
1155.6906,916.2296,1442.8156,1235.7936,1011.4346
1159.6116,928.5176,1475.8716,1242.6956,1014.2996
1161.2786,942.6766,1499.9336,1249.1486,1009.9896
1163.7226,960.7486,1519.6966,1259.5666,1011.0866
1156.6796,979.0336,1539.7966,1270.9766,1017.2956
1152.3186,990.9536,1560.5036,1285.1166,1026.5316
1151.7976,1008.4006,1578.0316,1300.7626,1033.8436
1145.7256,1025.0006,1597.7786,1315.2876,1040.9136
1139.7276,1035.0926,1609.6116,1324.9346,1047.1326
1134.1346,1048.0096,1621.6366,1340.8716,1053.7976
1127.5586,1061.9936,1631.0906,1350.3586,1057.2946
1126.6636,1077.0006,1639.6996,1364.9116,1065.2096
1122.0736,1095.0676,1650.2786,1374.2916,1071.5496
1109.6796,1104.0436,1656.1796,1387.0186,1082.5486
1102.1656,1116.9696,1665.1946,1397.0436,1084.2656
1090.5266,1133.4456,1668.9406,1411.4516,1084.1786
1080.6566,1142.9096,1675.6476,1421.7276,1087.1396
1074.1736,1153.3076,1678.5276,1431.5406,1092.6746
1066.8066,1158.9696,1684.6546,1437.9226,1102.5786
1055.5816,1163.8506,1691.4936,1445.9596,1113.0216
1048.2186,1172.8236,1692.5086,1452.8706,1117.3396
1036.8256,1180.8716,1700.3456,1460.2466,1121.1596
1028.5306,1188.6016,1697.4906,1467.2196,1121.1596
1018.3396,1196.2046,1697.2306,1476.7346,1120.5186
1012.0676,1206.0216,1697.4096,1479.4346,1116.8096
1006.2786,1223.3506,1697.5566,1479.9286,1114.8486
996.5356,1230.7576,1693.8556,1486.1136,1111.8646
987.3816,1232.7946,1691.3636,1486.9626,1101.9056
984.9406,1240.8476,1686.1576,1497.6306,1092.9156
987.5406,1243.1416,1688.5816,1502.5156,1085.6916
992.9776,1250.4116,1686.2986,1505.2276,1074.1086
996.5736,1251.8246,1681.7236,1508.5976,1066.8226
996.7436,1258.8936,1681.9426,1509.1966,1055.2336
997.3476,1257.6146,1678.5346,1505.7216,1042.9206
993.7816,1259.4086,1674.6786,1506.7076,1028.3896
992.9666,1265.3196,1666.8296,1499.2526,1007.2966
993.5056,1266.0926,1661.0626,1486.1996,997.8716
993.6856,1271.8466,1655.1576,1484.4876,991.5476
986.9516,1282.4116,1648.4156,1480.1376,980.8716
982.7056,1284.9506,1639.7046,1471.2376,966.5966
985.6366,1285.8356,1630.7276,1467.0646,952.2396
993.5776,1287.1706,1626.3266,1460.7796,942.9706
1003.1546,1289.5506,1627.7626,1457.6936,933.5426
1004.6946,1294.1266,1625.2016,1449.5476,923.0126
1008.2276,1290.7246,1620.2316,1435.8746,921.6786
1011.4646,1286.5026,1618.6656,1428.5816,914.3786
1019.7306,1286.3076,1619.3986,1427.5106,915.2296
1025.9466,1285.2726,1616.7266,1429.1216,914.1006
1025.4246,1281.2536,1610.8526,1433.9956,910.8916
1029.9546,1284.6806,1611.2006,1437.6216,906.9216
1035.7776,1282.8446,1614.5776,1452.5806,906.5866
1033.0746,1279.5826,1618.3246,1468.8186,904.1336
1039.3916,1281.2556,1623.1516,1472.8056,902.0816
1041.4956,1284.4976,1631.3986,1479.6006,901.3916
1046.9906,1286.8126,1643.5556,1494.4086,901.2636
1048.3726,1289.5566,1654.6436,1507.3566,900.4196
1055.5666,1293.7766,1668.1736,1517.2116,901.4156
1062.9956,1300.4516,1682.5636,1528.6116,902.7766
1066.2346,1310.8006,1701.4366,1535.3706,906.1486
1068.0056,1321.7496,1712.2866,1540.2436,911.6496
1057.8646,1335.4886,1726.4796,1548.5966,918.2816
1049.6446,1346.9936,1738.3856,1557.6706,920.0506
1051.2486,1350.2886,1748.6216,1559.8746,927.4016
1059.0996,1361.6946,1761.8636,1577.2486,935.3846
1074.0326,1363.1316,1776.3116,1593.0116,940.9206
1095.9156,1366.6636,1786.5746,1603.3746,939.6056
1105.7446,1371.8346,1792.9846,1613.1786,934.5536
1124.3486,1380.2246,1802.3826,1623.1166,929.7096
1138.0676,1388.4406,1811.2796,1624.1886,921.2876
1158.8286,1390.7426,1810.9966,1622.2096,916.7706
1174.1286,1394.9836,1811.7156,1622.3866,913.8456
1180.7236,1397.2976,1817.0936,1623.7896,910.9876
1192.7046,1400.1886,1819.6496,1620.7476,907.1746
1208.8756,1407.6346,1824.6446,1611.2606,905.8316
1237.0416,1399.3076,1828.1586,1612.0526,909.3106
1264.4016,1403.3416,1834.0616,1612.7266,913.2346
1293.3846,1403.1086,1833.7296,1608.9926,922.3506
1316.4096,1400.0866,1831.7946,1608.8136,922.9786
1338.4876,1399.7416,1831.7606,1601.0786,927.8316
1365.7276,1402.3826,1829.1186,1596.8126,932.0526
1391.3476,1396.5516,1826.8116,1590.1766,930.5556
1416.3066,1382.9906,1819.7086,1577.9366,934.4346
1430.4016,1387.6346,1812.6856,1559.2326,938.0856
1443.7286,1377.4526,1808.6376,1544.3456,941.5796
1454.6556,1367.5086,1805.0876,1534.0696,945.8096
1465.1976,1362.8276,1797.9426,1510.0576,951.9216
1470.2816,1360.8566,1791.4286,1493.5386,950.7566
1476.9196,1358.1656,1788.7586,1479.0026,955.2096
1485.6806,1357.7246,1783.7516,1470.3206,956.9716
1496.0906,1356.6226,1780.3356,1461.1216,953.6846
1504.3136,1364.8396,1775.7826,1458.7026,957.5166
1515.1096,1367.1236,1772.8296,1448.9576,961.0676
1530.3126,1362.1006,1777.0736,1441.5916,955.2176
1544.7526,1362.1236,1774.2536,1434.2646,948.3466
1569.0156,1354.5546,1776.8126,1429.7536,940.6126
1591.8926,1348.7296,1773.8706,1421.1316,934.3746
1615.0106,1337.2916,1770.0386,1417.2676,928.0376
1643.9156,1329.2536,1768.1386,1409.5716,916.0636
1658.4056,1315.8556,1766.3056,1400.4506,908.6946
1670.6316,1309.3696,1772.0456,1385.3316,903.6536
1680.7956,1293.7976,1771.0556,1372.7086,900.0546
1701.0826,1283.1156,1771.4606,1361.2356,905.6766
1713.9686,1274.5866,1770.8916,1349.8926,911.1046
1720.0806,1258.0696,1773.7756,1343.9856,912.6046
1721.8806,1247.6886,1780.4776,1332.7806,916.5026
1731.7836,1234.8896,1778.9526,1324.6926,922.6956
1742.3616,1222.2906,1776.4026,1311.4886,925.9736
1749.4136,1211.5676,1780.8656,1303.8236,938.1866
1751.5396,1200.8756,1781.1186,1294.3876,949.1096
1758.0946,1193.2356,1785.8046,1286.6196,964.7926
1754.3126,1180.2716,1783.4806,1286.4236,981.3996
1749.9396,1169.3256,1779.2416,1282.6986,997.6146
1746.8726,1160.6426,1781.7846,1284.9376,1012.7776
1738.0086,1148.0856,1783.6726,1281.0136,1026.8246
1729.4806,1138.0296,1786.7706,1279.5966,1040.1516
1729.1336,1128.3666,1789.5196,1277.4196,1049.3926
1729.2356,1126.7476,1793.1746,1272.1516,1060.8096
1726.7156,1129.0706,1796.2336,1269.4196,1069.8606
1725.2206,1127.7236,1794.8366,1266.8946,1076.3706
1724.0066,1124.1316,1797.2206,1261.9546,1081.4536
1725.8276,1122.4116,1805.6136,1258.9636,1086.3106
1725.1236,1120.0646,1814.1166,1258.8356,1093.0246
1722.3646,1117.8166,1806.5006,1257.3886,1101.7566
1727.4756,1120.6996,1798.0836,1255.0436,1113.4436
1722.9256,1116.8206,1797.3866,1255.1106,1123.4906
1715.5856,1117.1066,1797.0596,1252.2656,1129.3106
1718.0936,1122.8866,1794.6646,1261.1166,1135.9386
1724.2566,1125.2606,1781.8836,1263.1986,1140.6256
1731.0646,1121.2336,1770.2636,1261.3266,1143.9776
1736.5166,1120.4366,1761.7226,1266.2006,1146.8496
1744.8526,1119.7066,1756.4176,1269.0356,1148.9326
1744.9016,1120.4756,1742.1516,1275.6886,1146.7316
1740.9266,1123.9566,1729.2926,1279.5866,1152.1306
1746.1596,1133.7636,1718.2626,1280.6326,1152.7196
1750.8926,1141.1936,1705.9706,1284.8336,1154.5626
1761.5426,1151.4836,1697.6726,1289.6016,1154.5946
1769.1406,1158.9826,1685.7976,1285.7146,1153.4076
1774.0116,1164.4246,1673.2386,1276.6346,1158.3336
1780.0136,1172.8236,1664.1666,1274.5176,1159.3756
1781.5436,1178.9866,1648.8366,1270.1116,1156.5716
1787.2926,1186.4246,1634.7996,1269.0836,1152.4656
1781.4066,1190.4556,1623.2096,1260.2506,1152.1296
1772.9576,1198.9996,1610.4646,1260.6616,1152.6276
1765.0766,1201.3296,1602.3376,1260.3876,1150.8916
1754.5826,1208.7866,1593.8176,1266.8796,1159.3016
1747.5246,1212.0986,1581.8946,1269.6536,1162.8996
1733.1376,1216.3826,1568.2336,1269.9256,1166.3086
1715.2566,1215.2596,1565.3376,1271.3446,1171.6426
1687.8016,1220.7456,1553.7306,1265.8856,1175.8556
1662.5116,1223.6956,1546.1496,1259.5076,1176.2896
1636.1726,1232.1496,1533.3796,1260.9726,1181.5926
1606.9636,1238.3156,1517.8856,1259.9426,1189.7726
1582.4546,1242.8596,1506.1426,1254.4716,1194.8366
1553.2046,1251.6256,1489.1926,1245.5136,1192.6596
1525.5236,1261.9336,1472.8766,1240.7196,1194.1756
1496.3336,1266.2276,1450.0856,1246.2776,1199.2306
1478.5126,1269.3776,1437.4896,1245.4876,1198.8266
1459.6486,1274.4326,1422.1846,1248.4186,1203.5276
1435.9386,1279.0436,1401.9976,1241.9246,1201.7586
1414.0436,1282.1016,1386.0026,1235.8556,1199.8966
1397.5526,1290.1976,1372.6886,1231.2396,1194.6236
1387.7496,1295.2996,1361.2036,1227.1296,1184.1236
1374.9286,1304.8266,1343.6816,1223.1646,1176.7646
1366.4766,1311.7936,1331.0306,1216.6266,1166.6486
1355.7556,1309.9506,1315.4086,1215.6856,1165.7056
1343.9636,1316.8036,1301.3626,1217.7116,1162.3566
1327.7986,1319.9676,1292.1916,1212.1716,1158.5926
1313.4636,1320.5596,1273.6346,1212.7966,1143.2916
1294.0316,1321.0146,1260.1696,1203.4316,1131.2246
1272.0906,1325.1236,1246.0566,1197.7676,1125.1336
1253.7106,1322.9536,1226.7976,1185.3006,1118.4846
