Crypt 1,Crypt 2,Crypt 3,Crypt 4,Crypt 5
55.6158,24.1098,267.5328,29.0498,132.5998
60.8748,25.5668,284.2838,55.6658,136.8468
68.8158,30.3518,297.6958,78.4298,138.9948
74.1618,38.2238,307.4568,92.2078,144.6508
80.3338,49.4458,319.4638,107.0848,151.3798
84.4298,64.9768,328.9688,116.0498,157.5108
93.1688,77.7888,338.0058,128.7368,162.3888
102.7988,84.8838,345.4108,137.3738,171.2158
108.7778,88.7488,353.5058,139.1288,181.1948
105.6548,95.8088,357.3238,140.6508,189.0278
103.7158,109.9878,364.4298,144.4048,196.5378
103.6198,127.8578,369.8058,156.4248,205.7778
106.7468,141.2818,371.4338,167.6488,215.3688
116.1628,144.0268,367.6658,177.6928,225.4138
122.6058,147.3098,367.8958,183.3648,234.2968
128.1158,147.2018,376.0228,178.0548,245.4728
135.6938,147.9988,395.1138,174.4978,254.2208
143.8888,149.2088,411.0768,170.4618,264.7928
152.7178,145.9498,427.9868,163.5928,272.1528
158.6448,137.1828,443.5398,155.7568,282.3368
168.4038,131.1988,451.5338,146.1358,287.4458
180.6928,131.2968,458.9728,138.7618,286.1788
189.1458,131.1258,457.5698,132.7758,284.9478
196.9378,134.4868,447.6188,132.2288,285.5058
207.1928,128.0378,442.1148,137.1278,285.6308
215.3958,123.2778,437.6018,143.9398,291.9178
221.7008,121.9398,438.9108,150.1468,292.3378
228.1888,122.3488,446.9348,159.2148,297.2948
236.3338,124.9298,464.2488,164.7328,294.0818
240.9898,132.9488,481.1758,172.9228,287.5358
248.1948,140.8078,492.6508,181.6968,280.1988
254.3278,152.0758,499.3538,193.6838,272.7708
256.7018,167.1618,500.3248,213.8458,261.5528
263.9608,175.6348,492.9888,228.5438,249.7508
264.2168,173.0178,488.5168,233.6198,247.0648
265.2168,167.6488,487.3858,243.3148,246.6758
269.5448,170.6438,492.7908,251.3528,251.1098
279.0298,174.5248,501.6318,259.4998,253.6828
283.9858,184.7608,508.0008,267.3528,255.4738
285.8568,194.4848,506.6198,275.4388,263.4648
291.8788,201.2948,503.1228,284.9328,262.3218
293.9148,206.6788,499.3148,298.3578,263.8948
296.2498,214.9208,487.6158,311.6058,266.9488
300.0448,228.3078,477.8648,325.3018,274.3698
304.2588,248.1408,462.5888,334.2278,284.6398
310.4178,261.5978,448.5318,343.0678,294.3948
319.1228,265.6158,437.6478,353.9428,298.4908
328.8418,273.9998,440.3178,367.0168,299.4688
338.8388,279.8638,449.3878,378.8068,309.0298
346.8778,278.0778,456.2868,388.5998,318.2138
353.1708,284.0298,454.6838,400.3578,328.7918
360.3818,291.7718,458.0548,412.9308,338.6308
366.8918,298.8938,456.0018,427.9958,351.7398
373.6628,310.0098,459.4918,443.2928,366.4058
377.8068,312.8458,472.2348,450.9688,380.9748
381.1398,317.8598,487.9038,462.0528,404.0898
389.3598,325.7708,495.9378,482.5468,425.2088
397.8418,343.1088,487.1048,502.0718,440.6998
406.5208,361.1688,485.5288,513.2938,461.2128
416.1388,372.4928,486.4798,520.1588,480.5458
423.7378,375.5848,499.7718,529.0578,503.5178
436.7238,379.2788,524.3068,543.1738,523.8838
453.0148,385.8958,546.2638,556.9588,541.4378
473.6368,391.5558,568.6718,562.8518,556.1828
502.6808,404.8698,584.4188,570.4268,567.8498
529.1348,417.7958,602.5138,573.5488,571.7438
567.0658,423.2198,628.9698,575.0978,579.6888
607.2098,414.4738,668.7978,573.1518,600.1438
654.3248,400.7338,707.6378,587.7428,623.1378
699.4038,385.1548,738.6138,602.7818,649.4538
743.6808,372.2078,782.0458,608.1428,673.5018
783.8098,368.4428,822.2818,621.7848,703.1458
821.0718,366.8008,851.3448,635.0788,735.5028
862.9738,370.9278,873.8378,655.9978,774.3558
897.4978,376.8828,894.1188,679.5238,806.8818
926.4118,386.1708,907.6378,699.2508,836.3308
952.3618,395.7298,924.5628,716.0408,865.4658
975.0738,410.9418,961.1788,739.2868,893.7828
997.5368,429.8778,996.4318,761.2638,919.3068
1020.9198,448.4368,1029.3678,783.3148,949.0538
1044.9958,460.9108,1060.4778,821.0898,977.3218
1066.1368,471.4708,1076.3838,856.5978,1009.8068
1087.7578,487.1548,1084.0338,888.7638,1033.9518
1116.5978,512.8658,1098.3708,904.2858,1050.0708
1127.0948,534.4308,1112.4068,909.7978,1068.4658
1146.0738,550.3008,1131.5338,923.0308,1093.6018
1164.2428,572.7188,1152.7738,944.7718,1122.9318
1180.6148,594.9368,1178.0548,959.7178,1159.0038
1211.1618,618.9638,1195.0438,978.3488,1184.8438
1241.4318,637.4238,1218.2538,998.5048,1207.6828
1263.5388,661.4838,1245.5038,1010.3128,1230.3918
1284.4418,684.2238,1267.6488,1015.8518,1252.1488
1308.7148,705.6328,1294.6008,1023.1618,1273.7208
1330.8338,740.5418,1320.7648,1029.4428,1285.6388
1349.8328,780.8898,1357.8648,1030.6838,1302.2878
1366.0698,816.8958,1400.2448,1033.3058,1323.7158
1378.0728,848.7988,1444.0698,1034.9728,1344.4608
1387.2848,884.7288,1467.7758,1034.3908,1374.6128
1397.6838,917.9048,1479.6638,1039.6218,1400.4648
1402.2578,947.8388,1495.6868,1045.4428,1420.6608
1390.3218,980.3818,1501.5938,1041.6508,1437.7228
1380.8818,1014.1468,1517.2798,1040.1828,1449.4328
