actin,actin,actin,actin,actin
677.214,706.266,745.506,877.707,760.722
719.417,719.982,736.665,813.362,805.752
753.905,702.29,710.357,736.468,846.645
774.468,660.008,683.273,689.785,811.695
767.407,618.371,669.402,661.626,734.685
767.854,606.779,663.227,647.635,688.481
759.108,626.906,682.284,640.978,663.242
746.862,635.025,733.635,641.296,633.701
725.277,606.032,799.623,654.408,611.977
702.713,581.225,859.284,673.356,593.934
682.062,565.472,882.474,691.326,579.938
670.954,549.037,902.054,717.414,568.442
657.483,542.766,913.458,748.491,559.311
641.846,534.352,916.732,771.637,548.126
614.832,518.882,922.406,789.101,537.318
600.209,492.59,909.06,808.37,529.92
588.872,469.191,887.409,820.076,522.932
578.305,463.268,868.86,828.704,526.79
562.414,455.971,865.22,850.056,524.109
551.036,447.301,868.903,867.33,528.46
550.028,446.395,866.841,866.66,538.231
552.088,447.362,855.839,851.894,541.975
560.565,447.924,836.866,837.399,549.407
567.637,441.542,810.328,838.337,558.336
570.7,440.464,786.702,843.105,557.85
575.938,439.52,767.119,840.773,553.745
592.871,442.289,748.331,814.559,561.247
630.679,446.103,728.798,769.477,575.925
693.254,450.631,713.894,728.149,601.856
727.44,460.984,692.446,681.819,623.514
741.312,470.836,674.718,623.522,624.84
742.75,486.347,654.354,579.762,614.732
733.557,508.721,635.277,553.842,611.25
728.705,538.148,613.146,540.189,612.579
743.124,567.258,594.16,537.682,606.522
747.615,584.599,578.865,545.401,603.973
722.529,578.197,568.304,563.928,604.686
697.394,562.2,553.124,583.608,613.518
681.58,552.659,544.948,605.252,627.366
672.323,553.456,538.32,628.378,651.764
674.706,558.958,537.923,658.644,678.323
690.922,571.645,547.963,690.348,697.25
709.76,584.126,566.36,724.599,703.944
-62.598,577.954,571.24,756.735,682.973
-62.598,552.478,558.483,781.718,651.045
-62.598,528.182,547.05,788.222,620.947
-62.598,517.287,543.771,777.394,606.176
-62.598,-62.598,544.173,757.384,599.648
-62.598,-62.598,567.893,727.176,601.3
-62.598,-62.598,606.584,722.308,610.137
-62.598,-62.598,643.882,728.262,620.276
-62.598,-62.598,661.295,709.47,639.589
-62.598,-62.598,663.698,660.945,655.799
-62.598,-62.598,644.583,610.157,667.206
-62.598,-62.598,583.05,572.318,667.452
-62.598,-62.598,493.251,552.965,671.092
-62.598,-62.598,426.664,546.244,665.42
-62.598,-62.598,392.201,536.035,645.707
-62.598,-62.598,390.227,526.304,-62.598
-62.598,-62.598,403.693,518.23,-62.598
-62.598,-62.598,429.674,509.374,-62.598
-62.598,-62.598,464.761,514.944,-62.598
-62.598,-62.598,503.321,519.876,-62.598
-62.598,-62.598,511.02,497.593,-62.598
-62.598,-62.598,481.952,453.352,-62.598
-62.598,-62.598,-62.598,415.225,-62.598
