actin,actin,actin,actin,actin
1432.479,621.908,677.328,960.453,831.931
1440.227,676.087,722.77,1006.577,819.839
1445.305,725.519,750.001,1006.285,821.097
1449.883,773.739,777.428,987.924,827.946
1459.879,818.241,807.202,979.348,830.057
1470.474,853.011,840.408,951.751,827.783
1480.633,880.305,858.25,908.746,818.184
1485.669,910.686,850.58,866.219,803.001
1492.097,937.296,822.447,834.594,785.403
1476.624,967.316,793.065,812.135,764.584
1456.298,1013.418,777.242,789.598,748.303
1441.87,1034.822,765.27,765.119,729.377
1432.81,1017.697,756.289,752.025,721.794
1423.905,1004.85,746.193,743.623,713.424
1402.89,998.842,738.493,729.627,709.418
1374.562,964.185,731.053,717.307,709.091
1345.923,923.533,726.868,706.613,709.055
1321.368,883.725,730.003,696.63,709.639
1295.071,843.846,731.825,684.204,711.615
1276.891,813.568,742.026,679.744,716.759
1265.348,794.838,763.455,679.852,727.225
1256.38,778.873,784.319,677.085,741.042
1251.18,765.385,803.718,673.717,783.391
1240.227,778.205,825.767,674.208,833.119
1236.341,812.01,837.58,682.548,866.927
1227.827,843.169,855.812,683.282,893.213
1219.041,855.853,860.73,692.51,919.104
1214.314,863.514,861.186,702.349,
1207.879,876.74,864.062,726.166,
1195.372,885.721,883.012,759.6,
1195.587,881.892,914.063,774.829,
1195.814,876.491,915.693,782.574,
1189.612,875.812,,806.393,
1177.056,885.613,,850.249,
1170.661,910.506,,895.908,
1167.288,917.79,,905.05,
1165.509,927.228,,879.591,
1161.222,,,,
1156.75,,,,
1150.269,,,,
1142.795,,,,
1132.605,,,,
1122.598,,,,
1119.639,,,,
1118.306,,,,
1114.711,,,,
1110.675,,,,
1103.304,,,,
1092.707,,,,
1093.911,,,,
1088.575,,,,
1080.783,,,,
1075.491,,,,
1069.45,,,,
1068.193,,,,
1058.003,,,,
1058.675,,,,
1049.644,,,,
1038.293,,,,
1030.356,,,,
1022.431,,,,
1018.93,,,,
1023.517,,,,
1018.738,,,,
1017.17,,,,
1009.781,,,,
1003.835,,,,
998.804,,,,
992.836,,,,
989.932,,,,
990.974,,,,
990.92,,,,
991.855,,,,
994.417,,,,
1001.812,,,,
1009.196,,,,
1010.419,,,,
1026.11,,,,
1044.426,,,,
1076.676,,,,
1123.448,,,,
1176.971,,,,
1211.756,,,,
1226.41,,,,
1219.971,,,,
1215.604,,,,
1220.016,,,,
1222.958,,,,
1226.259,,,,
1225.221,,,,
1233.364,,,,
1238.918,,,,
1255.075,,,,
1281.411,,,,
1308.28,,,,
1332.988,,,,
1368.998,,,,
1414.346,,,,
1442.402,,,,
1461.8,,,,
1475.368,,,,
1484.694,,,,
1500.594,,,,
