RFP,RFP,RFP,RFP,RFP
364.639,202.4765,209.1016,275.7252,302.2209
367.445,214.6127,216.7623,276.242,299.74
371.666,225.2833,220.8914,274.2933,302.852
373.5,236.7622,225.8745,274.6392,305.3294
372.963,245.7444,232.1122,276.0749,305.1588
374.118,251.3053,237.5645,274.45,309.4457
379.421,256.48,244.0572,275.0341,307.9487
380.148,261.7643,248.5017,272.7235,308.484
385.958,267.0037,249.0775,272.3302,310.0536
394.063,270.5291,249.4363,273.0283,309.2713
400.099,279.3497,250.7649,273.047,306.4857
404.894,284.5186,252.2425,273.1741,307.2465
403.737,286.5736,254.9366,275.9542,307.5358
406.516,289.5529,255.491,274.6304,307.2334
411.686,288.7933,257.1578,274.2455,304.5363
417.396,281.978,260.0009,273.8657,303.3747
419.329,275.5243,260.5197,269.0652,301.96
417.926,267.646,262.0371,267.0366,295.9462
415.561,264.2024,261.0653,267.1114,294.748
413.549,259.5065,262.0424,265.9225,292.8915
409.048,260.4182,265.4137,264.779,287.6585
402.189,264.0437,270.4034,264.9642,280.1479
401.51,270.3196,270.5914,267.7514,272.6678
398.584,274.4745,274.2257,267.9516,270.964
395.494,279.2131,274.6093,270.1629,269.4603
392.723,281.7471,269.6715,269.3228,273.8103
389.708,278.8876,265.2977,266.049,276.167
382.07,279.3925,266.1895,267.7699,
378.794,280.4915,267.3219,269.7879,
376.141,276.3935,269.5641,272.9045,
372.111,275.6556,273.1002,276.1027,
366.503,275.7666,275.9324,282.0689,
364.686,275.1669,,287.181,
359.072,276.8211,,293.4743,
357.925,279.2267,,292.3325,
356.254,285.1372,,289.719,
354.601,287.9142,,287.7602,
349.619,,,,
348.061,,,,
346.351,,,,
340.84,,,,
334.734,,,,
327.135,,,,
325.615,,,,
320.188,,,,
313.742,,,,
314.515,,,,
311.273,,,,
308.969,,,,
308.25,,,,
303.575,,,,
304.193,,,,
303.74,,,,
306.383,,,,
310.682,,,,
311.196,,,,
312.501,,,,
318.028,,,,
320.29,,,,
327.948,,,,
333.644,,,,
342.922,,,,
348.855,,,,
357.511,,,,
368.045,,,,
383.083,,,,
392.073,,,,
398.076,,,,
405.457,,,,
411.904,,,,
420.12,,,,
425.852,,,,
430.443,,,,
436.686,,,,
437.821,,,,
443.311,,,,
447.617,,,,
449.196,,,,
450.247,,,,
449.43,,,,
452.03,,,,
459.169,,,,
462.147,,,,
461.008,,,,
459.434,,,,
454.749,,,,
446.5,,,,
435.433,,,,
432.331,,,,
429.205,,,,
421.231,,,,
415.738,,,,
412.609,,,,
411.777,,,,
411.682,,,,
412.654,,,,
411.77,,,,
415.159,,,,
418.201,,,,
422.391,,,,
424.81,,,,
426.334,,,,
424.702,,,,
