RFP,RFP,RFP,RFP,RFP
423.116,883.548,742.821,1558.315,1304.971
427.212,890.914,778.089,1604.194,1322.525
434.49,902.988,813.66,1591.552,1344.491
443.53,911.89,845.528,1554.913,1369.636
455.285,933.546,873.907,1605.782,1413.069
476.339,969.946,895.356,1783.951,1446.904
497.838,1027.059,903.04,1996.534,1478.757
522.63,1094.731,907.178,2172.974,1516.899
547.272,1173.574,946.423,2305.966,1543.342
565.127,1266.621,1001.309,2452.883,1558.852
581.931,1370.966,1051.743,2658.433,1601.115
616.751,1495.181,1107.542,2908.846,1657.303
649.335,1636.671,1167.863,3149.88,1725.488
689.356,1780.844,1236.695,3332.533,1779.153
740.162,1921.417,1350.935,3492.486,1843.058
784.597,2044.476,1469.304,3616.251,1946.088
817.006,2147.097,1547.546,3675.969,2081.255
857.181,2226.929,1602.308,3654.576,2232.883
896.466,2325.332,1646.879,3632.234,2380.402
938.968,2429.075,1662.25,3638.343,2536.607
989.018,2488.493,1691.167,3620.817,2704.965
1051.823,2480.201,1731.426,3512.857,2863.989
1118.8,2396.725,1761.223,3303.146,2996.629
1187.437,2323.472,1752.419,3063.936,3067.087
1262.301,2296.663,1732.593,2899.114,3114.907
1356.722,2266.264,1738.418,2813.119,3178.058
1443.078,2194.342,1744.333,2743.805,3240.974
1510.804,2120.4,1735.981,2674.073,3272.898
1587.794,2010.324,1756.558,2628.777,3295.888
1681.002,1872.065,1788.461,2616.755,3299.261
1797.289,1719.753,1811.87,2625.667,3291.211
1922.279,1553.107,1829.734,2636.667,3254.389
2034.722,1383.18,1863.779,2633.509,3175.937
2108.791,1222.698,1880.519,2627.8,3066.847
2180.743,1088.822,1872.99,2627.154,2896.37
2240.254,990.466,1878.904,2627.396,2702.268
2279.795,923.654,1938.758,2644.689,2513.464
2313.949,876.063,2032.04,2643.314,2345.489
2349.777,847.495,2060.124,2595.819,2196.594
2360.095,824.143,1952.32,2534.651,2054.847
2349.502,802.076,1753.446,2525.968,1927.886
2314.887,790.044,1548.07,2543.714,1822.346
2254.667,792.699,1394.628,2532.785,1737.629
2165.106,800.085,1301.267,2480.494,1664.148
2028.075,813.589,1251.847,2409.727,1586.753
1865.996,820.554,1221.792,2369.17,1502.234
1706.416,851.687,1214.368,2370.446,1416.56
1587.474,,1214.359,2376.361,1341.707
1525.186,,1226.853,2362.863,1273.523
1514.692,,1269.579,2331.556,1223.321
1543.751,,1307.062,2263.47,1209.747
1591.929,,1323.698,2162.044,1240.005
1631.373,,1323.632,2061.602,1296.648
1687.057,,1328.636,1997.4,1334.698
1793.876,,1348.701,1962.349,1328.775
1962.135,,1387.505,1937.12,1323.851
2152.156,,1463.589,1890.539,1343.47
2309.15,,,1829.814,1360.271
2399.59,,,1754.786,1388.963
2453.132,,,,1460.946
2468.765,,,,1564.958
2419.039,,,,1659.882
2310.502,,,,1736.957
2158.636,,,,1838.77
1950.81,,,,
1719.815,,,,
1500.009,,,,
1332.316,,,,
1195.587,,,,
1077.061,,,,
967.069,,,,
874.516,,,,
807.45,,,,
737.977,,,,
680.18,,,,
647.292,,,,
636.093,,,,
645.747,,,,
661.583,,,,
682.105,,,,
702.37,,,,
732.071,,,,
745.792,,,,
