actin,actin,actin,actin,actin
965.37,1365.046,1190.54,1165.508,1129.944
967.974,1360.638,1187.432,1206.817,1138.382
959.684,1326.838,1179.017,1265.297,1155.397
954.134,1298.822,1171.939,1332.505,1185.582
950.995,1278.059,1156.158,1347.375,1200.014
944.641,1271.167,1136.066,1274.002,1194.293
936.834,1264.754,1117.06,1183.382,1190.846
924.499,1269.913,1097.471,1118.786,1188.418
910.007,1278.588,1059.461,1111.342,1179.738
902.544,1297.08,1032.699,1131.343,1169.925
902.807,1326.76,1025.21,1149.735,1164.951
896.939,1364.928,1017.423,1149.744,1160.398
887.747,1408.821,1021.793,1126.723,1149.786
886.362,1447.334,1039.061,1094.618,1134.021
891.225,1485.44,1039.019,1062.718,1119.396
887.599,1524.346,1030.369,1031.532,1121.249
893.696,1556.191,1032.363,1014.076,1105.992
897.834,1565.188,1023.844,996.835,1085.876
905.243,1553.03,1036.705,971.451,1058.448
919.949,1506.884,1054.33,941.487,1034.866
930.016,1447.551,1066.589,917.391,1021.435
943.166,1403.189,1069.674,911.287,1021.548
964.787,1372.579,1061.841,908.814,1028.508
983.621,1342.2,1051.227,910.882,1034.187
1001.731,1310.568,1046.438,910.936,1037.291
1013.396,1285.507,1059.785,913.753,1055.891
1020.932,1268.471,1074.826,919.871,1077.946
1039.036,1237.266,1110.93,928.047,1103.352
1060.663,1213.597,1146.261,932.821,1126.767
1087.316,1190.812,1174.483,943.127,1141.75
1102.469,1166.646,1201.92,955.015,1149.295
1114.023,1133.15,1204.953,971.131,1144.019
1131.394,1091.884,1183.978,983.81,1138.413
1140.807,1048.684,1163.569,993.361,1136.094
1142.26,1012.454,1177.51,1002.509,1130.956
1147.307,982.94,1239.453,1016.349,1119.801
1137.301,964.432,1316.797,1025.173,1107.235
1118.743,949.233,1374.572,1044.727,1091.908
1096.015,939.303,1361.9,1074.009,1079.808
1076.45,928.592,1274.87,1096.859,1074.568
1058.853,915.592,1175.4,1104.825,1067.137
1054.849,905.646,1110.977,1107.364,1061.312
1067.455,911.871,1075.438,1105.378,1057.862
1090.971,915.262,1040.683,1100.418,1050.547
1089.975,929.252,1016.199,1100.488,1039.157
1052.201,978.283,1003.493,1100.75,1034.317
1016.231,1040.962,996.407,1101.942,1030.52
993.981,,985.738,1107.269,1026.642
979.346,,979.116,1111.438,1034.253
975.668,,970.957,1111.044,1050.217
980.693,,969.497,1116.637,1067.805
1001.081,,980.017,1132.708,1092.258
1024.235,,992.478,1154.569,1132.82
1039.865,,1001.527,1173.38,1180.184
1060.535,,1005.684,1191.65,1205.368
1084.23,,1022.246,1209.983,1218.628
1097.184,,1040.8,1234.537,1231.52
1112.674,,,1249.281,1254.573
1150.945,,,1255.833,1285.268
1193.116,,,,1314.612
1242.586,,,,1331.504
1274.987,,,,1345.479
1283.294,,,,1350.719
1262.059,,,,1332.339
1224.158,,,,
1176.706,,,,
1128.852,,,,
1094.603,,,,
1068.947,,,,
1048.977,,,,
1033.583,,,,
1025.341,,,,
1017.615,,,,
1017.731,,,,
1026.578,,,,
1045.185,,,,
1064.311,,,,
1092.576,,,,
1123.744,,,,
1171.104,,,,
1217.103,,,,
1238.941,,,,
1242.198,,,,
