Actin-BG,Actin-BG,Actin-BG,Actin-BG
929.252,920.252,1121.085,724.918
925.902,869.917,987.68,773.653
910.302,840.484,898.19,783.063
903.155,814.526,906.616,719.982
918.953,786.097,878.218,698.545
968.01,750.062,856.92,724.292
1024.519,775.835,838.585,746.574
1066.914,784.565,857.35,762.153
1090.555,790.85,949.572,792.952
1107.899,804.291,1066.786,824.078
1130.152,814.942,1172.335,850.302
1142.807,801.652,1282.835,902.695
1095.472,778.557,1362.725,947.68
1083.994,775.916,1414.659,913.638
1116.83,733.738,1328.705,870.279
1098.106,695.995,1119.038,831.264
1049.126,679.75,934.003,824.984
984.193,685.812,900.323,781.364
930.04,668.627,922.265,715.058
884.716,655.749,886.515,636.326
837.402,659.733,824.696,577.278
813.77,675.05,760.16,529.059
779.141,682.385,722.843,489.078
741.564,671.061,709.02,458.318
681.585,669.684,698.285,428.3
650.205,655.87,677.049,403.907
623.488,634.417,634.057,396.776
605.714,620.69,587.774,395.774
594.375,598.955,579.072,376.088
583.171,591.67,590.319,359.46
572.968,584.147,603.023,364.168
579.606,580.573,647.425,365.205
570.242,570.212,694.741,366.189
567.585,574.341,737.952,378.131
571.242,598.411,811.605,365.826
572.259,601.26,858.156,355.212
574.42,633.914,830.245,369.989
582.74,708.369,767.921,384.006
587.265,810.759,749.872,402.573
583.31,849.234,800.699,419.802
579.488,868.875,831.085,419.562
580.477,912.675,852.785,433.564
590.254,925.678,860.22,475.759
580.423,910.636,810.779,518.291
565.807,844.674,732.787,562.51
593.836,758.771,692.21,611.878
583.61,685.048,694.911,666.148
590.851,642.286,668.487,738.203
581.243,633.541,669.925,831.967
592.553,638.224,737.97,933.603
609.302,627.464,782.974,930.972
610.312,632.32,815.63,830.07
620.788,717.683,874.745,696.677
633.539,793.527,901.644,650.372
654.94,773.873,934.322,642.756
690.474,710.363,920.193,655.638
715.374,,914.656,670.813
738.646,,964.178,658.585
739.308,,1017.112,
743.196,,1087.887,
747.064,,1084.585,
759.556,,,
772.497,,,
783.004,,,
778.515,,,
788.533,,,
800.918,,,
