actin,actin,actin,actin,actin
283.4511,347.7682,356.361,350.004,400.196
281.2286,344.135,353.484,369.647,373.683
278.1237,328.8156,351.759,360.927,351.365
275.227,314.7034,361.703,344.445,343.815
281.0892,312.677,366.174,343.493,348.094
289.6653,312.173,362.938,340.799,347.061
291.0826,315.2708,361.367,343.459,345.163
287.2534,319.2819,358.106,346.885,342.972
280.1768,323.5322,352.361,360.26,343.409
277.3497,327.673,344.557,369.736,344.784
271.4458,331.6258,337.042,363.199,341.522
269.5397,333.8275,331.16,354.256,337.084
269.7412,336.9266,329.522,342.257,329.521
267.574,339.4383,329.509,324.739,325.304
265.8731,339.9386,321.788,311.047,317.454
265.7014,331.6891,319.96,300.902,311.55
264.6373,315.1049,314.956,292.7,302.039
262.9382,307.1029,311.305,281.985,286.711
260.2226,307.7096,304.44,272.589,268.218
261.4853,315.1703,292.134,266.453,253.535
262.4432,323.3634,279.849,259.408,242.881
258.7081,322.1288,264.175,253.23,228.984
259.0385,319.4702,253.238,251.676,220.045
257.9117,313.4941,245.047,249.526,219.337
256.1409,315.1255,238.72,245.906,215.825
254.9681,323.597,233.94,247.081,216.473
255.1903,338.6629,231.252,251.252,216.811
255.2889,345.0912,229.849,254.917,218.293
254.5924,334.2129,229.003,263.746,218.796
253.0014,320.2222,226.686,278.841,222.416
254.1092,308.142,226.924,296.469,224.735
256.7709,,227.128,308.776,230.981
259.8593,,229.419,315.129,237.586
261.0689,,231.213,323.821,244.17
262.9495,,237.7,330.278,253.44
264.5384,,244.266,331.15,264.875
272.1283,,247.944,325.925,281.601
282.0533,,251.625,318.276,302.818
290.7955,,251.637,311.324,329.822
302.5082,,251.853,306.835,362.568
315.0538,,256.71,302.537,386.323
324.1761,,261.378,299.854,403.005
328.2674,,264.737,314.635,407.085
330.4341,,266.139,340.769,392.481
329.349,,266.94,364.509,367.348
323.5846,,270.186,384.662,344.905
322.7443,,280.417,396.167,326.819
328.0876,,290.181,389.295,313.908
339.1417,,298.447,,303.984
350.281,,305.673,,299.883
351.9282,,306.426,,304.333
,,302.283,,
,,293.681,,
,,288.449,,
,,282.635,,
,,286.115,,
,,294.097,,
,,303.453,,
,,315.866,,
,,323.102,,
,,330.434,,
,,336.707,,
