RFP,RFP,RFP,RFP,RFP
115.1719,67.9773,61.1024,77.404,75.655
111.224,70.9932,64.8199,76.461,74.95
108.56,73.3178,73.2632,78.873,74.452
103.5546,76.313,80.4197,82.329,78.873
100.5401,79.0806,84.5648,84.675,86.274
102.6581,84.1966,86.7717,92.032,94.888
105.4532,88.6953,88.7056,101.503,106.944
106.9074,92.8052,93.7679,112.767,115.812
111.2305,97.1756,99.7483,125.376,121.514
111.2105,101.5271,105.4294,137.742,128.718
111.2422,105.9289,107.9452,146.898,138.76
110.6586,110.3879,112.2236,155.599,150.446
110.6099,114.0545,117.4571,165.057,159.005
112.2019,117.7469,121.0701,167.935,163.121
114.0096,121.404,122.0212,170.684,168.536
117.8816,123.6243,125.5399,168.605,179.372
123.1201,126.453,121.0928,171.177,189.307
129.2207,130.0037,115.2411,171.231,199.532
136.5601,131.3662,113.0297,171.41,209.585
140.5163,133.026,113.6109,171.982,220.946
142.8033,133.5626,117.6224,174.738,231.387
139.4289,134.0094,118.6838,181.637,247.764
134.91,131.7093,119.0985,190.323,260.683
131.9557,133.0442,121.2342,193.069,268.367
127.0472,134.4543,119.8229,192.032,270.168
123.1978,135.6103,116.8368,193.605,270.73
118.2383,134.5604,114.3106,191.934,268.471
117.7176,133.4615,113.675,187.42,258.654
117.0652,136.4308,114.9206,179.255,244.23
121.294,140.5613,115.9519,169.671,225.874
131.1556,145.2501,116.4803,162.844,200.946
141.9715,145.5177,115.9566,158.52,178.553
151.815,145.3502,111.5096,156.269,155.118
158.7178,143.1422,106.7487,151.438,138.157
163.3512,143.8971,99.0265,144.798,126.392
165.4432,143.2346,93.3103,131.354,119.423
165.2852,148.9682,84.3588,115.819,115.563
162.7829,154.7891,75.9834,101.541,111.804
157.7013,158.2193,68.5151,89.593,108.293
149.0302,158.1291,60.9433,79.677,106.453
141.7003,157.8217,56.9566,74.065,107.623
132.7075,160.057,55.7467,71.381,
124.0391,159.7973,55.4932,68.19,
116.5521,158.0107,58.0438,67.101,
109.4413,155.1094,59.6069,64.323,
103.7778,150.2076,61.5619,63.598,
99.647,141.4539,62.153,63.596,
97.0168,128.563,,63.683,
96.8667,114.7852,,63.686,
95.123,100.5912,,64.537,
91.0974,87.6844,,65.317,
86.0676,78.8079,,67.019,
80.6904,72.0398,,69.682,
75.8074,67.7318,,71.02,
67.2041,65.9334,,73.543,
,64.5021,,75.496,
,63.3933,,75.65,
,65.8873,,76.998,
,69.7269,,,
,72.4061,,,
,75.2393,,,
,76.6608,,,
,79.0184,,,
,79.1627,,,
,82.061,,,
