actin,actin,actin,actin,actin
281.062,214.3252,241.98,261.309,154.98
289.863,197.2722,229.409,253.4106,165.361
262.98,188.9656,215.656,247.5556,173.825
242.099,187.0031,209.035,241.8699,187.877
235.954,186.7962,204.735,242.4901,207.502
230.73,182.0112,203.033,239.5549,223.039
225.471,178.117,201.729,235.4172,235.665
227.617,174.4308,197.1,232.6602,248.041
239.076,171.3591,190.236,233.365,261.899
247.87,170.2479,182.212,231.7017,276.193
248.388,172.8243,173.395,233.1069,290.934
246.947,175.579,167.191,239.2588,307.319
247.509,177.8316,163.912,242.9474,329.31
245.834,179.087,160.418,250.5557,347.552
239.965,180.0889,156.606,257.3993,365.681
230.397,180.4706,156.786,254.2609,379.573
224.019,180.7484,157.301,251.4251,399.751
219.223,183.1645,157.452,247.5845,418.741
212.187,185.3644,157.201,246.688,433.341
203.77,187.2769,156.204,246.0067,450.181
198.205,189.557,154.359,243.8243,469.091
194.221,191.9633,155.765,244.7462,484.877
188.686,197.0555,158.53,246.1462,496.542
183.997,200.94,160.372,250.5578,503.245
180.147,207.6348,161.132,254.3529,505.524
177.616,212.0144,162.71,255.0905,501.847
178.216,217.111,167.872,256.2185,495.497
176.77,223.5342,172.49,259.3045,486.872
180.636,229.2958,177.619,258.5166,471.358
182.731,231.7407,183.966,264.2023,462.388
186.597,238.3026,188.144,274.5609,451.653
187.238,249.0665,189.787,280.6819,430.995
190.456,258.7193,194.347,282.3696,410.498
194.948,265.6554,198.51,282.8616,385.788
202.156,263.1538,205.765,281.1174,356.079
208.646,259.2913,214.75,288.3576,326.803
212.363,253.7993,219.622,303.0797,294.317
218.226,256.6291,227.483,316.3591,250.537
225.402,259.0233,233.866,318.4818,207.744
234.504,246.2335,240.627,312.1552,167.249
243.067,230.0275,249.505,-70.845,142.493
240.707,-70.845,259.779,-70.845,133.831
229.607,-70.845,271.591,-70.845,138.389
224.784,-70.845,288.734,-70.845,142.835
230.385,-70.845,300.086,-70.845,144.681
243.794,-70.845,302.778,-70.845,140.292
249.096,-70.845,302.453,-70.845,-70.845
241.442,-70.845,298.434,-70.845,-70.845
223.425,-70.845,295.443,-70.845,-70.845
211.308,-70.845,291.239,-70.845,-70.845
-70.845,-70.845,289.319,-70.845,-70.845
-70.845,-70.845,288.512,-70.845,-70.845
-70.845,-70.845,294.146,-70.845,-70.845
-70.845,-70.845,297.446,-70.845,-70.845
-70.845,-70.845,-70.845,-70.845,-70.845
-70.845,-70.845,-70.845,-70.845,-70.845
-70.845,-70.845,-70.845,-70.845,-70.845
-70.845,-70.845,-70.845,-70.845,-70.845
-70.845,-70.845,-70.845,-70.845,-70.845
-70.845,-70.845,-70.845,-70.845,-70.845
-70.845,-70.845,-70.845,-70.845,-70.845
-70.845,-70.845,-70.845,-70.845,-70.845
-70.845,-70.845,-70.845,-70.845,-70.845
-70.845,-70.845,-70.845,-70.845,-70.845
-70.845,-70.845,-70.845,-70.845,-70.845
-70.845,-70.845,-70.845,-70.845,-70.845
