RFP,RFP,RFP,RFP,RFP
46.8206,56.3318,74.6485,67.6712,58.744
45.8794,60.2225,72.7203,69.8596,59.031
44.216,64.3446,70.3022,70.1387,61.769
44.2647,70.9683,70.5851,67.3999,66.032
43.7155,79.0659,70.4052,63.877,70.019
43.6412,86.3862,70.6593,61.3287,74.528
45.195,91.5709,72.7033,60.0289,89.814
45.7135,96.3676,73.0207,59.14,108.463
46.3094,99.5311,70.4581,60.1772,127.11
47.2453,103.4607,68.8941,61.3646,142.421
48.616,109.2178,66.6399,62.718,153.806
51.606,113.3874,64.3597,65.3404,160.296
55.9062,116.8819,62.4047,72.3364,161.705
64.0572,119.0849,59.6113,78.8194,157.474
76.8982,122.0873,56.9194,85.498,149.861
91.3656,122.5773,55.6598,95.368,142.668
106.4425,120.7987,54.1986,103.9507,136.967
117.1615,121.5588,54.2272,111.8138,131.898
122.5361,119.5195,56.096,116.5572,128.007
120.4627,118.467,57.0136,115.7538,123.42
118.6562,117.6841,55.6124,112.3553,124.834
123.0003,117.0251,55.0029,108.633,126.597
128.7769,118.0692,56.1695,101.3606,131.523
129.4134,116.6106,57.6231,96.1199,137.029
124.7184,115.0994,61.2695,87.9121,139.948
115.1888,110.6789,63.6885,80.5462,144.822
101.7473,106.4454,63.6534,74.0395,150.445
90.1814,101.6957,-55.176,68.1939,152.757
80.7585,98.0915,-55.176,67.5917,155.539
71.9614,95.7038,-55.176,66.5644,158.459
66.4804,90.3949,-55.176,67.8425,158.287
60.7209,87.6796,-55.176,-55.176,156.117
56.1143,84.7941,-55.176,-55.176,149.404
53.6543,81.524,-55.176,-55.176,140.466
53.6285,78.005,-55.176,-55.176,129.781
53.6143,74.7288,-55.176,-55.176,118.295
55.3056,71.3913,-55.176,-55.176,106.436
-55.176,69.6552,-55.176,-55.176,92.722
-55.176,68.2683,-55.176,-55.176,80.65
-55.176,69.1056,-55.176,-55.176,72.443
-55.176,69.1418,-55.176,-55.176,68.385
-55.176,69.3516,-55.176,-55.176,64.931
-55.176,-55.176,-55.176,-55.176,63.938
-55.176,-55.176,-55.176,-55.176,-55.176
-55.176,-55.176,-55.176,-55.176,-55.176
-55.176,-55.176,-55.176,-55.176,-55.176
-55.176,-55.176,-55.176,-55.176,-55.176
-55.176,-55.176,-55.176,-55.176,-55.176
-55.176,-55.176,-55.176,-55.176,-55.176
-55.176,-55.176,-55.176,-55.176,-55.176
-55.176,-55.176,-55.176,-55.176,-55.176
-55.176,-55.176,-55.176,-55.176,-55.176
-55.176,-55.176,-55.176,-55.176,-55.176
-55.176,-55.176,-55.176,-55.176,-55.176
-55.176,-55.176,-55.176,-55.176,-55.176
-55.176,-55.176,-55.176,-55.176,-55.176
-55.176,-55.176,-55.176,-55.176,-55.176
-55.176,-55.176,-55.176,-55.176,-55.176
-55.176,-55.176,-55.176,-55.176,-55.176
-55.176,-55.176,-55.176,-55.176,-55.176
-55.176,-55.176,-55.176,-55.176,-55.176
-55.176,-55.176,-55.176,-55.176,-55.176
-55.176,-55.176,-55.176,-55.176,-55.176
-55.176,-55.176,-55.176,-55.176,-55.176
-55.176,-55.176,-55.176,-55.176,-55.176
-55.176,-55.176,-55.176,-55.176,-55.176
