actin,actin,actin,actin,actin
216.3582,251.9225,285.8787,293.4405,255.286
236.9896,236.8256,269.4368,268.2232,238.358
266.5189,232.491,256.1984,251.9464,226.368
286.6413,230.8071,250.279,242.3905,220.442
283.8295,229.6283,241.5292,239.0694,219.786
269.9937,229.9878,241.9889,239.3123,225.532
257.3943,230.0117,242.439,243.3782,228.234
252.4767,233.1753,245.9607,241.6063,232.326
248.7227,236.4393,251.1731,239.7156,234.067
247.7074,240.557,257.6957,235.6377,234.006
244.5887,241.1209,265.9744,234.8627,231.436
244.3564,239.504,269.5818,236.0534,229.308
248.2697,234.8195,266.0973,234.9228,228.978
250.3375,231.8651,261.9225,230.2605,227.684
251.3074,228.3975,261.9892,226.7415,228.816
250.9258,227.0808,260.1374,227.1795,228.399
250.7643,224.6069,256.7404,226.4211,230.968
252.4031,223.4697,252.4456,224.1701,235.168
254.0313,224.0364,250.4107,228.7741,238.461
252.5159,224.5352,246.3612,231.4969,244.548
248.7243,224.9742,245.5707,229.8901,253.835
243.3797,224.5405,239.5391,222.6453,259.114
238.8361,226.5481,233.4283,216.7655,261.858
235.8512,229.5908,231.1736,213.6251,260.219
235.1618,236.4355,227.3856,209.3216,255.46
236.8578,239.1314,226.7519,206.0135,253.967
236.1621,245.7825,230.6692,201.3983,251.494
233.9375,247.729,233.348,202.7664,249.142
234.3649,248.3089,242.7504,203.0765,249.074
234.7797,244.7674,257.2945,205.4475,248.96
237.4597,240.7218,267.4094,214.1625,252.236
236.4362,240.9709,272.0079,230.602,253.807
236.5531,240.092,268.4738,244.889,253.278
236.635,237.5727,266.6696,253.4068,255.056
234.5744,236.973,261.9946,265.5025,258.98
232.9909,234.448,258.4526,277.2323,267.67
233.5127,240.5282,259.587,270.8176,277.961
237.4219,254.8864,263.4231,254.6777,300.514
244.766,276.2104,260.896,-62.313,323.569
258.5555,286.6093,250.6114,-62.313,320.18
280.6098,271.4395,241.0812,-62.313,-62.313
295.5123,-62.313,-62.313,-62.313,-62.313
-62.313,-62.313,-62.313,-62.313,-62.313
-62.313,-62.313,-62.313,-62.313,-62.313
-62.313,-62.313,-62.313,-62.313,-62.313
-62.313,-62.313,-62.313,-62.313,-62.313
-62.313,-62.313,-62.313,-62.313,-62.313
-62.313,-62.313,-62.313,-62.313,-62.313
-62.313,-62.313,-62.313,-62.313,-62.313
-62.313,-62.313,-62.313,-62.313,-62.313
-62.313,-62.313,-62.313,-62.313,-62.313
-62.313,-62.313,-62.313,-62.313,-62.313
-62.313,-62.313,-62.313,-62.313,-62.313
-62.313,-62.313,-62.313,-62.313,-62.313
-62.313,-62.313,-62.313,-62.313,-62.313
-62.313,-62.313,-62.313,-62.313,-62.313
-62.313,-62.313,-62.313,-62.313,-62.313
-62.313,-62.313,-62.313,-62.313,-62.313
-62.313,-62.313,-62.313,-62.313,-62.313
-62.313,-62.313,-62.313,-62.313,-62.313
-62.313,-62.313,-62.313,-62.313,-62.313
-62.313,-62.313,-62.313,-62.313,-62.313
-62.313,-62.313,-62.313,-62.313,-62.313
-62.313,-62.313,-62.313,-62.313,-62.313
-62.313,-62.313,-62.313,-62.313,-62.313
-62.313,-62.313,-62.313,-62.313,-62.313
