RFP,RFP,RFP,RFP,RFP
95.741,126.931,87.132,143.048,65.977
109.803,122.575,88.432,140.786,66.278
115.643,120.357,93.444,138.944,67.354
115.939,122.661,101.225,139.049,69.179
115.831,126.108,107.638,143.233,72.222
115.859,125.528,114.245,148.736,79.477
116.456,127.834,122.814,157.142,89.62
119.21,132.315,131.627,168.372,103.452
118.972,145.498,143.31,177.839,118.054
120.351,168.337,158.574,187.154,133.497
119.663,192.758,177.019,194.31,148.108
121.382,215.473,198.145,203.724,160.442
126.401,234.513,218.606,211.108,172.68
130.4,247.819,239.077,217.375,181.725
139.041,256.956,259.584,221.197,188.898
149.449,264.606,273.152,226.833,194.15
159.968,269.403,285.937,226.621,196.675
169.654,276.572,297.38,223.342,200.751
176.738,277.83,306.007,215.597,201.125
175.902,282.306,311.136,205.766,203.944
173.05,283.022,313.42,193.548,202.997
168.12,285.668,316.819,179.581,200.521
160.285,286.114,317.236,164.821,194.424
151.088,282.069,314.198,151.125,182.947
140.171,276.605,309.494,139.509,171.96
130.307,270.184,305.696,127.478,158.892
122.596,262.235,303.488,118.289,148.46
112.605,251.679,294.147,111.534,138.817
102.306,239.703,287.435,106.064,130.26
94.204,222.717,273.829,100.2,123.007
88.577,204.569,258.957,94.701,116.85
81.745,189.465,239.319,90.194,112.407
75.789,175.169,214.348,85.744,104.951
70.851,155.994,189.274,85.58,97.96
65.322,136.264,169.901,84.322,92.924
61.399,116.843,153.096,86.315,88.458
57.995,99.853,133.175,88.992,85.928
54.675,89.732,113.646,91.183,83.142
53.398,87.84,102.651,-51.93,80.94
51.577,91.407,97.61,-51.93,80.786
50.891,95.611,97.875,-51.93,-51.93
50.641,-51.93,-51.93,-51.93,-51.93
-51.93,-51.93,-51.93,-51.93,-51.93
-51.93,-51.93,-51.93,-51.93,-51.93
-51.93,-51.93,-51.93,-51.93,-51.93
-51.93,-51.93,-51.93,-51.93,-51.93
-51.93,-51.93,-51.93,-51.93,-51.93
-51.93,-51.93,-51.93,-51.93,-51.93
-51.93,-51.93,-51.93,-51.93,-51.93
-51.93,-51.93,-51.93,-51.93,-51.93
-51.93,-51.93,-51.93,-51.93,-51.93
-51.93,-51.93,-51.93,-51.93,-51.93
-51.93,-51.93,-51.93,-51.93,-51.93
-51.93,-51.93,-51.93,-51.93,-51.93
-51.93,-51.93,-51.93,-51.93,-51.93
-51.93,-51.93,-51.93,-51.93,-51.93
-51.93,-51.93,-51.93,-51.93,-51.93
-51.93,-51.93,-51.93,-51.93,-51.93
-51.93,-51.93,-51.93,-51.93,-51.93
-51.93,-51.93,-51.93,-51.93,-51.93
-51.93,-51.93,-51.93,-51.93,-51.93
-51.93,-51.93,-51.93,-51.93,-51.93
-51.93,-51.93,-51.93,-51.93,-51.93
-51.93,-51.93,-51.93,-51.93,-51.93
-51.93,-51.93,-51.93,-51.93,-51.93
-51.93,-51.93,-51.93,-51.93,-51.93
